bowler,bowling_team,num_innings,dots,balls,dot_%
Arshdeep Singh,LSG,13,90,312,28.85
Washington Sundar,PBKS,14,82,282,29.08
Shakib Al Hasan,PBKS,9,79,200,39.5
JR Hazlewood,RR,9,78,216,36.11
M Pathirana,RCB,12,78,281,27.76
TA Boult,MI,9,73,206,35.44
A Zampa,SRH,9,73,216,33.8
B Kumar,KKR,11,72,243,29.63
Suryansh Shedge,CSK,12,72,248,29.03
Fazalhaq Farooqi,CSK,10,71,228,31.14
Shashank Singh,PBKS,12,69,138,50.0
Ashutosh Sharma,RCB,12,67,192,34.9
MA Starc,KKR,10,67,231,29.0
M Prasidh Krishna,DC,11,63,258,24.42
Ravi Bishnoi,PBKS,9,62,192,32.29
R Shepherd,GT,8,61,192,31.77
GJ Maxwell,RR,11,61,252,24.21
AR Patel,CSK,13,61,282,21.63
SP Narine,LSG,12,61,288,21.18
DAJ Bracewell,MI,8,60,180,33.33
KH Pandya,SRH,9,59,198,29.8
CV Varun,PBKS,10,59,207,28.5
R Sai Kishore,GT,9,58,197,29.44
T Natarajan,CSK,6,56,144,38.89
Kuldeep Yadav,SRH,9,56,180,31.11
Yudhvir Singh,GT,6,55,132,41.67
Rashid Khan,GT,6,54,138,39.13
MP Yadav,CSK,8,54,159,33.96
Arshad Khan,KKR,8,54,192,28.12
Mayank Dagar,RR,9,54,210,25.71
MM Ali,KKR,7,53,168,31.55
Rasikh Salam,GT,8,51,190,26.84
R Ashwin,KKR,8,50,186,26.88
RA Jadeja,DC,10,50,198,25.25
DS Rathi,KKR,6,49,138,35.51
AK Markram,SRH,9,49,204,24.02
JJ Bumrah,MI,9,48,171,28.07
Harpreet Brar,RCB,9,48,204,23.53
MG Bracewell,DC,6,47,120,39.17
Ravi Teja,LSG,6,46,108,42.59
VG Arora,KKR,5,45,120,37.5
M Jansen,RR,6,45,144,31.25
M Siddharth,CSK,5,44,120,36.67
LS Livingstone,SRH,10,44,144,30.56
C Green,RCB,10,41,150,27.33
A Nortje,RCB,7,39,167,23.35
Sandeep Sharma,RR,8,39,167,23.35
Mohammad Nabi,GT,7,39,168,23.21
YS Chahal,RCB,5,38,111,34.23
M Theekshana,MI,5,38,117,32.48
HH Pandya,MI,7,38,150,25.33
Zeeshan Ansari,LSG,6,37,132,28.03
Mukesh Kumar,GT,4,36,96,37.5
M Markande,PBKS,6,36,108,33.33
AD Russell,DC,13,36,189,19.05
Harshit Rana,CSK,5,35,114,30.7
WG Jacks,LSG,6,35,126,27.78
AJ Tye,DC,4,34,90,37.78
K Kartikeya,GT,5,34,102,33.33
PJ Cummins,PBKS,5,34,114,29.82
Mohammed Siraj,RCB,4,33,78,42.31
BA Stokes,LSG,5,33,120,27.5
HR Shokeen,RR,5,33,120,27.5
RS Hangargekar,RCB,5,32,120,26.67
Mohammed Shami,PBKS,4,31,96,32.29
SH Johnson,SRH,4,30,93,32.26
CJ Jordan,GT,5,30,105,28.57
N Rana,KKR,5,28,108,25.93
KA Maharaj,RR,3,27,66,40.91
NT Ellis,LSG,4,27,90,30.0
BJ McMullen,DC,10,27,114,23.68
A Mishra,CSK,5,27,120,22.5
Swapnil Singh,RR,4,25,96,26.04
Suyash Sharma,MI,4,24,84,28.57
K Gowtham,DC,4,24,90,26.67
JC Archer,LSG,5,24,108,22.22
HV Patel,PBKS,5,23,84,27.38
PHKD Mendis,KKR,5,23,89,25.84
Mujeeb Ur Rahman,CSK,3,22,60,36.67
Noor Ahmad,RCB,3,21,66,31.82
Umran Malik,MI,3,20,54,37.04
C Sakariya,SRH,4,20,96,20.83
Yash Thakur,PBKS,5,20,105,19.05
Abdul Samad,LSG,7,19,54,35.19
Harsh Dubey,LSG,3,19,72,26.39
AJ Turner,MI,4,19,78,24.36
Akash Vasisht,MI,3,18,48,37.5
Tanush Kotian,SRH,4,18,66,27.27
Atharva Ankolekar,MI,3,18,71,25.35
Abhishek Sharma,MI,6,18,96,18.75
Avesh Khan,DC,5,17,114,14.91
SS Ghosh,MI,3,16,48,33.33
Ramandeep Singh,LSG,7,16,84,19.05
Mustafizur Rahman,DC,4,16,90,17.78
TU Deshpande,RR,2,15,42,35.71
Sikandar Raza,DC,3,15,72,20.83
R Parag,GT,9,15,90,16.67
PWH de Silva,DC,2,14,48,29.17
OEG Baartman,RCB,2,14,48,29.17
SZ Mulani,MI,2,14,48,29.17
