batter,team,score,rank
PHKD Mendis,KKR,26.1858,1
Naman Dhir,GT,25.2152,2
Abhishek Sharma,MI,21.7431,3
Aniket Verma,RR,21.5213,4
GJ Maxwell,RR,20.6207,5
WL Madsen,MI,20.5564,6
N Pooran,MI,19.3331,7
PD Salt,RCB,19.0511,8
JP Inglis,GT,18.9615,9
Priyansh Arya,SRH,18.8754,10
V Suryavanshi,PBKS,18.6886,11
Shubman Gill,LSG,18.1457,12
Abishek Porel,DC,17.852,13
R Powell,KKR,17.7251,14
YBK Jaiswal,RR,17.3914,15
SA Yadav,DC,16.7949,16
KA Pollard,CSK,16.3823,17
SS Iyer,LSG,16.1648,18
Shashank Singh,PBKS,16.0582,19
N Rana,KKR,16.0241,20
N Sindhu,DC,15.5139,21
Smaran Ravichandran,PBKS,15.4901,22
JM Sharma,RCB,15.2921,23
KL Rahul,SRH,15.272,24
SV Samson,GT,15.0899,25
P Simran Singh,SRH,15.0745,26
BM Duckett,CSK,14.8696,27
AM Rahane,KKR,14.8332,28
Tilak Varma,CSK,14.6334,29
FH Allen,LSG,14.3172,30
J Fraser-McGurk,RCB,13.9438,31
RR Rossouw,MI,13.8695,32
V Kohli,DC,13.7732,33
TM Head,CSK,13.6894,34
MP Stoinis,PBKS,13.6698,35
VR Iyer,SRH,13.5733,36
Abdul Samad,LSG,13.4108,37
Azmatullah Omarzai,RR,13.3024,38
DP Conway,GT,13.1615,39
JC Buttler,KKR,12.4453,40
S Dube,RR,12.4348,41
GD Phillips,GT,12.2494,42
Sameer Rizvi,LSG,11.9933,43
C Green,RCB,11.9382,44
Q de Kock,PBKS,11.8612,45
Jay Gohil,MI,11.8388,46
B Sai Sudharsan,RCB,11.7479,47
BJ McMullen,DC,11.5379,48
T Stubbs,SRH,10.9732,49
H Klaasen,PBKS,10.7091,50
RD Rickelton,RR,10.5928,51
Dhruv Jurel,LSG,10.5211,52
PP Shaw,MI,10.1759,53
Ashutosh Sharma,RCB,10.1735,54
R Parag,GT,10.055,55
HH Pandya,MI,10.02,56
RD Gaikwad,RCB,9.7833,57
Ishan Kishan,KKR,9.7779,58
KD Karthik,MI,9.7395,59
RK Singh,RCB,9.7327,60
SP Narine,LSG,9.6707,61
AK Markram,SRH,9.4456,62
F du Plessis,CSK,9.296,63
Anmolpreet Singh,CSK,8.9984,64
Ramandeep Singh,LSG,8.8922,65
Urvil Patel,DC,8.6037,66
LS Livingstone,SRH,8.4479,67
WG Jacks,LSG,8.4252,68
RM Patidar,RR,8.2818,69
AD Russell,DC,8.279,70
RA Jadeja,DC,7.6232,71
Washington Sundar,PBKS,7.5311,72
Nithish Kumar Reddy,GT,7.3636,73
Sikandar Raza,DC,7.3608,74
DA Miller,PBKS,7.3187,75
RG Sharma,PBKS,7.2271,76
JM Bairstow,KKR,7.1263,77
MK Lomror,SRH,7.1041,78
DJ Hooda,GT,6.7842,79
JG Bethell,SRH,6.483,80
AR Patel,CSK,6.3694,81
BA Stokes,LSG,6.2711,82
N Wadhera,RR,5.9348,83
Suryansh Shedge,CSK,5.8269,84
KH Pandya,SRH,3.0374,85
RR Pant,KKR,2.8203,86
R Ashwin,KKR,2.2364,87
A Badoni,SRH,2.2079,88
Rashid Khan,GT,1.6762,89
LG Pretorius,GT,1.6498,90
Harpreet Brar,RCB,1.5935,91
RK Bhui,CSK,0.596,92
