bowler,bowling_team,num_innings,3+_wkts,balls,economy,5+_wkts
JC Archer,LSG,17,7,386,10.96,0
NT Ellis,SRH,10,5,228,9.18,0
MA Starc,KKR,12,5,253,10.06,0
Arshdeep Singh,LSG,20,5,452,9.27,1
PWH de Silva,RCB,15,4,324,9.57,0
Karan Lal,RR,15,4,340,9.62,0
B Kumar,KKR,16,4,355,10.34,0
A Nagwaswalla,RR,15,4,358,8.82,0
S Dube,RR,19,4,362,9.78,0
AK Markram,DC,7,3,137,9.02,0
Ravi Teja,RCB,8,3,171,7.79,0
Abrar Ahmed,GT,10,3,219,10.19,0
KA Maharaj,SRH,10,3,221,8.33,0
CV Varun,PBKS,10,3,222,8.92,0
Fazalhaq Farooqi,CSK,10,3,240,7.52,0
M Pathirana,RCB,13,3,275,10.19,0
JJ Bumrah,DC,13,3,288,8.96,1
Shashank Singh,PBKS,18,3,318,9.81,0
SS Ghosh,MI,3,2,54,12.11,0
SH Johnson,GT,5,2,107,7.74,0
S Lamichhane,DC,6,2,113,7.65,0
Ashwin Das,LSG,5,2,120,8.1,0
Avesh Khan,GT,6,2,126,9.76,0
Yuvraj Singh,CSK,8,2,168,11.64,0
HJ Manenti,PBKS,8,2,170,10.06,1
Ashutosh Sharma,RCB,10,2,186,9.03,0
Noor Ahmad,MI,8,2,192,8.72,0
Imran Tahir,CSK,8,2,192,9.03,0
Shadab Khan,SRH,10,2,204,8.06,0
Washington Sundar,PBKS,10,2,231,8.75,0
Shaheen Shah Afridi,MI,11,2,233,9.3,1
Mohammad Ghazanfar,SRH,11,2,246,9.59,0
MJ Owen,DC,14,2,254,11.15,0
LI Meriwala,DC,11,2,264,8.45,0
YS Chahal,RCB,12,2,266,9.54,0
GF Linde,GT,12,2,285,9.62,0
JR Hazlewood,RR,12,2,288,9.98,0
HH Pandya,MI,14,2,300,9.3,1
WG Jacks,LSG,21,2,365,9.72,1
Tanush Kotian,CSK,16,2,378,9.06,0
Atharva Ankolekar,MI,3,1,67,12.0,0
H Ssenyondo,LSG,3,1,72,8.67,0
Shahbaz Ahmed,GT,4,1,96,11.44,0
LS Livingstone,KKR,6,1,98,7.9,0
R Ashwin,KKR,5,1,98,10.29,0
V Nigam,MI,5,1,108,8.0,0
BA Stokes,SRH,5,1,108,12.22,0
Naveen-ul-Haq,SRH,5,1,120,9.15,0
Akash Vasisht,DC,6,1,132,9.32,0
SL Malinga,PBKS,8,1,175,9.7,0
YK Pathan,KKR,12,1,180,7.9,1
DR Sams,GT,10,1,210,9.74,0
Khrievitso Kense,RCB,9,1,216,8.75,0
M Prasidh Krishna,MI,11,1,264,10.84,0
AR Ramjani,PBKS,12,1,276,8.09,0
C Green,KKR,13,1,288,7.98,0
TA Boult,MI,13,1,312,9.46,0
