bowler,bowling_team,num_innings,dots,balls,dot_%
Arshdeep Singh,LSG,18,149,409,36.43
A Nagwaswalla,RR,14,143,334,42.81
B Kumar,KKR,16,127,355,35.77
Shashank Singh,PBKS,18,124,318,38.99
Tanush Kotian,CSK,16,107,378,28.31
S Dube,RR,18,103,338,30.47
JC Archer,LSG,15,101,338,29.88
TA Boult,MI,13,97,312,31.09
Naseem Shah,LSG,11,96,264,36.36
SP Narine,KKR,18,96,424,22.64
GF Linde,GT,12,90,285,31.58
Shaheen Shah Afridi,MI,11,89,233,38.2
MA Starc,KKR,12,89,253,35.18
WG Jacks,LSG,19,89,329,27.05
HH Pandya,MI,14,88,300,29.33
Karan Lal,RR,14,86,316,27.22
JDS Neesham,DC,12,85,282,30.14
KA Maharaj,SRH,10,84,221,38.01
LI Meriwala,DC,11,84,264,31.82
PWH de Silva,RCB,13,84,294,28.57
AR Ramjani,PBKS,12,83,276,30.07
Shadab Khan,SRH,10,79,204,38.73
Fazalhaq Farooqi,CSK,10,78,240,32.5
C Green,KKR,13,77,288,26.74
AR Patel,CSK,11,76,258,29.46
M Pathirana,RCB,11,74,227,32.6
DR Sams,GT,10,71,210,33.81
JJ Bumrah,DC,13,71,288,24.65
Imran Tahir,CSK,8,70,192,36.46
Kuldeep Yadav,SRH,12,70,261,26.82
Washington Sundar,PBKS,10,66,231,28.57
T Natarajan,CSK,10,66,240,27.5
MG Erasmus,RCB,8,65,186,34.95
NT Ellis,SRH,9,64,204,31.37
Khrievitso Kense,RCB,9,64,216,29.63
JR Hazlewood,RR,11,63,264,23.86
Mohammad Ghazanfar,SRH,10,62,222,27.93
YS Chahal,RCB,11,62,242,25.62
Mohammad Nabi,LSG,8,61,186,32.8
Yuvraj Singh,CSK,8,59,168,35.12
YK Pathan,KKR,12,59,180,32.78
CV Varun,PBKS,10,59,222,26.58
R Shepherd,GT,10,57,237,24.05
MJ Owen,DC,14,57,254,22.44
Noor Ahmad,MI,8,56,192,29.17
Ravi Teja,RCB,6,55,123,44.72
HJ Manenti,PBKS,8,55,170,32.35
M Prasidh Krishna,MI,11,55,264,20.83
Ashutosh Sharma,RCB,8,54,150,36.0
SH Johnson,GT,5,53,107,49.53
Pulkit Narang,RR,6,53,132,40.15
Suryansh Shedge,CSK,9,51,198,25.76
DAJ Bracewell,RCB,6,50,134,37.31
Abrar Ahmed,GT,10,50,219,22.83
AD Russell,DC,8,49,180,27.22
D Brevis,RR,11,48,174,27.59
JN Loftie-Eaton,RR,5,47,103,45.63
Azmatullah Omarzai,LSG,6,47,144,32.64
SL Malinga,PBKS,8,46,175,26.29
R Sai Kishore,MI,9,46,202,22.77
M Siddharth,CSK,7,45,132,34.09
Shakib Al Hasan,PBKS,7,45,132,34.09
Khushdil Shah,DC,6,44,138,31.88
MP Yadav,PBKS,6,43,133,32.33
S Lamichhane,DC,6,42,113,37.17
MP Stoinis,KKR,10,42,144,29.17
Naveen-ul-Haq,SRH,5,39,120,32.5
CH Gayle,CSK,9,38,134,28.36
AK Markram,DC,7,38,137,27.74
D Wiese,GT,11,38,218,17.43
Avesh Khan,GT,6,37,126,29.37
Sikandar Raza,MI,5,36,96,37.5
Rashid Khan,RR,5,36,114,31.58
LS Livingstone,KKR,6,35,98,35.71
KK Ahmed,RR,4,34,84,40.48
BA Stokes,SRH,5,33,108,30.56
R Ashwin,KKR,5,32,98,32.65
Nithish Kumar Reddy,SRH,11,32,162,19.75
Harsh Tyagi,SRH,5,31,72,43.06
Yudhvir Singh,RCB,4,30,78,38.46
Akash Vasisht,DC,6,30,132,22.73
Shahbaz Ahmed,GT,4,29,96,30.21
V Nigam,MI,5,29,108,26.85
Harsh Dubey,RCB,6,29,114,25.44
V Puthur,DC,4,28,84,33.33
JJ Smit,PBKS,6,28,138,20.29
DS Rathi,KKR,3,27,72,37.5
VG Arora,KKR,3,27,72,37.5
RA Bawa,SRH,9,27,108,25.0
PHKD Mendis,SRH,9,26,90,28.89
Abdul Samad,LSG,10,26,102,25.49
Ashwin Das,LSG,3,25,72,34.72
M Jansen,SRH,3,25,72,34.72
Mohammed Shami,GT,4,25,90,27.78
Chirag Jani,PBKS,8,25,114,21.93
Mayank Dagar,LSG,4,23,78,29.49
PJ Cummins,RR,4,23,90,25.56
Atharva Ankolekar,MI,3,21,67,31.34
