batter,team,score,rank
Sameer Rizvi,LSG,23.8896,1
TP Ura,PBKS,23.6135,2
Naman Dhir,GT,22.1916,3
Shadab Khan,SRH,20.9662,4
YBK Jaiswal,RR,20.8656,5
Abhishek Sharma,MI,20.4394,6
PWH de Silva,RCB,19.8643,7
PD Salt,RCB,19.7531,8
Shubman Gill,LSG,19.343,9
KL Rahul,SRH,18.0697,10
C Green,KKR,17.9343,11
JM Sharma,RCB,17.646,12
JP Inglis,GT,17.5154,13
WL Madsen,MI,17.5015,14
KA Pollard,CSK,17.4219,15
Priyansh Arya,SRH,17.1415,16
RD Gaikwad,GT,17.0398,17
Tanush Kotian,CSK,16.995,18
Aniket Verma,RR,16.7651,19
SA Yadav,DC,16.7359,20
R Powell,KKR,16.6363,21
Tarang Gohel,DC,16.4664,22
RG Sharma,KKR,16.459,23
Tilak Varma,CSK,16.3859,24
MP Stoinis,KKR,16.1474,25
CH Gayle,CSK,16.1335,26
GJ Maxwell,RR,15.9911,27
VR Iyer,SRH,15.8143,28
N Rana,PBKS,15.7859,29
Shashank Singh,PBKS,15.6999,30
Abishek Porel,DC,15.6757,31
PHKD Mendis,SRH,15.6115,32
MJ Owen,DC,15.464,33
D Wiese,GT,15.4434,34
FH Allen,PBKS,15.179,35
Karan Shinde,RCB,14.7571,36
N Sindhu,DC,14.7007,37
P Simran Singh,SRH,14.6657,38
Jay Gohil,LSG,14.2802,39
S Dube,RR,14.0838,40
V Kohli,DC,13.8891,41
N Pooran,MI,13.7926,42
AB de Villiers,RR,13.7011,43
WG Jacks,LSG,13.1285,44
Chirag Jani,PBKS,12.6397,45
DAJ Bracewell,RCB,12.3375,46
Smaran Ravichandran,PBKS,12.3276,47
MW Short,MI,12.2394,48
Atharva Taide,MI,12.1973,49
T Stubbs,CSK,12.0956,50
H Klaasen,CSK,12.049,51
Arshad Khan,RR,11.986,52
TM Head,GT,11.9614,53
JC Buttler,LSG,11.7993,54
SV Samson,GT,11.6065,55
SS Iyer,LSG,11.4213,56
B Sai Sudharsan,CSK,11.3788,57
RK Singh,MI,11.3553,58
GD Phillips,GT,11.1865,59
SP Narine,KKR,11.023,60
RD Rickelton,LSG,10.9208,61
AD Russell,DC,10.6805,62
Urvil Patel,MI,10.6178,63
Hassan Nawaz,RCB,10.4515,64
BJ McMullen,RR,10.4092,65
V Suryavanshi,PBKS,10.0678,66
Anmolpreet Singh,CSK,9.999,67
R Parag,GT,9.531,68
HH Pandya,MI,9.418,69
BM Duckett,RCB,9.3488,70
AM Rahane,MI,8.9708,71
F du Plessis,GT,8.7335,72
Ishan Kishan,MI,8.4937,73
Azmatullah Omarzai,LSG,8.4744,74
Abdul Samad,LSG,8.0461,75
RR Rossouw,SRH,8.0182,76
Rahul Singh,RCB,7.8933,77
TH David,PBKS,7.7,78
Nithish Kumar Reddy,SRH,7.6685,79
DP Conway,PBKS,7.5163,80
DS Airee,RCB,7.4521,81
RA Bawa,SRH,7.3218,82
HC Brook,MI,7.1585,83
RM Patidar,KKR,7.0309,84
MK Lomror,SRH,7.0155,85
Dhruv Jurel,RCB,6.9627,86
PP Shaw,RCB,6.8701,87
Ishaan Gadekar,RCB,6.8345,88
RA Jadeja,RCB,6.495,89
AK Markram,DC,6.3216,90
Suryansh Shedge,CSK,5.5769,91
MR Marsh,SRH,5.5189,92
Sikandar Raza,MI,5.5079,93
MS Dhoni,CSK,5.4443,94
Ashutosh Sharma,RCB,4.7982,95
GF Linde,GT,4.7149,96
Akash Vasisht,DC,4.6869,97
Ramandeep Singh,LSG,4.6816,98
N Wadhera,KKR,4.3602,99
D Brevis,RR,4.3063,100
DJ Hooda,DC,4.2345,101
RR Pant,GT,3.8813,102
YK Pathan,KKR,3.2487,103
BA Stokes,SRH,3.2142,104
LS Livingstone,KKR,2.9228,105
D Padikkal,KKR,2.1935,106
TA Boult,MI,1.7337,107
Mohammad Nabi,LSG,1.6435,108
AR Patel,CSK,1.4549,109
Washington Sundar,PBKS,0.9323,110
PJ Cummins,RR,0.1344,111
KH Pandya,SRH,-0.392,112
Rashid Khan,RR,-0.8759,113
RK Bhui,KKR,-1.2131,114
JDS Neesham,DC,-1.7104,115
Babar Azam,KKR,-3.9982,116
