bowler,bowling_team,num_innings,wkts,balls,strike_rate,wkt_contribution_%
Arshdeep Singh,LSG,19,34,428,12.59,23.45
B Kumar,KKR,16,27,355,13.15,21.77
JC Archer,LSG,16,31,362,11.68,21.38
Shashank Singh,PBKS,18,25,318,12.72,21.37
A Nagwaswalla,RR,14,27,334,12.37,19.57
S Dube,RR,18,26,338,13.0,18.84
MA Starc,KKR,12,23,253,11.0,18.55
M Pathirana,RCB,13,25,275,11.0,18.25
Karan Lal,RR,14,25,316,12.64,18.12
JJ Bumrah,DC,13,20,288,14.4,18.02
Tanush Kotian,CSK,16,21,378,18.0,17.65
LI Meriwala,DC,11,19,264,13.89,17.12
MJ Owen,DC,14,19,254,13.37,17.12
Shaheen Shah Afridi,MI,11,19,233,12.26,16.96
NT Ellis,SRH,10,20,228,11.4,16.95
PWH de Silva,RCB,15,23,324,14.09,16.79
AR Ramjani,PBKS,12,18,276,15.33,15.38
HH Pandya,MI,14,17,300,17.65,15.18
C Green,KKR,13,18,288,16.0,14.52
Mohammad Ghazanfar,SRH,11,17,246,14.47,14.41
KA Maharaj,SRH,10,17,221,13.0,14.41
Fazalhaq Farooqi,CSK,10,17,240,14.12,14.29
WG Jacks,LSG,20,20,347,17.35,13.79
CV Varun,PBKS,10,16,222,13.88,13.68
TA Boult,MI,13,15,312,20.8,13.39
GF Linde,GT,12,16,285,17.81,13.22
Abrar Ahmed,GT,10,16,219,13.69,13.22
HJ Manenti,PBKS,8,15,170,11.33,12.82
JR Hazlewood,RR,11,17,264,15.53,12.32
AK Markram,DC,7,13,137,10.54,11.71
YS Chahal,RCB,12,16,266,16.62,11.68
SL Malinga,PBKS,8,13,175,13.46,11.11
AR Patel,CSK,11,13,258,19.85,10.92
S Lamichhane,DC,6,12,113,9.42,10.81
Noor Ahmad,MI,8,12,192,16.0,10.71
SP Narine,KKR,18,13,424,32.62,10.48
Ravi Teja,RCB,8,14,171,12.21,10.22
Kuldeep Yadav,SRH,13,12,285,23.75,10.17
Shadab Khan,SRH,10,12,204,17.0,10.17
Imran Tahir,CSK,8,12,192,16.0,10.08
Yuvraj Singh,CSK,8,12,168,14.0,10.08
SH Johnson,GT,5,11,107,9.73,9.09
DR Sams,GT,10,11,210,19.09,9.09
YK Pathan,KKR,12,11,180,16.36,8.87
Washington Sundar,PBKS,10,10,231,23.1,8.55
CH Gayle,CSK,9,10,134,13.4,8.4
Naseem Shah,LSG,12,12,288,24.0,8.28
D Wiese,GT,11,10,218,21.8,8.26
R Shepherd,GT,10,10,237,23.7,8.26
Ashutosh Sharma,RCB,10,11,186,16.91,8.03
T Natarajan,CSK,10,9,240,26.67,7.56
M Prasidh Krishna,MI,11,8,264,33.0,7.14
Suryansh Shedge,CSK,9,8,198,24.75,6.72
