team,highest_batting_total,best_bowling_performance
CSK,210-7 (119) vs RR in S05M071,172-9 (120) vs GT in S05M044
DC,241-3 (120) vs LSG in S05M052,96-10 (101) vs SRH in S05M034
GT,232-7 (120) vs SRH in S05M030,154-10 (111) vs PBKS in S05M051
KKR,217-3 (120) vs GT in S05M060,93-10 (76) vs PBKS in S05M042
LSG,238-4 (120) vs MI in S05M072,147-10 (120) vs PBKS in S05M057
MI,221-5 (120) vs SRH in S05M054,130-10 (97) vs SRH in S05M039
PBKS,226-4 (120) vs MI in S05M027,71-10 (57) vs RCB in S05M014
RCB,214-10 (115) vs RR in S05M043,126-10 (97) vs CSK in S05M055
RR,239-4 (120) vs GT in S05M015,158-10 (116) vs LSG in S05M029
SRH,222-5 (120) vs LSG in S05M010,132-10 (106) vs GT in S05M063
