striker,batting_team,num_innings,strike_rate,runs,outs
GD Phillips,GT,6,216.22,80,6
AD Russell,DC,3,211.63,91,2
Tanush Kotian,CSK,12,205.31,232,6
Anmolpreet Singh,CSK,10,202.63,154,5
Suryansh Shedge,CSK,6,200.0,60,6
Karan Shinde,RCB,11,193.33,261,7
Jay Gohil,LSG,8,193.0,193,6
Sameer Rizvi,LSG,20,191.91,522,9
PWH de Silva,RCB,14,191.81,562,11
Shubman Gill,LSG,21,191.19,803,19
Tarang Gohel,DC,18,188.55,560,18
Arshad Khan,RR,11,184.85,122,4
Shadab Khan,SRH,9,184.62,168,6
TP Ura,PBKS,7,182.47,177,6
YBK Jaiswal,RR,19,182.04,608,13
D Wiese,GT,11,180.85,170,8
MJ Owen,DC,13,178.52,241,11
RG Sharma,KKR,18,176.52,466,14
C Green,KKR,18,175.82,538,16
Abhishek Sharma,MI,18,175.08,541,18
HH Pandya,MI,13,174.44,157,9
VR Iyer,SRH,19,174.4,511,12
AHT Donald,RCB,7,174.36,136,7
MS Dhoni,CSK,2,174.19,54,2
KA Pollard,CSK,12,174.07,329,7
JJ Smit,PBKS,5,174.0,87,3
GJ Maxwell,RR,19,173.67,554,18
V Kohli,DC,17,173.16,613,16
SA Yadav,DC,18,172.0,559,14
Abishek Porel,DC,10,171.6,290,7
Aniket Verma,RR,19,170.66,442,14
RD Gaikwad,GT,18,169.2,758,15
PD Salt,RCB,20,168.89,760,19
AB de Villiers,RR,7,168.54,150,6
FH Allen,PBKS,18,167.48,479,18
N Rana,PBKS,14,166.67,420,14
CH Gayle,CSK,18,166.37,559,18
JM Sharma,RCB,19,166.23,512,14
R Parag,GT,16,165.95,385,14
S Dube,RR,20,164.79,847,18
Priyansh Arya,SRH,17,164.39,554,18
Chirag Jani,PBKS,9,164.15,174,8
TH David,PBKS,14,163.78,321,11
Urvil Patel,MI,9,163.27,369,8
N Sindhu,DC,16,162.93,422,14
RK Singh,MI,12,162.73,262,8
MP Stoinis,KKR,16,162.66,623,14
MW Short,MI,10,162.01,290,10
N Pooran,MI,18,160.98,396,15
Shashank Singh,PBKS,18,160.95,338,13
Atharva Taide,MI,6,160.8,201,6
Tilak Varma,CSK,18,160.76,680,17
T Banton,MI,7,160.67,143,5
JP Inglis,GT,16,160.66,437,14
Hassan Nawaz,RCB,15,160.24,399,13
Naman Dhir,GT,18,160.19,503,17
T Stubbs,CSK,11,160.14,221,8
P Simran Singh,SRH,19,159.94,507,19
WL Madsen,MI,6,158.33,171,1
BJ McMullen,RR,17,157.91,529,15
KL Rahul,SRH,19,157.63,733,14
SP Narine,KKR,18,157.27,530,18
SS Iyer,LSG,16,157.27,346,14
SV Samson,GT,15,154.1,376,15
WG Jacks,LSG,21,152.74,614,20
JC Buttler,LSG,17,150.58,390,14
Shashwat Rawat,PBKS,4,150.57,131,4
D Brevis,RR,12,149.43,260,7
MS Pepper,RR,6,149.23,97,4
Ramandeep Singh,LSG,6,148.94,70,4
Nithish Kumar Reddy,SRH,16,148.19,286,9
AK Markram,DC,7,148.1,117,6
RA Jadeja,RCB,8,148.0,74,6
V Suryavanshi,PBKS,15,147.73,260,15
MR Marsh,SRH,7,147.45,202,7
N Wadhera,KKR,14,147.31,137,10
GF Linde,GT,9,146.79,160,4
Waseem Muhammad,DC,5,146.03,92,5
Akash Vasisht,DC,4,146.0,73,3
TA Boult,MI,8,145.83,70,7
Smaran Ravichandran,PBKS,17,145.78,449,16
Abdul Samad,LSG,17,144.01,445,12
RD Rickelton,LSG,13,143.25,361,13
TM Head,GT,6,140.54,104,6
Mohammad Nabi,LSG,5,140.0,63,5
Rahul Singh,RCB,10,139.83,165,9
AM Rahane,MI,5,138.02,167,5
H Klaasen,CSK,8,137.87,233,7
Gaurav Puri,CSK,5,137.5,77,5
Ashutosh Sharma,RCB,6,136.73,67,4
RR Rossouw,SRH,6,136.51,86,6
B Sai Sudharsan,CSK,18,134.93,564,17
JDS Neesham,DC,8,133.9,158,8
D Ferreira,DC,6,130.95,55,4
PHKD Mendis,SRH,8,129.21,115,7
JN Loftie-Eaton,RR,5,129.17,93,3
SR Hain,MI,3,128.89,58,3
Ishan Kishan,MI,6,127.59,111,6
YK Pathan,KKR,17,127.45,195,9
RM Patidar,KKR,18,126.32,312,15
PP Shaw,RCB,5,122.62,103,5
Dhruv Jurel,RCB,9,121.43,136,9
HC Brook,MI,6,117.57,87,5
Hemang Patel,GT,9,116.22,86,7
MG Erasmus,RCB,9,116.09,101,8
Babar Azam,KKR,11,110.62,177,11
DP Conway,PBKS,3,86.36,57,3
AR Ramjani,PBKS,9,86.21,50,3
Washington Sundar,PBKS,10,79.1,53,5
