striker,batting_team,num_innings,runs,strike_rate,bat_avg,run_contribution_%
RD Gaikwad,GT,18,758,169.2,50.53,22.36
S Dube,RR,20,847,164.79,47.06,21.86
KL Rahul,SRH,19,733,157.63,52.36,21.41
PD Salt,RCB,20,760,168.89,40.0,21.22
Tilak Varma,CSK,18,680,160.76,40.0,20.24
MP Stoinis,KKR,16,623,162.66,44.5,19.73
Shubman Gill,LSG,21,803,191.19,42.26,19.72
V Kohli,DC,17,613,173.16,38.31,17.53
C Green,KKR,18,538,175.82,33.62,17.04
B Sai Sudharsan,CSK,18,564,134.93,33.18,16.79
SP Narine,KKR,18,530,157.27,29.44,16.79
CH Gayle,CSK,18,559,166.37,31.06,16.64
Abhishek Sharma,MI,18,541,175.08,30.06,16.41
Priyansh Arya,SRH,17,554,164.39,30.78,16.18
Tarang Gohel,DC,18,560,188.55,31.11,16.02
SA Yadav,DC,18,559,172.0,39.93,15.99
YBK Jaiswal,RR,19,608,182.04,46.77,15.69
PWH de Silva,RCB,14,562,191.81,51.09,15.69
WG Jacks,LSG,21,614,152.74,30.7,15.08
VR Iyer,SRH,19,511,174.4,42.58,14.92
FH Allen,PBKS,18,479,167.48,26.61,14.92
Naman Dhir,GT,18,503,160.19,29.59,14.84
P Simran Singh,SRH,19,507,159.94,26.68,14.81
RG Sharma,KKR,18,466,176.52,33.29,14.76
GJ Maxwell,RR,19,554,173.67,30.78,14.3
JM Sharma,RCB,19,512,166.23,36.57,14.29
Smaran Ravichandran,PBKS,17,449,145.78,28.06,13.99
BJ McMullen,RR,17,529,157.91,35.27,13.66
N Rana,PBKS,14,420,166.67,30.0,13.08
JP Inglis,GT,16,437,160.66,31.21,12.89
Sameer Rizvi,LSG,20,522,191.91,58.0,12.82
N Sindhu,DC,16,422,162.93,30.14,12.07
N Pooran,MI,18,396,160.98,26.4,12.01
Aniket Verma,RR,19,442,170.66,31.57,11.41
R Parag,GT,16,385,165.95,27.5,11.36
Urvil Patel,MI,9,369,163.27,46.12,11.19
Hassan Nawaz,RCB,15,399,160.24,30.69,11.14
SV Samson,GT,15,376,154.1,25.07,11.09
Abdul Samad,LSG,17,445,144.01,37.08,10.93
Shashank Singh,PBKS,18,338,160.95,26.0,10.53
TH David,PBKS,14,321,163.78,29.18,10.0
RM Patidar,KKR,18,312,126.32,20.8,9.88
