player,team,#catches,#runout/stumping
Arshad Khan,RR,16,1
SP Narine,KKR,14,0
WG Jacks,LSG,14,0
Sameer Rizvi,LSG,13,1
Arshdeep Singh,LSG,13,0
YK Pathan,KKR,13,1
Nithish Kumar Reddy,SRH,13,0
Aniket Verma,RR,12,2
Tanush Kotian,CSK,11,3
Ramandeep Singh,LSG,11,0
Shashank Singh,PBKS,10,0
R Shepherd,GT,10,0
YBK Jaiswal,RR,10,1
MJ Owen,DC,10,0
Tarang Gohel,DC,9,1
Rahul Singh,RCB,9,0
D Wiese,GT,8,2
RG Sharma,KKR,8,0
SS Iyer,LSG,8,0
A Nagwaswalla,RR,8,0
Tilak Varma,CSK,8,1
TA Boult,MI,8,0
T Natarajan,CSK,7,0
JM Sharma,RCB,7,0
JDS Neesham,DC,7,0
N Rana,PBKS,7,0
Priyansh Arya,SRH,7,2
HH Pandya,MI,7,1
R Parag,GT,7,0
RA Jadeja,RCB,7,1
RK Singh,MI,7,0
RM Patidar,KKR,7,0
Karan Lal,RR,7,0
TH David,PBKS,7,0
BJ McMullen,RR,7,1
SV Samson,GT,7,0
DAJ Bracewell,RCB,6,0
Abrar Ahmed,GT,6,0
N Sindhu,DC,6,0
Hemang Patel,GT,6,0
GF Linde,GT,6,0
MG Erasmus,RCB,6,0
B Kumar,KKR,6,1
Shadab Khan,SRH,5,0
MW Short,MI,5,0
N Pooran,MI,5,0
N Wadhera,KKR,5,1
Naseem Shah,LSG,5,0
AHT Donald,RCB,5,0
Harsh Dubey,RCB,5,0
R Ashwin,KKR,5,0
B Sai Sudharsan,CSK,5,1
Suryansh Shedge,CSK,5,0
AR Patel,CSK,5,0
M Prasidh Krishna,MI,5,0
FH Allen,PBKS,5,1
AR Ramjani,PBKS,5,0
Ashutosh Sharma,RCB,5,0
LI Meriwala,DC,5,0
Kuldeep Yadav,SRH,5,0
JC Archer,LSG,5,0
M Siddharth,CSK,4,0
MA Starc,KKR,4,0
M Pathirana,RCB,4,0
Rashid Khan,RR,4,1
YS Chahal,RCB,4,1
SL Malinga,PBKS,4,0
Noor Ahmad,MI,4,0
PWH de Silva,RCB,4,0
Shakib Al Hasan,PBKS,4,0
RA Bawa,SRH,4,1
RD Rickelton,LSG,4,0
KL Rahul,SRH,4,0
VR Iyer,SRH,4,1
R Sai Kishore,MI,4,0
Yuvraj Singh,CSK,4,0
C Green,KKR,4,0
AK Markram,DC,4,0
GD Phillips,GT,4,0
CV Varun,PBKS,4,0
D Ferreira,DC,4,0
Abdul Samad,LSG,4,1
DS Airee,RCB,3,0
S Dube,RR,3,0
Imran Tahir,CSK,3,0
NT Ellis,SRH,3,0
D Brevis,RR,3,1
SA Yadav,DC,3,0
Harsh Tyagi,SRH,3,0
PHKD Mendis,SRH,3,0
PD Salt,RCB,3,0
Shaheen Shah Afridi,MI,3,0
Ravi Teja,RCB,3,0
HJ Manenti,PBKS,3,0
Pulkit Narang,RR,3,0
HC Brook,MI,3,0
Rasikh Salam,GT,3,0
Gaurav Puri,CSK,3,0
RS Hangargekar,MI,3,0
Dhruv Jurel,RCB,3,0
Mohammed Shami,GT,3,0
V Suryavanshi,PBKS,3,0
JJ Bumrah,DC,3,0
KA Maharaj,SRH,3,0
Khrievitso Kense,RCB,3,0
Khushdil Shah,DC,3,0
JR Hazlewood,RR,3,0
Ishan Kishan,MI,3,0
V Puthur,DC,3,0
Utkarsh Singh,PBKS,3,0
DR Sams,GT,3,0
Anmolpreet Singh,CSK,3,0
T Banton,MI,3,1
Avesh Khan,GT,3,0
Smaran Ravichandran,PBKS,3,0
Atharva Taide,MI,2,0
SS Ghosh,MI,2,0
Ravi Bishnoi,LSG,2,0
WL Madsen,MI,2,0
TM Head,GT,2,0
S Gopal,GT,2,0
Waqar Salamkheil,PBKS,2,0
D Padikkal,KKR,2,0
DJ Bravo,RCB,2,0
Washington Sundar,PBKS,2,0
CH Morris,DC,2,0
AD Russell,DC,2,0
RR Rossouw,SRH,2,0
Sanvir Singh,LSG,2,0
KA Pollard,CSK,2,0
RD Gaikwad,GT,2,0
H Ssenyondo,LSG,2,0
JN Loftie-Eaton,RR,2,0
Harshit Rana,KKR,2,0
Naveen-ul-Haq,SRH,2,0
P Simran Singh,SRH,2,0
Karan Shinde,RCB,2,1
Jaskaran Singh,KKR,2,0
MS Dhoni,CSK,2,0
R Powell,KKR,2,0
KD Karthik,RR,2,0
H Klaasen,CSK,2,1
Abhishek Sharma,MI,1,0
MR Marsh,SRH,1,0
MP Stoinis,KKR,1,0
AA Kulkarni,GT,1,0
Atharva Ankolekar,MI,1,0
Ashwani Kumar,RR,1,0
JC Buttler,LSG,1,0
JG Bethell,LSG,1,0
Abishek Porel,DC,1,0
V Nigam,MI,1,0
JJ Smit,PBKS,1,1
Yudhvir Singh,RCB,1,0
JP Inglis,GT,1,0
Yash Thakur,PBKS,1,0
Sikandar Raza,MI,1,0
AB de Villiers,RR,1,0
AM Rahane,MI,1,0
Jagjit Singh,SRH,1,0
KK Ahmed,RR,1,0
LS Livingstone,KKR,1,0
MS Pepper,RR,1,1
Shashwat Rawat,PBKS,1,0
SN Netravalkar,CSK,1,0
KC Cariappa,MI,1,0
RD Chahar,CSK,1,0
RA Tripathi,KKR,1,0
Faisal Khan,LSG,1,0
DP Conway,PBKS,1,0
HS Desai,PBKS,1,0
PP Shaw,RCB,1,0
HV Patel,RR,1,0
S Lamichhane,DC,1,0
SH Johnson,GT,1,2
SN Thakur,GT,1,0
Babar Azam,KKR,1,0
Naman Dhir,GT,1,0
SS Agarwal,DC,1,0
Hassan Nawaz,RCB,1,0
Chirag Jani,PBKS,1,0
I Sharma,RCB,1,0
Ishaan Gadekar,RCB,1,0
Mohammad Ghazanfar,SRH,1,0
C Sakariya,SRH,1,0
