player,team,points_bat,points_ball,total_points,num_POTM_awards
S Dube,RR,533.3455232067511,390.8047619195768,924.1502851263278,7
PWH de Silva,RCB,417.7680150150151,353.9454811915934,771.7134962066084,4
WG Jacks,LSG,405.5839847328243,307.3578583383232,712.9418430711476,4
C Green,KKR,386.8429019607843,317.225328320802,704.0682302815862,4
Shashank Singh,PBKS,265.0175913200723,381.7958560190795,646.8134473391517,3
CH Gayle,CSK,390.7835132275132,199.104503523851,589.8880167513643,3
SP Narine,KKR,365.8510740740741,209.6290501875507,575.4801242616247,2
Tanush Kotian,CSK,242.8394068441065,323.8513053715968,566.6907122157032,1
Shubman Gill,LSG,530.8619565217391,0.0,530.8619565217391,3
MJ Owen,DC,221.3419388753056,298.2297676814768,519.5717065567824,0
RD Gaikwad,GT,505.7625216400911,0.0,505.7625216400911,3
PD Salt,RCB,502.4163441108545,0.0,502.4163441108545,0
Abhishek Sharma,MI,387.1567237851663,100.1234033730304,487.2801271581966,2
Arshdeep Singh,LSG,0.0,487.2472459425824,487.2472459425824,1
MP Stoinis,KKR,426.0484745011086,60.98379066588556,487.0322651669942,1
KL Rahul,SRH,484.6445440613027,0.0,484.6445440613027,3
JC Archer,LSG,17.57517647058824,447.6343633555314,465.2095398261196,2
Tilak Varma,CSK,451.7991111111111,0.0,451.7991111111111,1
BJ McMullen,RR,359.6263157894737,91.92208547008546,451.5484012595592,0
HH Pandya,MI,169.7110116550117,277.97930007006,447.6903117250716,2
Abdul Samad,LSG,303.3196438356164,144.0683198881359,447.3879637237524,1
V Kohli,DC,426.605470437018,0.0,426.605470437018,1
YBK Jaiswal,RR,425.7283553299492,0.0,425.7283553299492,1
Shadab Khan,SRH,188.8992637362637,235.9567125967012,424.8559763329649,1
GF Linde,GT,159.0510101010101,259.167126060367,418.2181361613771,1
GJ Maxwell,RR,379.3908302872063,37.59090909090909,416.9817393781153,0
A Nagwaswalla,RR,0.0,414.9037159782757,414.9037159782757,0
R Parag,GT,294.376634920635,117.7091111111111,412.0857460317461,0
Tarang Gohel,DC,406.7396475644699,0.0,406.7396475644699,1
SA Yadav,DC,398.6202709359606,0.0,398.6202709359606,2
Sameer Rizvi,LSG,395.5908302872062,0.0,395.5908302872062,0
YK Pathan,KKR,159.2937969924812,229.3885750363653,388.6823720288465,1
AK Markram,DC,129.4324574898785,258.2188046718866,387.6512621617652,3
M Pathirana,RCB,0.0,386.2600881434561,386.2600881434561,1
Karan Lal,RR,0.0,385.4101662137982,385.4101662137982,1
Priyansh Arya,SRH,383.7907606837607,0.0,383.7907606837607,1
VR Iyer,SRH,375.1728245243129,0.0,375.1728245243129,1
KA Pollard,CSK,277.1182783505154,96.48717948717949,373.6054578376949,1
B Sai Sudharsan,CSK,369.6316011477762,0.0,369.6316011477762,1
AR Ramjani,PBKS,51.35665287118469,318.1187254718403,369.475378343025,1
D Wiese,GT,184.5429388753056,182.904141989552,367.4470808648576,0
JM Sharma,RCB,366.6516381156317,0.0,366.6516381156317,1
MA Starc,KKR,0.0,363.0029033074281,363.0029033074281,0
Nithish Kumar Reddy,SRH,231.1228739635158,130.5173333333333,361.6402072968491,0
D Brevis,RR,218.2266660341556,141.1367204629073,359.3633864970629,0
Naman Dhir,GT,356.5462016806723,0.0,356.5462016806723,1
P Simran Singh,SRH,355.4755275938189,0.0,355.4755275938189,1
B Kumar,KKR,-39.71900000000001,394.9559935721588,355.2369935721588,1
GD Phillips,GT,152.7405135135135,197.5632087845251,350.3037222980386,0
RG Sharma,KKR,350.1673441108545,0.0,350.1673441108545,1
FH Allen,PBKS,343.8341020408163,0.0,343.8341020408163,0
Shaheen Shah Afridi,MI,26.12655072463768,317.7057224297918,343.8322731544295,1
NT Ellis,SRH,0.0,335.5648953101709,335.5648953101709,1
TA Boult,MI,94.51366666666668,240.6632860627744,335.1769527294411,0
