bowler,bowling_team,num_innings,economy,balls,wkts
Utkarsh Singh,PBKS,2,6.0,24,0
D Ferreira,DC,2,6.33,36,2
KC Cariappa,MI,1,6.5,24,1
K Kartikeya,GT,1,7.25,24,0
Jagjit Singh,SRH,2,7.29,42,2
Fazalhaq Farooqi,CSK,10,7.52,240,17
JN Loftie-Eaton,RR,6,7.56,127,6
Shakib Al Hasan,PBKS,7,7.59,132,2
S Lamichhane,DC,6,7.65,113,12
SH Johnson,GT,5,7.74,107,11
Ravi Teja,RCB,8,7.79,171,14
AA Kulkarni,GT,3,7.8,30,2
KA Pollard,CSK,4,7.8,30,1
YK Pathan,KKR,12,7.9,180,11
LS Livingstone,KKR,6,7.9,98,8
C Sakariya,SRH,3,7.92,72,2
C Green,KKR,13,7.98,288,18
V Nigam,MI,5,8.0,108,7
Shadab Khan,SRH,10,8.06,204,12
AR Ramjani,PBKS,12,8.09,276,18
GD Phillips,GT,5,8.09,66,7
Ashwin Das,LSG,5,8.1,120,8
DS Airee,RCB,2,8.17,36,2
NA Rathva,RCB,3,8.25,24,1
MG Erasmus,RCB,9,8.29,204,7
Harsh Dubey,RCB,6,8.32,114,5
Naseem Shah,LSG,13,8.33,312,13
KA Maharaj,SRH,10,8.33,221,17
AR Patel,CSK,11,8.44,258,13
LI Meriwala,DC,11,8.45,264,19
VG Arora,KKR,3,8.58,72,4
Mohammad Nabi,LSG,8,8.65,186,8
RA Bawa,SRH,10,8.65,120,2
H Ssenyondo,LSG,3,8.67,72,6
Pulkit Narang,RR,6,8.68,132,4
Noor Ahmad,MI,8,8.72,192,12
Washington Sundar,PBKS,10,8.75,231,10
Khrievitso Kense,RCB,9,8.75,216,8
A Nagwaswalla,RR,15,8.82,358,27
CV Varun,PBKS,10,8.92,222,16
Kuldeep Yadav,SRH,13,8.95,285,12
JJ Bumrah,DC,13,8.96,288,20
R Parag,GT,7,9.0,60,3
AK Markram,DC,7,9.02,137,13
Imran Tahir,CSK,8,9.03,192,12
Ashutosh Sharma,RCB,10,9.03,186,11
Tanush Kotian,CSK,16,9.06,378,21
Sikandar Raza,MI,5,9.06,96,6
DS Rathi,KKR,3,9.08,72,6
Hemang Patel,GT,8,9.08,72,3
DJ Bravo,RCB,4,9.09,66,3
Naveen-ul-Haq,SRH,5,9.15,120,7
SP Narine,KKR,18,9.16,424,13
NT Ellis,SRH,10,9.18,228,20
Khushdil Shah,DC,6,9.22,138,5
JJ Smit,PBKS,6,9.22,138,4
Harsh Tyagi,SRH,5,9.25,72,3
Arshdeep Singh,LSG,20,9.27,452,35
HH Pandya,MI,14,9.3,300,17
Shaheen Shah Afridi,MI,11,9.3,233,19
Akash Vasisht,DC,6,9.32,132,6
Chirag Jani,PBKS,8,9.37,114,3
TA Boult,MI,13,9.46,312,15
Azmatullah Omarzai,LSG,6,9.46,144,5
RA Jadeja,RCB,7,9.47,102,5
A Sheth,DC,1,9.5,24,1
Cheepurapalli Stephen,CSK,1,9.5,24,1
YS Chahal,RCB,12,9.54,266,16
PWH de Silva,RCB,15,9.57,324,23
Mohammad Ghazanfar,SRH,11,9.59,246,17
Nithish Kumar Reddy,SRH,12,9.6,180,6
Karan Lal,RR,15,9.62,340,26
GF Linde,GT,12,9.62,285,16
PHKD Mendis,SRH,10,9.69,96,2
SL Malinga,PBKS,8,9.7,175,13
WG Jacks,LSG,21,9.72,365,21
DR Sams,GT,10,9.74,210,11
Rashid Khan,RR,5,9.74,114,2
SZ Mulani,LSG,1,9.75,24,0
Avesh Khan,GT,6,9.76,126,8
S Dube,RR,19,9.78,362,28
Shashank Singh,PBKS,18,9.81,318,25
Suryansh Shedge,CSK,9,9.85,198,8
V Puthur,DC,4,9.86,84,2
Mayank Dagar,LSG,4,9.92,78,5
D Wiese,GT,11,9.94,218,10
DAJ Bracewell,RCB,6,9.94,134,6
JR Hazlewood,RR,12,9.98,288,18
S Gopal,GT,2,10.0,48,2
D Brevis,RR,11,10.03,174,7
MA Starc,KKR,12,10.06,253,23
HJ Manenti,PBKS,8,10.06,170,15
MP Yadav,PBKS,6,10.06,133,6
Yash Thakur,PBKS,2,10.14,42,1
T Natarajan,CSK,10,10.18,240,9
M Pathirana,RCB,13,10.19,275,25
Abrar Ahmed,GT,10,10.19,219,16
Abdul Samad,LSG,12,10.21,114,6
R Ashwin,KKR,5,10.29,98,8
B Kumar,KKR,16,10.34,355,27
R Shepherd,GT,10,10.43,237,10
Mohammed Shami,GT,4,10.47,90,6
TM Head,GT,4,10.56,54,1
JDS Neesham,DC,12,10.57,282,7
KK Ahmed,RR,4,10.57,84,4
CH Gayle,CSK,9,10.61,134,10
Ramandeep Singh,LSG,10,10.65,120,4
PJ Cummins,RR,4,10.67,90,4
Yudhvir Singh,RCB,4,10.69,78,6
Shivank Vashisth,RCB,1,10.75,24,1
M Jansen,SRH,3,10.83,72,3
