bowler,team,score,rank
Karan Lal,RR,28.8647,1
Fazalhaq Farooqi,CSK,28.6187,2
Arshdeep Singh,LSG,28.4312,3
JJ Bumrah,DC,28.3664,4
M Pathirana,RCB,28.3537,5
LI Meriwala,DC,28.3095,6
A Zampa,RR,27.4446,7
MA Starc,KKR,26.4581,8
B Kumar,KKR,26.3108,9
Kuldeep Yadav,SRH,25.3996,10
TA Boult,MI,24.5737,11
A Nagwaswalla,RR,23.705,12
JC Archer,LSG,23.7014,13
Mohammad Nabi,LSG,23.6906,14
Shashank Singh,PBKS,23.5634,15
AR Patel,CSK,23.0,16
Naseem Shah,LSG,22.6535,17
JR Hazlewood,RR,22.4191,18
Tanush Kotian,CSK,22.1185,19
DS Rathi,KKR,21.8973,20
Washington Sundar,PBKS,21.5488,21
MP Yadav,PBKS,20.5977,22
HH Pandya,MI,20.5285,23
AK Markram,DC,20.5167,24
NT Ellis,SRH,20.1278,25
Khrievitso Kense,RCB,19.9938,26
Noor Ahmad,MI,19.473,27
Suryansh Shedge,CSK,19.4725,28
SH Johnson,GT,19.3415,29
KA Maharaj,SRH,19.2363,30
T Natarajan,CSK,18.9719,31
JN Loftie-Eaton,RR,18.9356,32
Ashwin Das,LSG,18.7398,33
M Prasidh Krishna,MI,18.6071,34
CV Varun,PBKS,18.2721,35
YK Pathan,KKR,18.2698,36
WG Jacks,LSG,18.0343,37
YS Chahal,RCB,17.961,38
SP Narine,KKR,17.7011,39
C Green,KKR,17.6773,40
Avesh Khan,GT,17.3318,41
Rashid Khan,RR,17.0949,42
Ravi Teja,RCB,16.8749,43
A Sheth,DC,16.7161,44
Akash Vasisht,DC,16.5469,45
Ravi Bishnoi,LSG,16.5126,46
C Sakariya,SRH,16.4691,47
PJ Cummins,RR,16.152,48
GF Linde,GT,15.7976,49
LS Livingstone,KKR,15.7018,50
M Siddharth,CSK,15.6201,51
Shadab Khan,SRH,15.3488,52
Shakib Al Hasan,PBKS,15.3344,53
AR Ramjani,PBKS,15.3288,54
Imran Tahir,CSK,15.2192,55
PWH de Silva,RCB,15.1881,56
GJ Maxwell,RR,15.1743,57
MG Erasmus,RCB,14.8694,58
Mohammad Ghazanfar,SRH,14.7692,59
Naveen-ul-Haq,SRH,14.6664,60
Shaheen Shah Afridi,MI,14.4497,61
S Lamichhane,DC,14.1676,62
SL Malinga,PBKS,13.6632,63
Shahbaz Ahmed,GT,13.4843,64
Mayank Dagar,LSG,13.4574,65
Sikandar Raza,MI,13.4331,66
KH Pandya,SRH,13.4181,67
RA Jadeja,RCB,13.0669,68
Ashutosh Sharma,RCB,12.7511,69
R Sai Kishore,MI,12.5262,70
Mohammed Shami,GT,12.5042,71
R Ashwin,KKR,12.2261,72
S Dube,RR,12.184,73
R Shepherd,GT,12.173,74
Rasikh Salam,GT,12.1048,75
Utkarsh Singh,PBKS,11.3651,76
K Kartikeya,GT,11.2829,77
JJ Smit,PBKS,11.0616,78
BA Stokes,SRH,11.0576,79
Yudhvir Singh,RCB,10.9096,80
M Markande,SRH,10.5394,81
Harpreet Brar,RR,10.219,82
Jagjit Singh,SRH,10.1799,83
HV Patel,RR,10.0366,84
RS Hangargekar,MI,9.9961,85
SS Ghosh,MI,9.9892,86
Harshit Rana,KKR,9.836,87
Yash Thakur,PBKS,9.8055,88
Swapnil Singh,CSK,9.5943,89
Abrar Ahmed,GT,9.4603,90
HJ Manenti,PBKS,9.4525,91
Chirag Jani,PBKS,9.4318,92
V Puthur,DC,9.1992,93
DR Sams,GT,8.9325,94
SZ Mulani,LSG,8.6829,95
DAJ Bracewell,RCB,8.3554,96
Abdul Samad,LSG,8.1835,97
PHKD Mendis,SRH,7.8924,98
VG Arora,KKR,7.8109,99
D Wiese,GT,7.6692,100
KK Ahmed,RR,7.4175,101
Pulkit Narang,RR,7.284,102
M Jansen,SRH,7.0925,103
Abhishek Sharma,MI,5.95,104
Nithish Kumar Reddy,SRH,5.9387,105
Arshad Khan,RR,5.6992,106
TU Deshpande,MI,5.568,107
GD Phillips,GT,5.5416,108
Ramandeep Singh,LSG,5.4874,109
V Nigam,MI,5.4206,110
Harsh Dubey,RCB,5.4137,111
Atharva Ankolekar,MI,5.198,112
DS Airee,RCB,5.0815,113
R Parag,GT,5.0314,114
MJ Owen,DC,4.7719,115
RA Bawa,SRH,4.6797,116
BJ McMullen,RR,4.5345,117
DJ Bravo,RCB,4.4812,118
CH Gayle,CSK,3.8755,119
S Gopal,GT,3.2854,120
Azmatullah Omarzai,LSG,2.8813,121
Khushdil Shah,DC,2.692,122
D Brevis,RR,2.251,123
JDS Neesham,DC,1.6489,124
MR Marsh,SRH,1.4135,125
Cheepurapalli Stephen,CSK,1.0254,126
AD Russell,DC,0.7958,127
I Sharma,RCB,-0.2406,128
KA Pollard,CSK,-1.8092,129
CH Morris,DC,-1.8916,130
Yuvraj Singh,CSK,-2.0581,131
MP Stoinis,KKR,-3.0513,132
JG Bethell,LSG,-3.3313,133
Ashwani Kumar,RR,-4.4526,134
RD Chahar,CSK,-6.1612,135
