striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,ones,twos,threes,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,30+_scores,50+_scores,100+_scores
A Badoni,RCB,13,157,149,12,11,7,81,48,7,3,105.37,12.42,13.08,8.28,54.36,1,0,0
Azmatullah Omarzai,RR,6,148,89,4,7,8,26,39,6,7,166.29,22.25,37.0,5.93,29.21,3,0,0
JG Bethell,SRH,8,148,117,6,11,7,50,39,7,3,126.5,19.5,24.67,6.5,42.74,2,0,0
Atharva Taide,RR,5,145,95,5,13,8,38,31,7,0,152.63,19.0,29.0,4.52,40.0,2,1,0
N Sindhu,DC,3,144,65,3,14,7,21,11,10,5,221.54,21.67,48.0,3.1,32.31,2,2,0
R Parag,MI,9,144,125,7,16,4,60,43,5,1,115.2,17.86,20.57,6.25,48.0,2,1,0
Rashid Khan,GT,9,142,109,6,10,6,46,40,7,4,130.28,18.17,23.67,6.81,42.2,2,0,0
Abdul Samad,LSG,8,128,70,4,14,6,23,19,7,1,182.86,17.5,32.0,3.5,32.86,2,0,0
Bhanu Pania,MI,4,124,98,3,6,6,43,34,6,6,126.53,32.67,41.33,8.17,43.88,2,0,0
D Padikkal,KKR,2,119,83,2,9,7,32,34,2,1,143.37,41.5,59.5,5.19,38.55,2,2,0
N Wadhera,LSG,6,117,87,3,9,5,32,35,8,0,134.48,29.0,39.0,6.21,36.78,2,0,0
Washington Sundar,PBKS,9,113,93,8,8,4,38,35,8,2,121.51,11.62,14.12,7.75,40.86,0,0,0
R Ashwin,KKR,9,110,97,7,2,7,45,39,6,3,113.4,13.86,15.71,10.78,46.39,1,0,0
KK Nair,RR,5,107,80,4,9,5,40,18,7,3,133.75,20.0,26.75,5.71,50.0,1,0,0
DA Warner,DC,7,106,78,6,10,3,27,32,5,2,135.9,13.0,17.67,6.0,34.62,1,1,0
JM Sharma,RR,11,104,78,8,11,5,36,26,2,0,133.33,9.75,13.0,4.88,46.15,0,0,0
HV Patel,PBKS,9,98,82,8,5,6,38,26,5,2,119.51,10.25,12.25,7.45,46.34,1,0,0
GD Phillips,GT,4,93,50,3,10,5,23,8,3,3,186.0,16.67,31.0,3.33,46.0,1,0,0
Shahbaz Ahmed,LSG,6,92,63,4,2,7,22,25,7,1,146.03,15.75,23.0,7.0,34.92,1,0,0
SM Curran,KKR,7,92,75,6,14,0,34,25,1,3,122.67,12.5,15.33,5.36,45.33,2,0,0
KH Pandya,SRH,8,89,65,5,10,3,29,19,6,0,136.92,13.0,17.8,5.0,44.62,1,0,0
MS Dhoni,CSK,10,87,70,5,7,2,23,37,2,2,124.29,14.0,17.4,7.78,32.86,0,0,0
J Fraser-McGurk,PBKS,3,77,50,3,6,5,19,18,1,1,154.0,16.67,25.67,4.55,38.0,1,0,0
PJ Cummins,MI,5,73,57,3,7,1,17,26,5,1,128.07,19.0,24.33,7.12,29.82,1,0,0
JR Hazlewood,RR,7,71,54,5,3,4,26,12,7,3,131.48,10.8,14.2,7.71,48.15,0,0,0
R Tewatia,GT,8,64,48,8,11,0,19,16,2,0,133.33,6.0,8.0,4.36,39.58,0,0,0
M Shahrukh Khan,MI,5,64,57,5,4,2,24,26,5,0,112.28,11.4,12.8,9.5,42.11,0,0,0
PWH de Silva,DC,4,63,44,3,4,3,16,18,4,1,143.18,14.67,21.0,6.29,36.36,1,0,0
MA Starc,KKR,5,61,35,4,6,2,13,10,3,3,174.29,8.75,15.25,4.38,37.14,1,0,0
TA Boult,PBKS,6,57,46,2,5,0,13,23,4,2,123.91,23.0,28.5,9.2,28.26,0,0,0
B Kumar,KKR,5,54,41,2,3,3,14,18,3,0,131.71,20.5,27.0,6.83,34.15,0,0,0
G Coetzee,KKR,4,52,42,1,3,1,13,25,3,1,123.81,42.0,52.0,10.5,30.95,0,0,0
RA Jadeja,DC,5,52,44,2,5,1,16,22,2,0,118.18,22.0,26.0,7.33,36.36,0,0,0
RD Chahar,RCB,4,48,40,2,4,0,12,17,6,1,120.0,20.0,24.0,10.0,30.0,0,0,0
HS Desai,DC,3,43,21,3,3,3,6,7,3,0,204.76,7.0,14.33,3.5,28.57,1,0,0
J Suchith,RCB,3,42,39,3,1,2,14,19,2,1,107.69,13.0,14.0,13.0,35.9,1,0,0
M Jansen,GT,2,40,32,2,3,0,8,17,4,1,125.0,16.0,20.0,10.67,25.0,1,0,0
SP Narine,RR,4,40,42,3,4,1,20,16,1,0,95.24,14.0,13.33,8.4,47.62,0,0,0
DL Chahar,KKR,2,39,29,1,7,0,12,9,1,0,134.48,29.0,39.0,4.14,41.38,0,0,0
AD Russell,DC,5,38,44,3,4,0,23,15,2,1,86.36,14.67,12.67,11.0,52.27,0,0,0
JC Archer,GT,6,37,39,6,2,2,23,10,2,1,94.87,6.5,6.17,9.75,58.97,0,0,0
Jagjit Singh,CSK,3,35,21,0,3,2,9,4,2,1,166.67,inf,inf,4.2,42.86,0,0,0
MJ Santner,KKR,4,34,36,3,1,1,14,19,1,1,94.44,12.0,11.33,18.0,38.89,0,0,0
M Theekshana,MI,5,33,27,1,3,2,14,7,1,0,122.22,27.0,33.0,5.4,51.85,0,0,0
PN Mankad,RCB,2,33,31,2,2,1,12,13,3,0,106.45,15.5,16.5,10.33,38.71,0,0,0
SH Johnson,SRH,3,32,17,3,1,3,7,3,2,1,188.24,5.67,10.67,4.25,41.18,0,0,0
R Sai Kishore,RR,2,32,19,2,2,2,6,6,3,0,168.42,9.5,16.0,4.75,31.58,0,0,0
Avesh Khan,RCB,6,32,28,5,2,0,12,11,2,3,114.29,5.6,6.4,14.0,42.86,0,0,0
M Markande,LSG,2,32,38,0,2,1,22,10,1,2,84.21,inf,inf,12.67,57.89,0,0,0
M Prasidh Krishna,DC,2,30,20,1,1,1,5,8,3,2,150.0,20.0,30.0,10.0,25.0,0,0,0
MM Ali,RR,2,29,12,1,2,2,1,5,2,0,241.67,12.0,29.0,3.0,8.33,0,0,0
JJ Bumrah,RCB,6,29,18,4,4,0,6,4,3,1,161.11,4.5,7.25,4.5,33.33,0,0,0
RD Rickelton,KKR,3,29,20,3,2,1,8,7,1,2,145.0,6.67,9.67,6.67,40.0,0,0,0
VG Arora,KKR,3,29,24,2,2,0,11,7,1,4,120.83,12.0,14.5,12.0,45.83,0,0,0
Ravi Bishnoi,PBKS,4,29,31,2,3,1,18,9,1,0,93.55,15.5,14.5,7.75,58.06,0,0,0
Mohammed Shami,GT,5,28,25,4,1,0,10,7,4,3,112.0,6.25,7.0,25.0,40.0,0,0,0
A Manohar,LSG,2,27,21,2,2,1,10,7,0,2,128.57,10.5,13.5,7.0,47.62,0,0,0
MADI Hemantha,CSK,2,26,12,1,1,2,6,1,0,3,216.67,12.0,26.0,4.0,50.0,0,0,0
KK Ahmed,GT,5,26,18,1,3,1,9,3,1,1,144.44,18.0,26.0,4.5,50.0,0,0,0
Mohammed Siraj,MI,2,24,11,2,3,1,4,1,1,1,218.18,5.5,12.0,2.75,36.36,0,0,0
JM Bairstow,DC,2,24,27,2,3,0,14,8,2,0,88.89,13.5,12.0,9.0,51.85,0,0,0
Mustafizur Rahman,DC,2,24,32,2,0,0,15,13,4,1,75.0,16.0,12.0,inf,46.88,0,0,0
AJ Hosein,SRH,2,23,21,2,1,1,9,9,2,0,109.52,10.5,11.5,10.5,42.86,0,0,0
A Zampa,LSG,3,21,13,2,1,2,7,2,0,1,161.54,6.5,10.5,4.33,53.85,0,0,0
TH David,LSG,2,21,17,2,1,1,6,8,0,1,123.53,8.5,10.5,8.5,35.29,0,0,0
T Natarajan,CSK,3,20,12,3,2,0,4,2,2,2,166.67,4.0,6.67,6.0,33.33,0,0,0
C Sakariya,SRH,4,20,16,2,2,1,7,6,0,0,125.0,8.0,10.0,5.33,43.75,0,0,0
