player,team,#catches,#runout/stumping
KL Rahul,SRH,14,0
Naman Dhir,GT,11,0
Ishan Kishan,KKR,11,0
Urvil Patel,MI,10,0
Abishek Porel,LSG,10,0
Rasikh Salam,SRH,9,0
Priyansh Arya,RCB,9,1
Vansh Bedi,PBKS,9,0
JP Inglis,GT,9,0
T Stubbs,CSK,8,1
C Green,KKR,8,0
Tarang Gohel,DC,8,0
SA Yadav,DC,8,0
Shahbaz Ahmed,KKR,8,1
Ashutosh Sharma,GT,7,0
YBK Jaiswal,RR,7,0
GD Phillips,RR,6,2
D Forrester,LSG,6,1
P Simran Singh,SRH,6,1
SU Parakh,SRH,6,0
MR Marsh,MI,6,0
RR Rossouw,MI,6,0
JR Hazlewood,MI,6,0
RM Patidar,RCB,5,0
NT Ellis,SRH,5,2
WL Madsen,KKR,5,0
D Brevis,GT,5,1
WG Jacks,SRH,5,0
JJ Smit,PBKS,5,0
MP Stoinis,SRH,5,0
JM Sharma,RCB,5,0
V Suryavanshi,PBKS,5,1
RD Rickelton,RR,5,0
Tushar Raheja,MI,5,0
Rohan Kunnummal,MI,4,0
HJ Manenti,RCB,4,1
Ravi Teja,SRH,4,0
Sameer Rizvi,LSG,4,0
KK Nair,CSK,4,0
JC Buttler,DC,4,1
GF Linde,GT,4,0
PD Salt,RR,4,1
Kartik Sharma,SRH,4,0
RD Gaikwad,CSK,4,2
AD Russell,DC,4,0
PHKD Mendis,PBKS,4,1
Abhishek Sharma,MI,4,2
Virat Singh,KKR,4,0
VR Iyer,SRH,4,0
Shubman Gill,LSG,4,0
RE van der Merwe,CSK,4,0
Suryansh Shedge,KKR,4,0
C Sakariya,RR,4,0
CH Gayle,RCB,4,0
L Ngidi,RR,4,0
Sikandar Raza,MI,4,0
Ritik Vats,DC,3,0
Junaid Siddique,RR,3,0
R Smaran,PBKS,3,0
M Markande,SRH,3,0
Mohammad Ghazanfar,RR,3,0
S Dube,RR,3,0
Kumar Kushagra,RR,3,0
RA Jadeja,LSG,3,0
Sakibul Gani,RR,3,0
JJ Bumrah,DC,3,1
Shubhang Hegde,LSG,3,0
AK Markram,DC,3,0
AR Ramjani,PBKS,3,0
Vishnu Vinod,RR,3,0
Abhishek Tanwar,MI,3,0
V Nigam,GT,3,0
Tanush Kotian,CSK,3,0
Atharva Ankolekar,RR,3,0
Siddhesh Veer,MI,3,0
Chirag Jani,RCB,3,0
H Klaasen,CSK,3,0
GJ Maxwell,DC,3,0
J Suresh Kumar,PBKS,3,0
SV Samson,GT,3,2
Tilak Varma,CSK,2,1
Yash Raj Punja,GT,2,0
S Arora,KKR,2,0
PWH de Silva,RCB,2,0
SR Dickson,PBKS,2,0
Prashant Solanki,CSK,2,0
SR Hain,RCB,2,1
Pulkit Narang,KKR,2,0
SS Iyer,KKR,2,0
Sayed Irfan Aftab,PBKS,2,0
Shashank Singh,PBKS,2,1
TM Head,KKR,2,0
TH David,GT,2,0
Sunil Kumar,MI,2,0
RG Sharma,RCB,2,0
S Gopal,PBKS,2,0
Sufiyan Muqeem,GT,2,1
Satyajeet Bachhav,MI,2,0
Shivam Shukla,MI,2,0
A Badoni,RR,2,0
Mohammad Amir,LSG,2,0
Ashwin Das,LSG,2,0
J Overton,GT,2,0
Karan Shinde,SRH,2,2
Karan Lal,RR,2,1
Arshad Khan,MI,2,1
JO Holder,RCB,2,0
JM Vince,CSK,2,0
JA Duffy,LSG,2,0
B Kumar,KKR,2,0
Aniket Verma,RR,2,0
B Muzarabani,GT,2,0
HH Pandya,LSG,2,0
Gourav Choudhury,MI,2,0
D Wiese,KKR,2,0
DP Conway,LSG,2,0
DS Rathi,LSG,2,1
Anmolpreet Singh,KKR,2,0
Easwaran K,DC,2,0
A Zampa,SRH,2,0
Abrar Ahmed,KKR,2,1
N Pooran,MI,2,0
Akhil Singh Rawat,KKR,2,0
Akash Pawar,RCB,2,1
MJ Owen,DC,2,0
N Sindhu,DC,2,0
Abhishek Pathak,RCB,2,0
Ajay Rohera,LSG,2,0
C Connolly,GT,1,1
Sunny Sandhu,DC,1,0
V Kohli,CSK,1,1
CV Varun,PBKS,1,0
T Natarajan,RR,1,0
Sonu Yadav,CSK,1,0
DR Briggs,KKR,1,0
DS Airee,DC,1,0
A Mhatre,RCB,1,0
YS Chahal,KKR,1,0
TL Seifert,PBKS,1,0
AM Rahane,CSK,1,0
AR Patel,GT,1,0
Atharva Taide,RCB,1,0
Adarsh Singh,DC,1,0
TP Ura,PBKS,1,0
Tanay Thyagarajan,CSK,1,0
Ashwin Hebbar,MI,1,0
Dhruv Jurel,LSG,1,0
V Puthur,KKR,1,0
Tripuresh Singh,SRH,1,0
Nithish Kumar Reddy,GT,1,0
FH Allen,LSG,1,0
Shaheen Shah Afridi,DC,1,0
Esakkimuthu A,RCB,1,0
M Prasidh Krishna,KKR,1,0
M Siddharth,CSK,1,0
MA Starc,KKR,1,0
MS Dhoni,RCB,1,0
R Shepherd,SRH,1,0
R Powell,CSK,1,0
MS Pepper,PBKS,1,0
Manvanth Kumar L,PBKS,1,0
Prithviraj Shekhawat,DC,1,0
Prince Yadav,GT,1,0
Prashant Veer,PBKS,1,0
A Johnson,LSG,1,0
Parth Chandan,DC,1,0
PN Mankad,RCB,1,0
Naman Tiwari,CSK,1,1
M Pathirana,RCB,1,0
KH Pandya,SRH,1,0
KA Pollard,RR,1,0
Geet Puri,CSK,1,0
Shadab Khan,SRH,1,0
F du Plessis,CSK,1,0
Naveen-ul-Haq,CSK,1,0
Sanvir Singh,PBKS,1,1
Sanskar Rawat,PBKS,1,0
Fazalhaq Farooqi,CSK,1,0
HC Brook,GT,1,0
Rishabh Chouhan,GT,1,0
Harsh Dubey,DC,1,0
J Fraser-McGurk,KKR,1,0
SO Ngoche,KKR,1,1
SE Rutherford,DC,1,0
Jay Gohil,KKR,1,0
KA Maharaj,RCB,1,0
Yash Singh,RCB,1,0
Cheepurapalli Stephen,RR,0,1
HS Desai,SRH,0,1
Harshit Rana,GT,0,1
SS Ghosh,RCB,0,1
Shashwat Dangwal,MI,0,1
