bowler,team,score,rank
Noor Ahmad,MI,28.9978,1
KA Maharaj,RCB,28.9695,2
JJ Bumrah,DC,28.9319,3
H Ssenyondo,LSG,28.9148,4
A Zampa,SRH,28.9042,5
NT Ellis,SRH,28.8992,6
Kuldeep Yadav,LSG,28.8886,7
MA Starc,KKR,28.8662,8
Arshdeep Singh,LSG,28.8565,9
JC Archer,PBKS,28.7696,10
Fazalhaq Farooqi,CSK,28.7299,11
Shashank Singh,PBKS,28.5294,12
M Pathirana,RCB,28.4681,13
B Kumar,KKR,28.3313,14
Sufiyan Muqeem,GT,28.25,15
AR Ramjani,PBKS,28.2072,16
Tanush Kotian,CSK,28.1976,17
Karan Lal,RR,28.1642,18
JR Hazlewood,MI,28.1317,19
GF Linde,GT,28.102,20
JJ Smit,PBKS,28.0603,21
AK Markram,DC,28.0509,22
HJ Manenti,RCB,27.206,23
A Nagwaswalla,RR,27.1106,24
TA Boult,MI,26.9354,25
Harsh Dubey,DC,26.5393,26
Rasikh Salam,SRH,26.1581,27
PWH de Silva,RCB,25.8619,28
Mohammad Ghazanfar,RR,25.7404,29
CV Varun,PBKS,25.2578,30
Ashwin Das,LSG,25.0317,31
Suryansh Shedge,KKR,24.9496,32
MP Yadav,PBKS,24.8719,33
Washington Sundar,GT,24.4372,34
AR Patel,GT,24.0703,35
LI Meriwala,PBKS,23.9795,36
M Prasidh Krishna,KKR,23.5856,37
Pulkit Narang,KKR,23.5484,38
C Green,KKR,23.5404,39
HH Pandya,LSG,23.5297,40
T Natarajan,RR,22.5708,41
Ashutosh Sharma,GT,22.3401,42
WG Jacks,SRH,22.3399,43
DS Rathi,LSG,21.9281,44
Mohammad Nabi,LSG,21.8902,45
Ravi Teja,SRH,21.8834,46
SP Narine,PBKS,21.0685,47
Shahbaz Ahmed,KKR,20.587,48
Ravi Bishnoi,SRH,20.3681,49
Shivam Shukla,MI,20.2796,50
C Sakariya,RR,20.1399,51
Imran Tahir,RCB,19.9302,52
YS Chahal,KKR,19.8317,53
Geet Puri,CSK,19.3186,54
Tripuresh Singh,SRH,18.1393,55
M Siddharth,CSK,17.7684,56
Mohammad Amir,LSG,17.6304,57
M Markande,SRH,17.4617,58
Utkarsh Singh,PBKS,16.8685,59
SH Johnson,KKR,16.752,60
S Dube,RR,16.4209,61
Harshit Rana,GT,15.7751,62
V Puthur,KKR,15.7398,63
SS Ghosh,RCB,15.3722,64
S Lamichhane,RCB,15.3424,65
Naseem Shah,MI,14.8092,66
KH Pandya,SRH,14.5661,67
R Shepherd,SRH,14.5598,68
Atharva Ankolekar,RR,14.4327,69
GJ Maxwell,DC,14.2767,70
Sikandar Raza,MI,14.1082,71
Mayank Dagar,DC,13.626,72
JA Duffy,LSG,13.3828,73
Chirag Jani,RCB,13.1309,74
Mohammed Shami,MI,12.8711,75
Shaheen Shah Afridi,DC,12.5361,76
Naveen-ul-Haq,CSK,12.4125,77
Naman Tiwari,CSK,11.9386,78
J Overton,GT,11.759,79
RA Jadeja,LSG,11.6607,80
Yudhvir Singh,RR,11.0819,81
DS Airee,DC,10.3787,82
Gurnoor Brar,DC,9.8169,83
D Wiese,KKR,9.5034,84
Abhishek Sharma,MI,9.5031,85
RE van der Merwe,CSK,9.3571,86
CH Gayle,RCB,9.322,87
PHKD Mendis,PBKS,9.1421,88
Arshad Khan,MI,9.0429,89
Shadab Khan,SRH,9.0218,90
V Nigam,GT,8.7905,91
MJ Owen,DC,8.7598,92
Parth Chandan,DC,8.7204,93
Parvej Musaraf,KKR,7.0934,94
Tanay Thyagarajan,CSK,7.0254,95
D Forrester,LSG,6.8901,96
MR Marsh,MI,6.7266,97
Abrar Ahmed,KKR,6.587,98
Shubhang Hegde,LSG,6.5058,99
Mangesh Yadav,GT,6.3421,100
Prashant Veer,PBKS,6.2626,101
Sunny Sandhu,DC,6.2043,102
Sayed Irfan Aftab,PBKS,6.0209,103
C Connolly,GT,5.8523,104
AD Russell,DC,4.5892,105
Sonu Yadav,CSK,4.5603,106
GD Phillips,RR,4.5287,107
R Powell,CSK,4.5225,108
R Parag,GT,4.1417,109
RA Bawa,SRH,3.7853,110
Nithish Kumar Reddy,GT,3.7549,111
Ehsan Khan,MI,3.6878,112
S Gopal,PBKS,3.4152,113
L Ngidi,RR,3.0048,114
Cheepurapalli Stephen,RR,2.9605,115
Junaid Siddique,RR,2.9269,116
Zeeshan Ansari,RR,2.3934,117
Sanvir Singh,PBKS,2.2879,118
KA Pollard,RR,2.1058,119
B Muzarabani,GT,-0.3507,120
JO Holder,RCB,-1.0242,121
VR Iyer,SRH,-2.1457,122
MP Stoinis,SRH,-2.1946,123
Ashwin Shelke,DC,-2.3807,124
Yash Raj Punja,GT,-7.2002,125
Manvanth Kumar L,PBKS,-7.8922,126
Abhishek Tanwar,MI,-11.3264,127
