Player,Team,TI,B.Impact,Bo.Impact
C Green,KKR,988.97,491.75,497.23
Urvil Patel,MI,928.7,928.7,0.0
Kartik Sharma,SRH,901.0600000000001,901.0600000000001,0.0
GJ Maxwell,DC,819.25,731.01,88.25
Rasikh Salam,SRH,792.38,11.64,780.74
Shubman Gill,LSG,778.1899999999999,778.1899999999999,0.0
Shashank Singh,PBKS,766.92,371.92,395.0
Tilak Varma,CSK,750.66,750.66,0.0
Tanush Kotian,CSK,749.13,409.15,339.99
Ishan Kishan,KKR,744.24,744.24,0.0
KA Pollard,RR,736.4,502.96,233.46
KL Rahul,SRH,733.58,733.58,0.0
SA Yadav,DC,728.52,728.52,0.0
S Dube,RR,721.95,542.38,179.58
Priyansh Arya,RCB,719.31,719.31,0.0
Aniket Verma,RR,712.96,712.96,0.0
Abhishek Sharma,MI,702.35,620.98,81.38
Ashutosh Sharma,GT,666.17,102.13,564.04
N Sindhu,DC,649.59,649.59,0.0
Abishek Porel,LSG,648.49,648.49,0.0
PWH de Silva,RCB,622.71,307.15,315.56
NT Ellis,SRH,615.93,-2.82,618.75
Sufiyan Muqeem,GT,600.0,12.08,587.92
SV Samson,GT,583.11,583.11,0.0
TL Seifert,PBKS,573.65,573.65,0.0
V Nigam,GT,561.65,422.25,139.36
HH Pandya,LSG,560.7,504.79,55.93000000000001
JP Inglis,GT,559.06,559.06,0.0
P Simran Singh,SRH,552.53,552.53,0.0
HJ Manenti,RCB,548.5699999999999,8.2,540.37
Tarang Gohel,DC,543.48,543.48,0.0
RE van der Merwe,CSK,514.14,141.39,372.76
Shahbaz Ahmed,KKR,503.16,98.18,404.99
Shivam Shukla,MI,502.15,40.92,461.23
JR Hazlewood,MI,500.41,-0.03000000000000025,500.43
Naman Dhir,GT,477.23,477.23,0.0
WL Madsen,KKR,469.75,469.75,0.0
GD Phillips,RR,459.22,333.71,125.52
Atharva Taide,RCB,457.16,457.16,0.0
V Suryavanshi,PBKS,456.59,456.59,0.0
JJ Smit,PBKS,453.98,61.85,392.1
VR Iyer,SRH,440.4,421.8,18.6
Sonu Yadav,CSK,424.48,159.67,264.8
CH Gayle,RCB,417.54,419.64,-2.1
PHKD Mendis,PBKS,414.34,328.86,85.48
TM Head,KKR,407.38,407.38,0.0
MR Marsh,MI,406.21,373.53,32.67
Sameer Rizvi,LSG,402.32,402.32,0.0
H Ssenyondo,LSG,399.37,27.42,371.96
YBK Jaiswal,RR,395.19,395.19,0.0
Ajay Rohera,LSG,389.63,389.63,0.0
Harsh Dubey,DC,389.06,-1.81,390.87
Vansh Bedi,PBKS,387.58,387.58,0.0
Pulkit Narang,KKR,386.39,5.84,380.54
Tushar Raheja,MI,382.16,382.16,0.0
JJ Bumrah,DC,382.05,-3.5,385.54
Jay Gohil,KKR,380.19,380.19,0.0
D Brevis,GT,375.01,375.01,0.0
Mohammad Ghazanfar,RR,359.7,2.87,356.83
T Stubbs,CSK,350.39,350.39,0.0
A Zampa,SRH,348.89,-3.56,352.46
GF Linde,GT,348.88,34.73,314.16
Ravi Teja,SRH,346.64,-3.64,350.28
Abhishek Pathak,RCB,343.94,343.94,0.0
B Kumar,KKR,339.58,-6.85,346.43
SS Ghosh,RCB,338.51,-6.77,345.26
AK Markram,DC,328.28,14.95,313.34
KA Maharaj,RCB,322.16,-2.7,324.88
Mohammad Amir,LSG,312.24,0.0,312.24
Karan Lal,RR,308.5,2.7,305.79
JM Sharma,RCB,299.59,299.59,0.0
Siddhesh Veer,MI,298.23,298.23,0.0
RM Patidar,RCB,291.43,291.43,0.0
Sikandar Raza,MI,288.72,31.17,257.55
JA Duffy,LSG,287.71,-2.77,290.49
Prashant Solanki,CSK,277.56,0.75,276.81
Rohan Kunnummal,MI,272.11,272.11,0.0
SS Iyer,KKR,269.89,269.89,0.0
AD Russell,DC,267.12,230.86,36.28
SP Narine,PBKS,262.87,132.95,129.91
Atharva Ankolekar,RR,258.38,-2.17,260.55
JC Buttler,DC,255.69,255.69,0.0
Chirag Jani,RCB,241.6,21.6,219.99
Shubhang Hegde,LSG,239.5,126.22,113.28
WG Jacks,SRH,237.43,120.05,117.39
Geet Puri,CSK,236.97,-1.03,238.0
SU Parakh,SRH,233.63,233.63,0.0
Abhishek Tanwar,MI,226.34,152.82,73.50999999999999
CV Varun,PBKS,222.44,-2.57,225.0
RD Gaikwad,CSK,221.17,221.17,0.0
Arshdeep Singh,LSG,217.74,0.0,217.74
D Forrester,LSG,214.23,73.8,140.44
J Overton,GT,205.78,65.0,140.78
M Pathirana,RCB,204.02,-5.31,209.33
DP Conway,LSG,202.89,202.89,0.0
Satyajeet Bachhav,MI,202.19,14.17,188.01
R Smaran,PBKS,200.44,200.44,0.0
BM Duckett,SRH,200.13,200.13,0.0
Sunil Kumar,MI,199.94,-1.77,201.71
Junaid Siddique,RR,197.28,-5.33,202.62
B Muzarabani,GT,195.45,-1.75,197.2
AR Ramjani,PBKS,193.75,15.54,178.21
Ritik Vats,DC,190.03,190.03,0.0
KK Nair,CSK,188.39,188.39,0.0
Naseem Shah,MI,186.77,1.64,185.13
C Sakariya,RR,186.14,4.35,181.79
Utkarsh Singh,PBKS,185.67,86.57,99.1
Ashwin Das,LSG,185.66,0.0,185.66
V Kohli,CSK,184.17,187.88,-3.71
JM Vince,CSK,179.46,179.46,0.0
JC Archer,PBKS,178.91,1.54,177.37
Suryansh Shedge,KKR,177.78,44.09,133.7
R Parag,GT,177.0,182.85,-5.85
Gurnoor Brar,DC,169.95,15.84,154.12
Tripuresh Singh,SRH,164.81,0.0,164.81
Prince Yadav,GT,158.76,-1.35,160.11
DS Airee,DC,157.21,30.84,126.37
Shaheen Shah Afridi,DC,152.24,-1.74,153.98
AM Rahane,CSK,151.9,151.9,0.0
Anmolpreet Singh,KKR,149.25,149.25,0.0
Parvej Musaraf,KKR,148.36,38.13,110.22
Parth Chandan,DC,146.0,64.58,81.41
R Powell,CSK,143.79,80.75,63.05
Kumar Kushagra,RR,142.33,142.33,0.0
V Puthur,KKR,141.51,-3.47,144.99
Tanay Thyagarajan,CSK,140.3,-1.99,142.29
KH Pandya,SRH,139.84,0.0,139.84
N Rana,PBKS,139.6,139.6,0.0
PD Salt,RR,135.34,135.34,0.0
DS Rathi,LSG,134.26,8.600000000000001,125.66
Kuldeep Yadav,LSG,133.07,7.7,125.36
MS Pepper,PBKS,127.67,127.67,0.0
Sayed Irfan Aftab,PBKS,124.33,3.73,120.61
M Siddharth,CSK,121.85,-1.72,123.58
T Natarajan,RR,121.47,20.1,101.35
Sakibul Gani,RR,118.51,118.51,0.0
Fazalhaq Farooqi,CSK,115.96,-1.73,117.68
Mohammed Shami,MI,115.17,-1.74,116.91
Yash Singh,RCB,112.83,-1.63,114.46
MJ Owen,DC,111.31,37.87,73.44
H Klaasen,CSK,110.58,110.58,0.0
D Wiese,KKR,110.52,24.49,86.03
Adarsh Singh,DC,110.34,110.34,0.0
Arshad Khan,MI,107.11,26.94,80.16999999999999
L Ngidi,RR,106.93,-2.0,108.94
C Connolly,GT,105.53,81.50999999999999,24.01
Vishnu Vinod,RR,104.84,104.84,0.0
M Markande,SRH,103.18,-1.78,104.97
RD Rickelton,RR,101.63,101.63,0.0
DR Briggs,KKR,101.25,0.0,101.25
J Fraser-McGurk,KKR,101.15,101.15,0.0
A Nagwaswalla,RR,99.03,-1.52,100.54
S Gopal,PBKS,97.44000000000001,18.28,79.17999999999999
Nithish Kumar Reddy,GT,95.75,80.57,15.18
Abrar Ahmed,KKR,95.62,0.0,95.62
M Poiyamozhi,CSK,90.87,0.26,90.6
T Dahiya,LSG,78.82,78.82,0.0
SO Ngoche,KKR,77.12,-1.71,78.82
Easwaran K,DC,77.0,4.57,72.42999999999999
Ehsan Khan,MI,75.10000000000001,-1.77,76.87
YS Chahal,KKR,72.34,9.99,62.35
Virat Singh,KKR,71.41999999999999,71.41999999999999,0.0
FH Allen,LSG,67.23,67.23,0.0
Mohammad Nabi,LSG,66.39,25.53,40.87
Prashant Veer,PBKS,66.33,13.28,53.02999999999999
Yudhvir Singh,RR,65.85,10.1,55.75
Rishabh Chouhan,GT,64.05,64.05,0.0
Sunny Sandhu,DC,63.07,72.18,-9.09
Akash Pawar,RCB,61.76000000000001,25.77,35.99
MP Stoinis,SRH,60.45,60.94,-0.4800000000000004
Harshit Rana,GT,59.15,-1.75,60.9
A Mhatre,RCB,58.40000000000001,58.40000000000001,0.0
SH Johnson,KKR,57.13,0.0,57.13
Washington Sundar,GT,56.0,0.0,56.0
Mangesh Yadav,GT,55.51,0.0,55.51
Ravi Bishnoi,SRH,55.08,-1.76,56.84
Naman Tiwari,CSK,54.74,4.63,50.11
S Arora,KKR,51.71,51.71,0.0
HC Brook,GT,51.38,51.38,0.0
Akshya Deka,MI,50.67,-1.82,52.48999999999999
Naveen-ul-Haq,CSK,50.29000000000001,45.94,4.35
R Shepherd,SRH,46.42,11.06,35.36
J Suresh Kumar,PBKS,45.3,45.3,0.0
TP Ura,PBKS,40.98,40.98,0.0
Kunal Chandela,MI,40.01000000000001,40.01000000000001,0.0
Shadab Khan,SRH,39.29000000000001,-1.8,41.08
Karan Shinde,SRH,38.64,38.64,0.0
JE Root,SRH,38.3,49.38,-11.09
AR Patel,GT,37.5,30.33,7.170000000000001
RG Sharma,RCB,37.07,37.07,0.0
Prithviraj Shekhawat,DC,35.01,0.04,34.97
Sairaj Patil,KKR,34.74,39.79,-5.04
Sanvir Singh,PBKS,34.25,-3.94,38.18
LR Chethan,LSG,34.04000000000001,34.04000000000001,0.0
S Lamichhane,RCB,33.77,-1.75,35.53
Esakkimuthu A,RCB,31.41,0.0,31.41
Yash Raj Punja,GT,31.01,-1.75,32.76000000000001
Akhil Singh Rawat,KKR,28.91,28.91,0.0
Anmol Malhotra,GT,27.45,27.45,0.0
Abhilash Shetty,CSK,26.98,0.0,26.98
MA Starc,KKR,25.69,0.0,25.69
RK Singh,GT,25.1,25.1,0.0
RR Rossouw,MI,23.56,23.56,0.0
Dhruv Jurel,LSG,22.03,22.03,0.0
Cheepurapalli Stephen,RR,21.37,-1.81,23.18
TA Boult,MI,20.68,-3.32,24.0
Mayank Dagar,DC,20.52,0.0,20.52
Ashwin Shelke,DC,19.78,0.0,19.78
MS Dhoni,RCB,18.46,18.46,0.0
N Pooran,MI,18.24,18.24,0.0
Zeeshan Ansari,RR,15.95,-1.28,17.22
Abhishek Prabhakar,CSK,15.56,0.0,15.56
J Kariko,LSG,14.65,5.36,9.29
Athisayaraj Davidson,RCB,13.46,0.0,13.46
Sanskar Rawat,PBKS,12.97,12.97,0.0
SR Dickson,PBKS,11.72,11.72,0.0
TH David,GT,11.17,11.17,0.0
PN Mankad,RCB,10.4,10.4,0.0
Akshat Raghuwanshi,MI,9.88,9.88,0.0
Kranthi Kumar,RCB,9.41,8.25,1.16
Vraj Patel,RR,8.19,0.45,7.74
Noor Ahmad,MI,7.38,-0.6300000000000001,8.0
M Prasidh Krishna,KKR,7.06,-0.22,7.28
Krishna Prasad,CSK,6.83,6.83,0.0
KS Carlson,PBKS,6.71,6.71,0.0
Gourav Choudhury,MI,4.640000000000001,4.640000000000001,0.0
Imran Tahir,RCB,4.38,0.0,4.38
F du Plessis,CSK,3.83,3.83,0.0
SR Hain,RCB,2.74,2.74,0.0
JM Cox,SRH,2.18,2.18,0.0
Sachin Baby,RR,2.04,2.04,0.0
SE Rutherford,DC,2.03,2.03,0.0
RA Jadeja,LSG,0.3800000000000003,16.22,-15.84
DR Mousley,LSG,-0.19,-0.19,0.0
D Padikkal,GT,-1.57,-1.57,0.0
A Johnson,LSG,-1.76,-1.76,0.0
RA Bawa,SRH,-2.14,0.0,-2.14
MP Yadav,PBKS,-2.91,-1.76,-1.14
A Badoni,RR,-3.65,-3.65,0.0
DM Gondaria,DC,-5.51,0.0,-5.51
LI Meriwala,PBKS,-6.859999999999999,4.29,-11.15
JO Holder,RCB,-7.100000000000001,-3.02,-4.07
HTRY Thornton,RR,-7.55,-1.81,-5.74
Shashwat Dangwal,MI,-8.65,-1.41,-7.24
MS Chapman,DC,-10.25,-0.77,-9.48
Manvanth Kumar L,PBKS,-13.4,-1.89,-11.5
