batter,team,score,rank
Naman Dhir,GT,23.6789,1
Abhishek Sharma,MI,23.5246,2
Kartik Sharma,SRH,22.5925,3
PWH de Silva,RCB,21.638,4
GJ Maxwell,DC,21.4808,5
Shubman Gill,LSG,21.4496,6
Abhishek Pathak,RCB,21.345,7
Aniket Verma,RR,20.8483,8
JP Inglis,GT,20.7404,9
SA Yadav,DC,20.6718,10
N Sindhu,DC,20.6163,11
Urvil Patel,MI,20.6107,12
VR Iyer,SRH,20.3864,13
Sameer Rizvi,LSG,20.2911,14
KL Rahul,SRH,20.0253,15
V Suryavanshi,PBKS,19.3915,16
Vansh Bedi,PBKS,19.1999,17
YBK Jaiswal,RR,19.1429,18
Tilak Varma,CSK,19.0929,19
C Green,KKR,18.7849,20
Tanush Kotian,CSK,18.6257,21
KK Nair,CSK,18.2812,22
Tarang Gohel,DC,17.9217,23
Jay Gohil,KKR,17.7859,24
Priyansh Arya,RCB,17.5168,25
PHKD Mendis,PBKS,17.1074,26
Abishek Porel,LSG,17.0849,27
S Arora,KKR,16.6878,28
CH Gayle,RCB,16.6858,29
Rohan Kunnummal,MI,16.294,30
GD Phillips,RR,15.9946,31
KA Pollard,RR,15.8191,32
TL Seifert,PBKS,15.7075,33
SV Samson,GT,15.6705,34
BM Duckett,SRH,15.6346,35
JM Sharma,RCB,15.2486,36
V Nigam,GT,15.2276,37
S Dube,RR,15.2179,38
TP Ura,PBKS,15.1978,39
N Pooran,MI,15.1687,40
RG Sharma,RCB,14.8322,41
Tushar Raheja,MI,14.7622,42
Atharva Taide,RCB,14.6768,43
Ishan Kishan,KKR,14.6563,44
Ajay Rohera,LSG,14.5844,45
Shashank Singh,PBKS,14.4585,46
P Simran Singh,SRH,14.3055,47
HH Pandya,LSG,14.1992,48
J Fraser-McGurk,KKR,13.7455,49
FH Allen,LSG,13.6929,50
PD Salt,RR,13.229,51
TM Head,KKR,13.138,52
N Rana,PBKS,13.0721,53
WL Madsen,KKR,13.0617,54
R Parag,GT,12.4285,55
MP Stoinis,SRH,12.1016,56
H Klaasen,CSK,12.094,57
D Brevis,GT,11.5739,58
D Wiese,KKR,11.5709,59
AD Russell,DC,11.2613,60
MR Marsh,MI,10.9153,61
Karan Shinde,SRH,10.9104,62
Shadab Khan,SRH,10.7445,63
R Smaran,PBKS,10.4563,64
JC Buttler,DC,10.3694,65
T Stubbs,CSK,10.2041,66
RD Gaikwad,CSK,10.1849,67
SS Iyer,KKR,9.8687,68
RD Rickelton,RR,9.812,69
R Powell,CSK,9.5393,70
V Kohli,CSK,9.4112,71
MJ Owen,DC,9.2558,72
SP Narine,PBKS,9.246,73
Sakibul Gani,RR,8.8145,74
TH David,GT,8.6468,75
Chirag Jani,RCB,8.6263,76
DS Airee,DC,8.6222,77
RK Singh,GT,8.5987,78
RM Patidar,RCB,8.2044,79
Nithish Kumar Reddy,GT,8.1128,80
AM Rahane,CSK,7.7349,81
Sonu Yadav,CSK,7.6966,82
WG Jacks,SRH,7.6558,83
DP Conway,LSG,7.4427,84
Anmolpreet Singh,KKR,7.3056,85
Arshad Khan,MI,7.1965,86
HC Brook,GT,7.1536,87
MS Pepper,PBKS,6.8694,88
Ritik Vats,DC,6.6341,89
JM Vince,CSK,6.5311,90
SU Parakh,SRH,6.3262,91
Suryansh Shedge,KKR,6.212,92
RR Rossouw,MI,6.1431,93
DR Mousley,LSG,5.38,94
Sikandar Raza,MI,5.2073,95
Dhruv Jurel,LSG,5.1388,96
Utkarsh Singh,PBKS,5.0612,97
MS Dhoni,RCB,5.0128,98
AK Markram,DC,4.2947,99
RA Jadeja,LSG,4.2464,100
D Padikkal,GT,3.7759,101
F du Plessis,CSK,3.3515,102
Ashutosh Sharma,GT,3.3432,103
AR Patel,GT,3.2218,104
GF Linde,GT,2.6224,105
JJ Smit,PBKS,2.2752,106
Mohammad Nabi,LSG,1.3841,107
KH Pandya,SRH,0.392,108
Kumar Kushagra,RR,0.3556,109
Shahbaz Ahmed,KKR,0.275,110
A Badoni,RR,0.1241,111
R Shepherd,SRH,-0.5685,112
TA Boult,MI,-4.2696,113
