team,highest_batting_total,best_bowling_performance
CSK,236-6 (120) vs DC in S08M034,143-9 (120) vs RR in S08M005
DC,293-6 (120) vs GT in S08M061,126-10 (92) vs RCB in S08M038
GT,273-2 (120) vs DC in S08M061,143-10 (111) vs CSK in S08M067
KKR,237-5 (111) vs DC in S08M073,129-10 (95) vs MI in S08M013
LSG,231-4 (120) vs DC in S08M072,99-10 (81) vs RR in S08M070
MI,222-1 (99) vs DC in S08M068,130-10 (93) vs KKR in S08M013
PBKS,238-7 (115) vs DC in S08M015,94-10 (108) vs CSK in S08M045
RCB,238-6 (120) vs DC in S08M028,172-10 (117) vs MI in S08M022
RR,241-6 (120) vs MI in S08M044,164-10 (113) vs PBKS in S08M036
SRH,229-3 (120) vs LSG in S08M043,131-10 (90) vs RCB in S08M001
