match_id,innings,runs,balls,wkts,Eco,win,PP_perf,Middle_perf,Death_perf,bowler,team,team_total
S08M001,2,2,12,4,1.0,1,,4-2(12),,Rasikh Salam,SRH,10-131 (90)
S08M007,2,48,24,3,12.0,1,,0-10(6),3-38(18),Rasikh Salam,SRH,9-213 (120)
S08M012,1,30,22,3,8.18,1,,1-6(6),2-24(16),Rasikh Salam,SRH,10-171 (118)
S08M016,1,40,24,2,10.0,1,,1-4(6),1-36(18),Rasikh Salam,SRH,5-205 (120)
S08M025,2,15,13,0,6.92,0,,0-6(6),0-9(7),Rasikh Salam,SRH,6-164 (103)
S08M035,1,36,24,2,9.0,1,,1-12(12),1-24(12),Rasikh Salam,SRH,8-172 (120)
S08M040,1,40,24,4,10.0,0,,1-18(12),3-22(12),Rasikh Salam,SRH,10-194 (120)
S08M043,2,45,24,3,11.25,1,,0-7(6),3-38(18),Rasikh Salam,SRH,7-222 (120)
S08M001,2,25,12,1,12.5,1,1-25(12),,,NT Ellis,SRH,10-131 (90)
S08M007,2,45,24,2,11.25,1,1-19(12),,1-26(12),NT Ellis,SRH,9-213 (120)
S08M012,1,35,24,3,8.75,1,2-13(12),,1-22(12),NT Ellis,SRH,10-171 (118)
S08M016,1,57,24,1,14.25,1,1-21(12),,0-36(12),NT Ellis,SRH,5-205 (120)
S08M025,2,31,18,2,10.33,0,1-22(12),,1-9(6),NT Ellis,SRH,6-164 (103)
S08M029,2,38,20,2,11.4,0,0-15(6),,2-23(14),NT Ellis,SRH,7-187 (116)
S08M035,1,36,24,2,9.0,1,1-10(12),,1-26(12),NT Ellis,SRH,8-172 (120)
S08M040,1,35,24,3,8.75,0,0-20(12),,3-15(12),NT Ellis,SRH,10-194 (120)
S08M043,2,43,24,4,10.75,1,2-28(18),,2-15(6),NT Ellis,SRH,7-222 (120)
S08M004,2,24,21,6,6.86,1,0-2(6),0-12(6),6-10(9),Shivam Shukla,MI,10-160 (111)
S08M010,1,27,24,2,6.75,0,0-13(12),2-14(12),,Shivam Shukla,MI,10-193 (120)
S08M017,2,29,24,2,7.25,0,0-9(6),0-13(12),2-7(6),Shivam Shukla,MI,6-211 (119)
S08M022,2,27,18,2,9.0,0,0-17(12),,2-10(6),Shivam Shukla,MI,5-178 (108)
S08M037,1,40,24,2,10.0,1,1-6(6),0-8(6),1-26(12),Shivam Shukla,MI,7-187 (120)
S08M044,1,63,24,2,15.75,0,0-11(6),0-14(6),2-38(12),Shivam Shukla,MI,6-241 (120)
S08M011,2,35,24,2,8.75,1,,0-29(18),2-6(6),Sufiyan Muqeem,GT,5-189 (120)
S08M018,2,19,17,3,6.71,1,,1-13(12),2-6(5),Sufiyan Muqeem,GT,10-151 (101)
S08M023,2,24,21,1,6.86,0,,0-13(12),1-11(9),Sufiyan Muqeem,GT,6-160 (111)
S08M029,1,37,24,5,9.25,1,,1-18(12),4-19(12),Sufiyan Muqeem,GT,10-186 (115)
S08M039,2,27,20,2,8.1,1,,0-14(12),2-13(8),Sufiyan Muqeem,GT,10-182 (110)
S08M041,2,40,24,2,10.0,0,,0-13(12),2-27(12),Sufiyan Muqeem,GT,2-219 (118)
S08M004,2,26,18,3,8.67,1,,3-26(18),,JR Hazlewood,MI,10-160 (111)
S08M010,1,29,24,3,7.25,0,,3-29(24),,JR Hazlewood,MI,10-193 (120)
S08M013,1,27,24,2,6.75,0,,2-27(24),,JR Hazlewood,MI,10-130 (93)
S08M017,2,39,24,0,9.75,0,,0-39(24),,JR Hazlewood,MI,6-211 (119)
S08M022,2,33,24,1,8.25,0,,1-33(24),,JR Hazlewood,MI,5-178 (108)
S08M030,1,38,24,1,9.5,0,,1-38(24),,JR Hazlewood,MI,5-218 (120)
S08M033,1,27,24,2,6.75,1,,2-27(24),,JR Hazlewood,MI,6-204 (120)
S08M037,1,40,24,1,10.0,1,,1-40(24),,JR Hazlewood,MI,7-187 (120)
S08M044,1,37,24,1,9.25,0,,1-37(24),,JR Hazlewood,MI,6-241 (120)
S08M003,2,45,24,0,11.25,0,,0-25(18),0-20(6),Ashutosh Sharma,GT,8-211 (114)
S08M010,2,24,24,2,6.0,1,0-5(6),2-19(18),,Ashutosh Sharma,GT,7-189 (120)
S08M011,2,28,24,1,7.0,1,1-8(12),0-20(12),,Ashutosh Sharma,GT,5-189 (120)
S08M018,2,51,24,2,12.75,1,0-28(12),2-23(12),,Ashutosh Sharma,GT,10-151 (101)
S08M023,2,38,24,2,9.5,0,0-23(12),2-15(12),,Ashutosh Sharma,GT,6-160 (111)
S08M029,1,29,24,3,7.25,1,2-12(12),1-17(12),,Ashutosh Sharma,GT,10-186 (115)
S08M035,2,29,24,0,7.25,0,0-14(12),0-15(12),,Ashutosh Sharma,GT,4-174 (115)
S08M039,2,39,24,3,9.75,1,2-15(12),1-24(12),,Ashutosh Sharma,GT,10-182 (110)
S08M041,2,29,24,0,7.25,0,0-16(12),0-13(12),,Ashutosh Sharma,GT,2-219 (118)
S08M009,2,36,24,3,9.0,1,2-6(6),1-30(18),,C Green,KKR,7-202 (120)
S08M013,2,28,24,2,7.0,1,,2-28(24),,C Green,KKR,10-129 (95)
S08M019,2,43,24,1,10.75,0,,1-19(18),0-24(6),C Green,KKR,2-179 (108)
S08M023,1,44,21,2,12.57,1,1-43(18),,1-1(3),C Green,KKR,10-159 (105)
S08M026,2,38,24,2,9.5,1,1-7(6),1-31(18),,C Green,KKR,10-154 (102)
S08M031,1,40,24,1,10.0,0,1-23(18),,0-17(6),C Green,KKR,3-224 (120)
S08M037,2,36,24,1,9.0,0,1-10(6),0-26(18),,C Green,KKR,4-193 (101)
S08M042,2,47,24,1,11.75,1,0-37(12),0-8(6),1-2(6),C Green,KKR,10-189 (117)
S08M005,2,21,18,2,7.0,0,2-17(12),0-4(6),,Mohammad Ghazanfar,RR,7-149 (103)
S08M011,1,25,24,2,6.25,0,1-12(12),0-2(6),1-11(6),Mohammad Ghazanfar,RR,8-200 (120)
S08M026,1,16,18,4,5.33,0,1-1(6),0-7(6),3-8(6),Mohammad Ghazanfar,RR,10-170 (107)
S08M036,1,14,18,3,4.67,0,2-12(12),,1-2(6),Mohammad Ghazanfar,RR,10-164 (113)
S08M044,2,40,24,1,10.0,1,0-25(12),1-6(6),0-9(6),Mohammad Ghazanfar,RR,5-220 (120)
S08M006,2,34,18,2,11.33,0,,2-19(12),0-15(6),HJ Manenti,RCB,3-218 (109)
S08M019,1,29,18,4,9.67,1,,3-16(12),1-13(6),HJ Manenti,RCB,10-176 (106)
S08M022,1,31,24,2,7.75,1,,0-15(12),2-16(12),HJ Manenti,RCB,10-172 (117)
S08M028,2,60,24,1,15.0,0,0-14(6),0-8(6),1-38(12),HJ Manenti,RCB,4-242 (116)
S08M032,2,38,19,3,12.0,0,0-9(6),1-7(6),2-22(7),HJ Manenti,RCB,9-215 (109)
S08M038,2,24,9,0,16.0,0,,0-24(9),,HJ Manenti,RCB,3-130 (69)
S08M041,1,43,24,0,10.75,1,0-30(12),,0-13(12),HJ Manenti,RCB,5-217 (120)
S08M008,1,30,24,2,7.5,1,,1-23(18),1-7(6),JJ Bumrah,DC,4-210 (120)
S08M015,2,31,19,0,9.79,0,,0-25(18),0-6(1),JJ Bumrah,DC,7-238 (115)
S08M025,1,22,18,4,7.33,1,1-9(6),1-7(6),2-6(6),JJ Bumrah,DC,10-161 (108)
S08M028,1,40,24,2,10.0,1,,2-10(12),0-30(12),JJ Bumrah,DC,6-238 (120)
S08M038,1,8,14,2,3.43,1,,1-7(12),1-1(2),JJ Bumrah,DC,10-126 (92)
S08M004,1,34,24,1,8.5,0,0-10(6),0-5(6),1-19(12),JJ Smit,PBKS,7-168 (120)
S08M007,1,37,24,2,9.25,0,1-5(6),1-19(12),0-13(6),JJ Smit,PBKS,3-217 (120)
S08M018,1,43,24,0,10.75,0,0-19(12),,0-24(12),JJ Smit,PBKS,4-197 (120)
S08M021,2,21,18,1,7.0,0,0-18(12),1-3(6),,JJ Smit,PBKS,8-196 (113)
S08M027,1,32,24,3,8.0,0,1-16(12),1-3(6),1-13(6),JJ Smit,PBKS,4-195 (120)
S08M033,2,30,24,1,7.5,0,0-14(12),0-8(6),1-8(6),JJ Smit,PBKS,3-206 (114)
S08M036,2,44,24,1,11.0,1,1-11(12),,0-33(12),JJ Smit,PBKS,7-148 (120)
S08M045,2,14,18,1,4.67,1,0-3(6),0-6(6),1-5(6),JJ Smit,PBKS,10-94 (108)
S08M007,2,33,24,1,8.25,1,1-7(6),0-26(18),,Ravi Teja,SRH,9-213 (120)
S08M012,1,31,24,2,7.75,1,,2-31(24),,Ravi Teja,SRH,10-171 (118)
S08M016,1,22,24,2,5.5,1,0-4(6),2-18(18),,Ravi Teja,SRH,5-205 (120)
S08M025,2,31,24,3,7.75,0,1-7(6),2-24(18),,Ravi Teja,SRH,6-164 (103)
S08M035,1,28,24,2,7.0,1,1-18(12),1-10(12),,Ravi Teja,SRH,8-172 (120)
S08M040,1,50,24,0,12.5,0,0-30(12),0-20(12),,Ravi Teja,SRH,10-194 (120)
S08M043,2,53,24,0,13.25,1,0-22(12),0-31(12),,Ravi Teja,SRH,7-222 (120)
S08M005,1,36,24,1,9.0,1,0-19(6),,1-17(18),RE van der Merwe,CSK,9-143 (120)
S08M012,2,17,15,0,6.8,0,,0-10(12),0-7(3),RE van der Merwe,CSK,2-174 (99)
S08M020,1,54,24,3,13.5,0,1-6(6),,2-48(18),RE van der Merwe,CSK,5-222 (120)
S08M034,1,44,24,0,11.0,0,0-9(6),0-17(12),0-18(6),RE van der Merwe,CSK,3-250 (120)
S08M040,2,39,24,2,9.75,1,,0-28(18),2-11(6),RE van der Merwe,CSK,9-187 (120)
S08M045,1,37,24,4,9.25,0,0-11(6),1-6(6),3-20(12),RE van der Merwe,CSK,9-194 (120)
S08M001,1,36,24,2,9.0,0,1-18(12),1-18(12),,PWH de Silva,RCB,3-225 (120)
S08M006,2,56,24,0,14.0,0,0-16(6),0-40(18),,PWH de Silva,RCB,3-218 (109)
S08M014,1,34,24,3,8.5,1,1-21(12),1-6(6),1-7(6),PWH de Silva,RCB,8-145 (120)
S08M019,1,35,24,2,8.75,1,1-17(12),1-18(12),,PWH de Silva,RCB,10-176 (106)
S08M022,1,34,24,3,8.5,1,2-15(12),1-19(12),,PWH de Silva,RCB,10-172 (117)
S08M028,2,50,24,0,12.5,0,,0-50(24),,PWH de Silva,RCB,4-242 (116)
S08M041,1,38,24,0,9.5,1,,0-38(24),,PWH de Silva,RCB,5-217 (120)
S08M004,1,14,12,2,7.0,0,2-14(12),,,Shashank Singh,PBKS,7-168 (120)
S08M015,1,77,24,1,19.25,1,0-46(12),,1-31(12),Shashank Singh,PBKS,4-235 (120)
S08M018,1,14,12,2,7.0,0,0-12(6),2-2(6),,Shashank Singh,PBKS,4-197 (120)
S08M021,2,22,12,1,11.0,0,,1-22(12),,Shashank Singh,PBKS,8-196 (113)
S08M033,2,15,6,0,15.0,0,,0-15(6),,Shashank Singh,PBKS,3-206 (114)
S08M036,2,27,24,1,6.75,1,0-14(12),,1-13(12),Shashank Singh,PBKS,7-148 (120)
S08M045,2,27,24,3,6.75,1,0-1(6),2-16(12),1-10(6),Shashank Singh,PBKS,10-94 (108)
S08M006,2,30,19,0,9.47,0,0-6(6),0-6(6),0-18(7),SS Ghosh,RCB,3-218 (109)
S08M019,1,37,18,2,12.33,1,,1-20(12),1-17(6),SS Ghosh,RCB,10-176 (106)
S08M022,1,37,21,2,10.57,1,,0-25(12),2-12(9),SS Ghosh,RCB,10-172 (117)
S08M028,2,50,20,1,15.0,0,,0-21(12),1-29(8),SS Ghosh,RCB,4-242 (116)
S08M032,2,45,24,4,11.25,0,1-11(6),2-24(12),1-10(6),SS Ghosh,RCB,9-215 (109)
S08M038,2,10,6,0,10.0,0,0-10(6),,,SS Ghosh,RCB,3-130 (69)
S08M041,1,53,24,1,13.25,1,0-12(6),0-26(12),1-15(6),SS Ghosh,RCB,5-217 (120)
S08M003,2,22,12,1,11.0,0,0-7(6),1-15(6),,GF Linde,GT,8-211 (114)
S08M011,2,36,24,1,9.0,1,0-17(12),,1-19(12),GF Linde,GT,5-189 (120)
S08M018,2,24,12,0,12.0,1,0-24(12),,,GF Linde,GT,10-151 (101)
S08M023,2,24,18,2,8.0,0,2-14(12),,0-10(6),GF Linde,GT,6-160 (111)
S08M029,1,12,19,2,3.79,1,0-11(12),,2-1(7),GF Linde,GT,10-186 (115)
S08M039,2,27,18,3,9.0,1,1-22(12),,2-5(6),GF Linde,GT,10-182 (110)
S08M023,1,25,18,1,8.33,1,0-5(6),0-13(6),1-7(6),Pulkit Narang,KKR,10-159 (105)
S08M026,2,11,18,4,3.67,1,,1-8(12),3-3(6),Pulkit Narang,KKR,10-154 (102)
S08M031,1,43,24,2,10.75,0,1-4(6),0-11(6),1-28(12),Pulkit Narang,KKR,3-224 (120)
S08M037,2,36,17,1,12.71,0,,0-28(12),1-8(5),Pulkit Narang,KKR,4-193 (101)
S08M042,2,39,24,1,9.75,1,,0-23(18),1-16(6),Pulkit Narang,KKR,10-189 (117)
S08M009,1,41,24,2,10.25,0,0-16(6),,2-25(18),Geet Puri,CSK,6-209 (120)
S08M030,2,24,24,2,6.0,1,,0-7(6),2-17(18),Geet Puri,CSK,8-216 (120)
S08M034,1,51,24,1,12.75,0,1-34(12),0-17(12),,Geet Puri,CSK,3-250 (120)
S08M040,2,43,24,4,10.75,1,0-11(6),,4-32(18),Geet Puri,CSK,9-187 (120)
S08M008,1,52,24,1,13.0,1,,0-19(12),1-33(12),AK Markram,DC,4-210 (120)
S08M015,2,52,18,3,17.33,0,,0-18(6),3-34(12),AK Markram,DC,7-238 (115)
S08M020,2,47,24,2,11.75,1,,1-17(12),1-30(12),AK Markram,DC,5-216 (120)
S08M034,2,44,24,2,11.0,1,,0-24(12),2-20(12),AK Markram,DC,6-236 (120)
S08M042,1,55,24,1,13.75,0,,1-22(12),0-33(12),AK Markram,DC,3-203 (120)
S08M001,2,35,24,1,8.75,1,0-15(12),1-20(12),,A Zampa,SRH,10-131 (90)
