striker,batting_team,num_innings,strike_rate,runs,outs
Sakibul Gani,RR,5,233.33,70,4
YBK Jaiswal,RR,14,226.32,258,10
Abhishek Pathak,RCB,6,220.91,243,3
PWH de Silva,RCB,9,220.0,198,5
D Forrester,LSG,5,218.52,59,4
Shubhang Hegde,LSG,4,218.42,83,2
Jay Gohil,KKR,9,212.03,282,5
Tarang Gohel,DC,12,206.45,448,10
JC Buttler,DC,10,205.22,236,7
Tushar Raheja,MI,11,204.14,296,11
VR Iyer,SRH,15,201.69,359,7
JM Sharma,RCB,12,199.13,229,9
HH Pandya,LSG,14,198.94,376,5
N Sindhu,DC,15,197.71,518,8
Tanush Kotian,CSK,11,197.2,282,9
Kartik Sharma,SRH,16,196.32,746,10
Sameer Rizvi,LSG,15,193.55,300,13
JP Inglis,GT,14,192.12,463,13
AD Russell,DC,7,192.08,194,2
Siddhesh Veer,MI,7,192.06,121,3
Shubman Gill,LSG,15,189.97,625,14
Vansh Bedi,PBKS,12,189.33,284,11
GJ Maxwell,DC,15,189.17,594,14
Aniket Verma,RR,12,188.89,527,12
V Suryavanshi,PBKS,12,187.63,364,12
GD Phillips,RR,13,187.07,275,11
Ritik Vats,DC,8,185.71,195,6
T Dahiya,LSG,2,184.38,59,2
Naman Dhir,GT,13,182.01,435,11
V Nigam,GT,12,181.32,330,4
SA Yadav,DC,13,181.02,639,12
RD Gaikwad,CSK,13,180.41,175,11
KL Rahul,SRH,16,180.26,703,11
D Brevis,GT,10,178.95,340,6
Urvil Patel,MI,12,178.15,750,9
Anmolpreet Singh,KKR,6,176.92,115,5
KK Nair,CSK,10,176.67,159,10
R Parag,GT,6,176.04,169,5
CH Gayle,RCB,14,175.38,342,13
Ishan Kishan,KKR,16,175.35,633,15
Rishabh Chouhan,GT,3,175.0,56,2
Priyansh Arya,RCB,13,173.7,601,12
Abhishek Tanwar,MI,7,173.33,104,5
J Fraser-McGurk,KKR,5,173.33,78,5
Rohan Kunnummal,MI,7,173.28,227,7
Nithish Kumar Reddy,GT,2,171.43,60,2
Tilak Varma,CSK,14,170.3,625,13
KA Pollard,RR,11,166.82,357,6
Ajay Rohera,LSG,10,166.51,353,9
MR Marsh,MI,12,166.14,314,9
Utkarsh Singh,PBKS,6,165.91,73,4
Adarsh Singh,DC,4,165.0,99,4
Abhishek Sharma,MI,14,164.07,548,13
TM Head,KKR,6,163.68,347,5
TL Seifert,PBKS,12,163.25,462,12
BM Duckett,SRH,3,163.11,168,3
J Overton,GT,4,162.16,60,1
SS Iyer,KKR,9,161.87,225,6
SV Samson,GT,14,161.73,524,14
Ashutosh Sharma,GT,8,161.02,95,7
PHKD Mendis,PBKS,12,160.8,283,10
C Green,KKR,15,160.79,447,10
Shashank Singh,PBKS,13,159.49,311,7
Abishek Porel,LSG,15,155.36,609,11
R Smaran,PBKS,7,155.0,186,7
WL Madsen,KKR,13,154.84,432,13
S Dube,RR,13,154.05,513,11
N Rana,PBKS,3,153.33,92,2
Sonu Yadav,CSK,6,153.19,144,5
Sunny Sandhu,DC,2,152.17,70,1
P Simran Singh,SRH,16,151.45,524,15
HC Brook,GT,2,148.65,55,2
S Arora,KKR,5,148.65,55,4
JM Vince,CSK,5,147.15,181,5
Atharva Taide,RCB,9,145.92,429,9
V Kohli,CSK,9,145.22,167,9
PD Salt,RR,7,144.9,142,7
H Klaasen,CSK,5,144.78,97,5
RM Patidar,RCB,14,144.12,294,11
Kumar Kushagra,RR,7,143.93,154,7
MS Pepper,PBKS,2,142.5,114,2
T Stubbs,CSK,11,141.67,323,8
JE Root,SRH,2,141.03,55,2
Virat Singh,KKR,5,140.74,76,5
DP Conway,LSG,9,140.54,208,9
Shahbaz Ahmed,KKR,9,140.32,87,7
SU Parakh,SRH,10,140.0,252,10
A Mhatre,RCB,3,137.5,55,3
MP Stoinis,SRH,4,132.69,69,3
Parth Chandan,DC,2,131.91,62,2
AM Rahane,CSK,5,131.82,145,5
SP Narine,PBKS,6,129.82,74,5
R Powell,CSK,5,129.03,80,4
RE van der Merwe,CSK,7,128.57,54,5
C Connolly,GT,3,128.12,82,3
WG Jacks,SRH,9,127.96,119,8
RD Rickelton,RR,6,126.74,109,6
Vishnu Vinod,RR,7,118.99,94,5
JJ Smit,PBKS,10,117.24,68,10
FH Allen,LSG,5,105.33,79,5
MJ Owen,DC,6,98.04,50,5
