striker,batting_team,num_innings,runs,strike_rate,bat_avg,run_contribution_%
Urvil Patel,MI,12,750,178.15,83.33,27.93
Tilak Varma,CSK,14,625,170.3,48.08,24.25
Kartik Sharma,SRH,15,694,194.4,77.11,23.54
Priyansh Arya,RCB,13,601,173.7,50.08,22.83
KL Rahul,SRH,15,640,176.31,64.0,21.71
SA Yadav,DC,12,638,183.33,58.0,21.27
Shubman Gill,LSG,15,625,189.97,44.64,20.81
Abhishek Sharma,MI,14,548,164.07,42.15,20.41
Ishan Kishan,KKR,14,537,168.34,41.31,20.38
Abishek Porel,LSG,15,609,155.36,55.36,20.28
Aniket Verma,RR,12,527,188.89,43.92,19.99
GJ Maxwell,DC,14,590,189.1,45.38,19.67
S Dube,RR,13,513,154.05,46.64,19.46
SV Samson,GT,14,524,161.73,37.43,18.09
TL Seifert,PBKS,12,462,163.25,38.5,17.94
P Simran Singh,SRH,15,507,152.71,36.21,17.2
Atharva Taide,RCB,9,429,145.92,47.67,16.29
JP Inglis,GT,14,463,192.12,35.62,15.99
Naman Dhir,GT,13,435,182.01,39.55,15.02
C Green,KKR,13,395,157.37,49.38,14.99
N Sindhu,DC,14,443,200.45,63.29,14.77
V Suryavanshi,PBKS,12,364,187.63,30.33,14.14
Tarang Gohel,DC,11,419,205.39,46.56,13.97
WL Madsen,KKR,11,367,154.2,33.36,13.93
KA Pollard,RR,11,357,166.82,59.5,13.54
CH Gayle,RCB,14,342,175.38,26.31,12.99
T Stubbs,CSK,11,323,141.67,40.38,12.53
HH Pandya,LSG,14,376,198.94,75.2,12.52
Shashank Singh,PBKS,13,311,159.49,44.43,12.08
Ajay Rohera,LSG,10,353,166.51,39.22,11.75
D Brevis,GT,10,340,178.95,56.67,11.74
MR Marsh,MI,12,314,166.14,34.89,11.69
V Nigam,GT,12,330,181.32,82.5,11.4
VR Iyer,SRH,14,334,208.75,55.67,11.33
RM Patidar,RCB,14,294,144.12,26.73,11.17
Vansh Bedi,PBKS,12,284,189.33,25.82,11.03
