bowler,bowling_team,num_innings,3+_wkts,balls,economy,5+_wkts
Rasikh Salam,SRH,12,5,263,9.49,0
Sufiyan Muqeem,GT,10,4,220,9.98,1
KA Maharaj,RCB,6,3,138,7.91,0
B Kumar,KKR,7,3,142,8.83,0
Shahbaz Ahmed,KKR,9,3,186,10.48,0
RE van der Merwe,CSK,10,3,201,10.06,0
HJ Manenti,RCB,10,3,205,11.41,0
NT Ellis,SRH,12,3,266,10.69,0
Prashant Solanki,CSK,3,2,66,7.55,1
B Muzarabani,GT,5,2,113,11.89,0
Atharva Ankolekar,RR,5,2,119,8.57,0
Pulkit Narang,KKR,6,2,125,8.74,0
Mohammad Amir,LSG,6,2,144,8.71,1
Harsh Dubey,DC,7,2,162,10.56,0
A Zampa,SRH,7,2,168,7.96,0
Mohammad Ghazanfar,RR,8,2,174,8.34,0
H Ssenyondo,LSG,8,2,191,9.74,0
Shashank Singh,PBKS,12,2,219,9.84,0
JR Hazlewood,MI,11,2,258,8.16,0
PWH de Silva,RCB,12,2,276,9.35,0
Ashutosh Sharma,GT,14,2,336,9.2,0
Mangesh Yadav,GT,1,1,21,5.43,0
Tripuresh Singh,SRH,1,1,24,7.5,1
A Nagwaswalla,RR,1,1,24,9.0,0
Washington Sundar,GT,1,1,24,12.5,0
D Wiese,KKR,2,1,36,11.67,0
Ashwin Das,LSG,2,1,39,6.46,0
M Markande,SRH,2,1,42,8.29,0
DS Airee,DC,2,1,48,10.75,0
Yash Singh,RCB,2,1,48,12.25,0
Prince Yadav,GT,3,1,66,9.82,0
Arshad Khan,MI,4,1,66,11.27,0
Mohammed Shami,MI,3,1,66,13.36,0
Sunil Kumar,MI,4,1,69,8.7,0
Easwaran K,DC,3,1,72,9.0,0
KH Pandya,SRH,3,1,72,9.08,0
JC Archer,PBKS,4,1,78,10.15,0
T Natarajan,RR,4,1,87,12.28,0
Naseem Shah,MI,4,1,89,12.34,0
V Puthur,KKR,4,1,90,8.33,0
Shaheen Shah Afridi,DC,4,1,90,11.87,0
Parvej Musaraf,KKR,5,1,96,9.62,0
L Ngidi,RR,5,1,108,10.28,0
Arshdeep Singh,LSG,5,1,108,11.06,0
Suryansh Shedge,KKR,5,1,114,8.42,0
AK Markram,DC,7,1,135,13.11,0
Geet Puri,CSK,6,1,138,9.39,0
C Sakariya,RR,6,1,144,9.08,0
Tanay Thyagarajan,CSK,6,1,144,10.54,0
Shivam Shukla,MI,7,1,159,9.28,1
GF Linde,GT,9,1,166,9.83,0
Chirag Jani,RCB,7,1,168,10.71,0
AR Ramjani,PBKS,8,1,179,7.94,0
SS Ghosh,RCB,9,1,180,11.57,0
CV Varun,PBKS,8,1,186,9.23,0
M Pathirana,RCB,9,1,196,10.56,0
JJ Bumrah,DC,10,1,207,9.54,0
J Overton,GT,9,1,216,11.03,0
Ravi Teja,SRH,10,1,228,8.84,0
C Green,KKR,11,1,261,10.46,0
JJ Smit,PBKS,12,1,264,8.43,0
