bowler,bowling_team,num_innings,economy,balls,wkts
Yudhvir Singh,RR,1,4.5,24,1
R Powell,CSK,3,6.75,24,2
YS Chahal,KKR,3,6.8,60,2
Ravi Bishnoi,SRH,2,6.86,42,2
Utkarsh Singh,PBKS,7,7.5,132,5
Prashant Solanki,CSK,3,7.55,66,9
Prashant Veer,PBKS,3,7.8,60,2
Noor Ahmad,MI,3,7.82,66,0
KA Maharaj,RCB,6,7.91,138,12
AR Ramjani,PBKS,8,7.94,179,6
A Zampa,SRH,8,8.03,192,13
R Shepherd,SRH,4,8.09,66,2
Ashwin Das,LSG,3,8.1,63,7
JR Hazlewood,MI,11,8.16,258,17
M Markande,SRH,2,8.29,42,4
V Puthur,KKR,4,8.33,90,4
Mohammad Ghazanfar,RR,8,8.34,174,15
DS Rathi,LSG,6,8.42,129,3
Suryansh Shedge,KKR,5,8.42,114,5
JJ Smit,PBKS,12,8.43,264,14
Abhishek Sharma,MI,6,8.52,126,4
Atharva Ankolekar,RR,5,8.57,119,9
S Lamichhane,RCB,2,8.62,48,1
Kuldeep Yadav,LSG,6,8.7,142,5
Sunil Kumar,MI,4,8.7,69,7
DR Briggs,KKR,3,8.75,72,4
Ravi Teja,SRH,11,8.79,252,12
S Gopal,PBKS,5,8.88,96,2
Sayed Irfan Aftab,PBKS,5,8.94,108,4
Pulkit Narang,KKR,7,8.98,149,14
C Connolly,GT,3,9.0,42,1
Sairaj Patil,KKR,2,9.0,30,0
A Nagwaswalla,RR,1,9.0,24,4
Abhilash Shetty,CSK,1,9.0,24,1
Satyajeet Bachhav,MI,4,9.07,90,7
C Sakariya,RR,6,9.08,144,8
KH Pandya,SRH,3,9.08,72,5
Ashutosh Sharma,GT,14,9.2,336,16
CV Varun,PBKS,8,9.23,186,7
Shivam Shukla,MI,7,9.28,159,18
PWH de Silva,RCB,12,9.35,276,12
Akshya Deka,MI,2,9.38,48,2
PHKD Mendis,PBKS,5,9.38,48,2
Geet Puri,CSK,6,9.39,138,11
VR Iyer,SRH,6,9.43,42,1
Rasikh Salam,SRH,13,9.49,287,30
V Nigam,GT,12,9.5,156,5
Naman Tiwari,CSK,3,9.5,72,2
Tripuresh Singh,SRH,2,9.5,48,8
Vraj Patel,RR,2,9.5,48,1
Karan Lal,RR,8,9.52,179,11
Tanush Kotian,CSK,14,9.56,300,13
SO Ngoche,KKR,3,9.57,69,4
Imran Tahir,RCB,3,9.58,72,1
JJ Bumrah,DC,11,9.6,225,14
Parvej Musaraf,KKR,5,9.62,96,4
MA Starc,KKR,3,9.67,72,2
D Forrester,LSG,8,9.7,162,4
Kranthi Kumar,RCB,1,9.75,24,0
Prince Yadav,GT,3,9.82,66,5
GF Linde,GT,9,9.83,166,12
Shashank Singh,PBKS,12,9.84,219,16
MR Marsh,MI,8,9.85,120,2
Fazalhaq Farooqi,CSK,6,9.87,138,5
Shubhang Hegde,LSG,8,9.9,180,4
Mohammad Amir,LSG,7,9.93,168,14
B Kumar,KKR,9,9.95,190,15
Sufiyan Muqeem,GT,10,9.98,220,22
H Ssenyondo,LSG,9,10.0,210,14
Sanvir Singh,PBKS,3,10.0,48,1
Esakkimuthu A,RCB,1,10.0,24,1
RE van der Merwe,CSK,10,10.06,201,16
JC Archer,PBKS,4,10.15,78,7
Prithviraj Shekhawat,DC,2,10.25,48,1
HH Pandya,LSG,11,10.26,210,4
L Ngidi,RR,5,10.28,108,5
C Green,KKR,13,10.33,305,19
Ehsan Khan,MI,5,10.4,116,3
WG Jacks,SRH,11,10.44,204,5
DS Airee,DC,4,10.44,96,5
Sunny Sandhu,DC,3,10.5,60,0
MP Stoinis,SRH,6,10.53,90,1
M Siddharth,CSK,6,10.54,144,5
Tanay Thyagarajan,CSK,6,10.54,144,5
Shahbaz Ahmed,KKR,11,10.56,234,17
M Pathirana,RCB,9,10.56,196,11
Easwaran K,DC,4,10.62,96,5
Akash Pawar,RCB,4,10.62,96,2
Harsh Dubey,DC,9,10.63,210,15
JA Duffy,LSG,9,10.65,204,9
JO Holder,RCB,3,10.67,72,0
Sikandar Raza,MI,8,10.68,186,11
Chirag Jani,RCB,7,10.71,168,8
Cheepurapalli Stephen,RR,1,10.75,24,1
Arshdeep Singh,LSG,6,10.77,132,9
