team,matches_played,points,#Won,#Lost,NRR,Recent Form (Latest first)
KKR,13,22,10,3,0.2312,
SRH,14,18,9,5,0.689,
LSG,14,16,8,6,0.3703,
DC,13,16,8,5,0.2881,
GT,14,14,7,7,0.2738,
RCB,14,14,7,7,-0.5205,
MI,14,12,6,8,0.142,
RR,14,12,6,8,-0.5677,
PBKS,14,8,4,10,-0.0015,
CSK,14,8,4,10,-0.856,
