bowling_team,Bowl_Type,wkts,eco,SR
CSK,Pace,31,10.4,19.74
CSK,Spin,40,9.69,16.88
DC,Pace,26,9.95,16.96
DC,Spin,35,11.43,19.89
GT,Pace,33,10.12,19.42
GT,Spin,37,10.0,16.84
KKR,Pace,32,9.86,16.94
KKR,Spin,37,9.88,15.3
LSG,Spin,15,10.82,36.87
LSG,Pace,34,9.95,22.24
MI,Pace,38,10.35,18.05
MI,Spin,35,9.47,16.26
PBKS,Pace,19,10.48,25.58
PBKS,Spin,39,8.92,20.59
RCB,Pace,42,10.92,17.9
RCB,Spin,28,9.29,16.93
RR,Pace,38,10.98,18.58
RR,Spin,38,9.28,14.47
SRH,Pace,58,9.78,13.26
SRH,Spin,25,9.58,19.92
