batting_team,phase,outs,avg,SR
CSK,Death,42,16.71,188.2
CSK,Middle,32,35.34,149.6
CSK,PP,24,31.0,147.62
DC,Death,30,30.67,237.11
DC,Middle,28,45.64,161.98
DC,PP,22,47.09,191.85
GT,Death,23,37.26,213.72
GT,Middle,39,29.26,150.93
GT,PP,21,42.76,178.17
KKR,Death,41,17.98,196.53
KKR,Middle,36,36.36,151.5
KKR,PP,24,40.79,169.97
LSG,Middle,32,39.69,156.79
LSG,PP,22,41.73,170.0
LSG,Death,35,23.29,206.33
MI,Death,47,12.02,170.69
MI,Middle,22,53.91,156.88
MI,PP,23,40.61,185.32
PBKS,Death,53,11.26,169.6
PBKS,Middle,40,27.25,144.18
PBKS,PP,24,37.0,176.19
RCB,Death,27,24.37,223.81
RCB,Middle,45,25.02,148.94
RCB,PP,17,49.94,168.45
RR,Death,36,18.61,195.34
RR,Middle,40,27.1,145.11
RR,PP,21,42.0,175.0
SRH,Middle,30,46.2,160.42
SRH,Death,36,23.08,211.99
SRH,PP,21,43.57,158.85
