bowler,team,score,rank
B Kumar,KKR,28.894,1
A Zampa,SRH,28.7974,2
M Pathirana,RCB,28.7938,3
MA Starc,KKR,28.6665,4
Noor Ahmad,MI,28.6607,5
Fazalhaq Farooqi,CSK,28.6124,6
Arshdeep Singh,LSG,28.407,7
JJ Bumrah,DC,28.3682,8
H Ssenyondo,LSG,28.0718,9
Karan Lal,RR,28.0242,10
JC Archer,LSG,27.37,11
AK Markram,DC,26.984,12
TA Boult,MI,26.8207,13
NT Ellis,SRH,26.6068,14
MP Yadav,PBKS,26.575,15
LI Meriwala,DC,26.5571,16
A Nagwaswalla,RR,26.1179,17
JR Hazlewood,RR,25.7488,18
Kuldeep Yadav,SRH,24.882,19
Tanush Kotian,CSK,24.5189,20
T Natarajan,CSK,23.7306,21
Shashank Singh,PBKS,23.716,22
AR Ramjani,PBKS,23.5039,23
Mohammad Nabi,LSG,23.4808,24
GF Linde,GT,23.3462,25
AR Patel,CSK,23.1643,26
Tanay Thyagarajan,RCB,22.0068,27
PWH de Silva,RCB,21.9042,28
Pulkit Narang,RR,21.5437,29
Washington Sundar,PBKS,21.4113,30
HH Pandya,MI,21.0527,31
DS Rathi,KKR,20.6857,32
SP Narine,KKR,20.5655,33
Ravi Teja,RCB,20.4509,34
WG Jacks,LSG,20.3915,35
S Dube,RR,20.2446,36
Ravi Bishnoi,GT,19.9991,37
HJ Manenti,CSK,19.9261,38
CV Varun,PBKS,19.857,39
YS Chahal,RCB,19.7574,40
KA Maharaj,SRH,19.4284,41
Imran Tahir,CSK,19.1332,42
M Siddharth,CSK,18.7623,43
JN Loftie-Eaton,RR,18.7417,44
Suryansh Shedge,CSK,18.7302,45
Khrievitso Kense,RCB,18.4422,46
Naseem Shah,LSG,18.2817,47
YK Pathan,KKR,18.2677,48
JJ Smit,PBKS,18.1694,49
C Green,KKR,17.8879,50
JA Duffy,GT,17.4065,51
Shakib Al Hasan,PBKS,16.9287,52
Akash Vasisht,SRH,16.729,53
LS Livingstone,KKR,16.6272,54
C Sakariya,SRH,16.2367,55
Tripuresh Singh,RCB,16.1902,56
SH Johnson,GT,16.1351,57
Rashid Khan,MI,16.1079,58
Avesh Khan,GT,15.9584,59
R Sai Kishore,MI,15.9389,60
Ashwin Das,LSG,15.911,61
JM Coles,MI,15.3378,62
V Puthur,DC,15.255,63
Ashutosh Sharma,RCB,15.166,64
Mohammad Ghazanfar,SRH,14.9396,65
Naveen-ul-Haq,SRH,14.6475,66
R Shepherd,GT,14.3038,67
GJ Maxwell,DC,14.0549,68
KH Pandya,RR,13.4856,69
Rasikh Salam,MI,13.4341,70
Shaheen Shah Afridi,MI,12.9154,71
Harsh Dubey,RCB,12.8974,72
R Ashwin,KKR,12.896,73
Shahbaz Ahmed,LSG,12.8266,74
S Lamichhane,DC,12.5878,75
RA Jadeja,SRH,12.5685,76
Harshit Rana,KKR,12.3802,77
Shadab Khan,SRH,12.158,78
Mohammed Shami,LSG,12.1014,79
CV Milind,SRH,11.9059,80
BA Stokes,RR,11.6638,81
V Nigam,GT,11.4753,82
SL Malinga,PBKS,11.4416,83
HV Patel,GT,11.2962,84
K Kartikeya,LSG,11.2286,85
Yash Thakur,MI,10.7353,86
Chirag Jani,CSK,10.1326,87
Swapnil Singh,CSK,9.9905,88
Jagjit Singh,SRH,9.9253,89
VG Arora,KKR,9.782,90
CH Gayle,CSK,9.7595,91
D Ferreira,GT,9.5321,92
D Wiese,GT,9.4207,93
Utkarsh Singh,PBKS,9.1104,94
PHKD Mendis,DC,8.6379,95
Yudhvir Singh,RCB,8.6248,96
Harpreet Brar,GT,8.4861,97
Abdul Samad,LSG,8.2133,98
Harsh Tyagi,SRH,7.1941,99
KK Ahmed,RR,6.7254,100
SS Ghosh,MI,6.642,101
Arshad Khan,DC,6.4992,102
A Kamboj,GT,6.2248,103
RR Patel,RCB,6.1035,104
MJ Owen,DC,5.6952,105
AS Roy,GT,5.6005,106
Abhishek Sharma,MI,5.4198,107
Nithish Kumar Reddy,SRH,5.2883,108
Shivam Shukla,MI,5.2675,109
RA Bawa,SRH,5.0279,110
Zeeshan Ansari,SRH,4.8991,111
R Parag,GT,4.7995,112
Ramandeep Singh,LSG,4.6608,113
DS Airee,CSK,4.4923,114
BJ McMullen,RR,4.0048,115
KA Pollard,CSK,2.5911,116
S Gopal,GT,1.8983,117
AD Russell,DC,1.6442,118
D Brevis,LSG,1.5718,119
MR Marsh,SRH,1.1374,120
GD Phillips,GT,0.9054,121
Khushdil Shah,DC,0.0975,122
TM Head,RR,-1.8124,123
JG Bethell,RR,-2.1479,124
Samant Jakhar,DC,-2.519,125
Yuvraj Singh,CSK,-2.9313,126
Cheepurapalli Stephen,CSK,-3.0564,127
AM Hardie,CSK,-4.4868,128
Ashwani Kumar,RR,-5.1581,129
VR Iyer,SRH,-6.8325,130
