bowler,bowling_team,num_innings,economy,balls,wkts
Rasikh Salam,MI,1,5.25,24,2
Pulkit Narang,RR,3,6.12,51,7
V Puthur,DC,3,6.3,60,4
Sufiyan Muqeem,GT,3,6.33,72,6
Mohammad Amir,LSG,2,6.5,48,2
Shakib Al Hasan,PBKS,3,6.71,42,2
H Ssenyondo,LSG,6,7.25,144,13
EA Brookes,RCB,3,7.5,36,1
AR Ramjani,PBKS,12,7.69,262,21
YK Pathan,KKR,14,7.84,264,11
VG Arora,KKR,2,7.85,39,3
C Connolly,PBKS,3,8.0,48,2
M Siddharth,CSK,2,8.0,36,4
AR Patel,CSK,4,8.08,72,2
JM Coles,MI,9,8.16,192,7
Tanay Thyagarajan,RCB,5,8.2,120,7
MA Starc,KKR,6,8.27,132,13
LI Meriwala,DC,8,8.28,174,5
DW Lawrence,DC,5,8.33,72,4
DA Payne,PBKS,4,8.36,84,2
Harshit Rana,KKR,8,8.49,183,9
Shadab Khan,SRH,4,8.5,72,0
Yash Thakur,MI,2,8.5,36,1
A Zampa,SRH,7,8.54,156,11
K Kartikeya,LSG,2,8.57,42,3
Imran Tahir,CSK,6,8.6,136,13
AK Markram,DC,5,8.63,114,10
Noor Ahmad,MI,15,8.67,355,30
JN Loftie-Eaton,RR,4,8.73,90,4
Shashank Singh,PBKS,14,8.77,210,6
JJ Smit,PBKS,6,8.79,127,11
GF Linde,GT,5,8.8,120,10
D Ferreira,GT,3,8.83,36,1
Harsh Dubey,RCB,5,8.9,120,10
MP Yadav,PBKS,13,8.93,248,23
CV Milind,SRH,5,8.94,108,1
Akash Vasisht,SRH,8,8.96,162,5
Tripuresh Singh,RCB,4,9.0,90,6
JR Hazlewood,RR,10,9.03,234,15
NT Ellis,SRH,9,9.03,210,18
Chirag Jani,CSK,10,9.08,144,6
B Kumar,KKR,13,9.09,293,26
HJ Manenti,CSK,10,9.11,228,18
Mohammad Ghazanfar,SRH,2,9.12,48,3
A Nagwaswalla,RR,9,9.15,204,13
Kuldeep Yadav,SRH,4,9.15,78,1
BJ McMullen,RR,5,9.15,40,1
Karan Lal,RR,10,9.18,221,18
JJ Bumrah,DC,9,9.21,198,11
Ashwin Das,LSG,4,9.25,85,7
Tanush Kotian,CSK,12,9.29,252,13
CH Gayle,CSK,3,9.29,42,5
C Green,KKR,9,9.31,172,9
BA Stokes,RR,5,9.33,108,2
SP Narine,KKR,11,9.42,216,12
JA Duffy,GT,9,9.42,200,14
Ashutosh Sharma,RCB,5,9.46,92,7
D Wiese,GT,5,9.5,108,4
Mohit Redkar,CSK,4,9.5,96,5
Utkarsh Singh,PBKS,7,9.53,107,7
JC Archer,LSG,10,9.55,218,12
Abdul Samad,LSG,5,9.57,42,2
WG Jacks,LSG,14,9.61,264,11
CV Varun,PBKS,10,9.64,216,13
DS Rathi,KKR,3,9.67,72,4
Prashant Veer,DC,3,9.67,36,2
KA Maharaj,SRH,6,9.72,121,10
Ravi Bishnoi,GT,5,9.73,119,7
S Lamichhane,DC,9,9.74,199,5
Shivam Shukla,MI,7,9.75,168,9
Naveen-ul-Haq,SRH,5,9.75,120,4
Arshdeep Singh,LSG,14,9.78,314,33
HH Pandya,MI,9,9.81,186,2
R Powell,LSG,7,9.83,72,0
Usman Khan (2),CSK,2,9.83,36,5
S Dube,RR,12,9.84,242,18
Ravi Teja,RCB,10,9.9,217,14
Mohammad Nabi,LSG,3,9.92,72,3
RR Patel,RCB,8,9.93,180,7
PHKD Mendis,DC,9,9.94,108,3
Rishad Hossain,RR,2,10.0,36,2
PWH de Silva,RCB,13,10.1,306,21
