player,team,#catches,#runout/stumping
Tanush Kotian,CSK,16,1
HH Pandya,MI,14,2
Arshad Khan,DC,11,0
Arshdeep Singh,LSG,11,0
Shashank Singh,PBKS,11,0
Sameer Rizvi,LSG,11,0
N Rana,PBKS,10,0
YBK Jaiswal,RR,10,0
S Dube,RR,10,0
WG Jacks,LSG,10,2
YK Pathan,KKR,10,1
RA Jadeja,SRH,10,0
Nithish Kumar Reddy,SRH,9,0
Noor Ahmad,MI,9,0
BJ McMullen,RR,8,0
SP Narine,KKR,8,0
PWH de Silva,RCB,8,1
V Nigam,GT,8,1
A Nagwaswalla,RR,7,0
Naman Dhir,GT,7,0
MP Yadav,PBKS,7,0
LS Livingstone,KKR,7,1
BM Duckett,SRH,7,2
PHKD Mendis,DC,6,0
Jay Gohil,LSG,6,0
N Pooran,MI,5,0
Harshit Rana,KKR,5,0
JM Sharma,RCB,5,0
KA Pollard,CSK,5,0
Sakibul Gani,RCB,5,0
AB de Villiers,RR,5,0
AM Hardie,CSK,5,0
N Sindhu,DC,5,0
TB Robinson,RR,5,0
B Kumar,KKR,5,0
R Shepherd,GT,4,0
Smaran Ravichandran,PBKS,4,0
PD Salt,RCB,4,0
Shaheen Shah Afridi,MI,4,0
R Parag,GT,4,0
JR Hazlewood,RR,4,0
Urvil Patel,MI,4,0
JG Bethell,RR,4,0
JC Archer,LSG,4,0
Salil Arora,RCB,4,0
MA Starc,KKR,4,0
Tilak Varma,CSK,4,1
GJ Maxwell,DC,4,1
AR Ramjani,PBKS,4,0
C Green,KKR,4,0
Ashutosh Sharma,RCB,4,0
H Ssenyondo,LSG,4,0
Yudhvir Singh,RCB,4,0
GD Phillips,GT,4,1
AM Rahane,MI,4,0
T Natarajan,CSK,3,0
Abdul Samad,LSG,3,1
Ravi Teja,RCB,3,0
Ravi Singh,KKR,3,0
DS Airee,CSK,3,0
D Wiese,GT,3,0
HS Desai,CSK,3,0
RR Patel,RCB,3,0
Sufiyan Muqeem,GT,3,0
Dhruv Jurel,KKR,3,0
D Brevis,LSG,3,0
HJ Manenti,CSK,3,0
CV Varun,PBKS,3,1
TH David,PBKS,3,0
Naveen-ul-Haq,SRH,3,0
KL Rahul,SRH,3,0
Karan Lal,RR,3,0
Pulkit Narang,RR,3,0
JA Duffy,GT,3,0
JJ Bumrah,DC,3,0
Imran Tahir,CSK,3,0
JJ Smit,PBKS,3,0
GF Linde,GT,3,0
Hassan Nawaz,RCB,3,0
SV Samson,GT,3,0
Samant Jakhar,DC,3,0
V Kohli,RR,3,0
YS Chahal,RCB,3,0
Shivam Shukla,MI,3,1
KA Maharaj,SRH,3,1
Swapnil Singh,CSK,2,0
R Sai Kishore,MI,2,0
Ashwin Das,LSG,2,0
Shahbaz Ahmed,LSG,2,0
Suryansh Shedge,CSK,2,0
A Zampa,SRH,2,0
SL Malinga,PBKS,2,1
Anmolpreet Singh,CSK,2,0
RG Sharma,KKR,2,0
S Lamichhane,DC,2,1
RK Singh,MI,2,0
Akash Vasisht,SRH,2,0
Ravi Bishnoi,GT,2,0
SS Iyer,LSG,2,0
SPD Smith,CSK,2,0
Rishad Hossain,RR,2,0
S Gopal,GT,2,0
RK Bhui,KKR,2,0
N Wadhera,KKR,2,0
Atharva Taide,MI,2,0
M Pathirana,RCB,2,0
Harsh Dubey,RCB,2,0
Ishan Kishan,MI,2,0
J Fraser-McGurk,KKR,2,0
V Puthur,DC,2,0
JC Buttler,LSG,2,0
Utkarsh Singh,PBKS,2,0
Fazalhaq Farooqi,CSK,2,0
FH Allen,PBKS,2,0
KD Karthik,RR,2,0
Tarang Gohel,DC,2,0
Karan Shinde,RCB,2,2
DW Lawrence,DC,2,1
B Sai Sudharsan,PBKS,2,0
LI Meriwala,DC,2,1
D Ferreira,GT,2,0
MJ Owen,DC,2,0
Tanay Thyagarajan,RCB,2,0
C Connolly,PBKS,2,0
WL Madsen,MI,2,0
NT Ellis,SRH,2,0
Chirag Jani,CSK,2,0
M Siddharth,CSK,2,0
VR Iyer,SRH,1,0
Washington Sundar,PBKS,1,0
TM Head,RR,1,1
Usman Khan (2),CSK,1,0
Tripuresh Singh,RCB,1,0
TP Ura,PBKS,1,0
VS Halambage,RCB,1,0
Shubman Gill,LSG,1,2
Sonu Yadav,PBKS,1,0
A Mhatre,KKR,1,0
Mohammad Nabi,LSG,1,0
Shashwat Rawat,PBKS,1,0
JP Inglis,GT,1,1
AD Russell,DC,1,0
AS Roy,GT,1,0
Aniket Verma,RR,1,1
Avesh Khan,GT,1,0
BA Stokes,RR,1,0
C Sakariya,SRH,1,0
CV Milind,SRH,1,0
D Padikkal,KKR,1,0
DS Rathi,KKR,1,0
H Klaasen,CSK,1,0
HV Patel,GT,1,0
Harpreet Brar,GT,1,0
JM Coles,MI,1,0
JN Loftie-Eaton,RR,1,0
Jaskaran Singh,KKR,1,0
SA Yadav,DC,1,1
K Kartikeya,LSG,1,0
KH Pandya,RR,1,0
Kartik Sharma,SRH,1,1
MS Dhoni,CSK,1,0
Mohammed Shami,LSG,1,0
Mohit Redkar,CSK,1,0
Naseem Shah,LSG,1,0
Prashant Veer,DC,1,0
Priyansh Arya,RCB,1,0
R Sanjay Yadav,PBKS,1,0
RA Bawa,SRH,1,0
RD Rickelton,LSG,1,0
Ramandeep Singh,LSG,1,0
Rasikh Salam,MI,1,0
Yuvraj Singh,CSK,1,0
Abhishek Sharma,MI,0,1
DA Payne,PBKS,0,1
R Powell,LSG,0,1
