striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,points,high_score,30s-50s-100s,strike_rotations
Abhishek Sharma,MI,16,805,394,15,82,36,89,204.31,26.27,53.67,3.34,22.59,557.71,103* (54),11-6-1,196
CH Gayle,CSK,14,647,380,11,61,29,114,170.26,34.55,58.82,4.22,30.0,449.5,100* (58),7-5-1,186
V Suryavanshi,PBKS,14,614,387,13,69,15,112,158.66,29.77,47.23,4.61,28.94,419.45,86 (49),8-7-0,201
JP Inglis,GT,14,569,303,11,57,25,73,187.79,27.55,51.73,3.7,24.09,417.98,130* (66),7-4-1,156
PD Salt,RCB,15,566,323,15,55,26,95,175.23,21.53,37.73,3.99,29.41,403.02,118 (59),8-5-1,159
Shubman Gill,LSG,16,551,318,15,60,15,71,173.27,21.2,36.73,4.24,22.33,393.63,95* (53),9-4-0,179
SV Samson,GT,14,551,334,14,73,12,107,164.97,23.86,39.36,3.93,32.04,387.66,93 (55),7-5-0,158
Salil Arora,RCB,12,529,277,8,43,25,56,190.97,34.62,66.12,4.07,20.22,400.7,110* (56),7-3-1,159
GJ Maxwell,DC,14,527,298,12,43,27,72,176.85,24.83,43.92,4.26,24.16,385.83,92 (49),6-6-0,168
PWH de Silva,RCB,14,521,267,13,53,25,60,195.13,20.54,40.08,3.42,22.47,395.22,95 (39),8-4-0,135
Tilak Varma,CSK,14,512,305,13,55,18,89,167.87,23.46,39.38,4.18,29.18,368.87,96 (60),7-3-0,153
YBK Jaiswal,RR,13,498,276,9,41,23,62,180.43,30.67,55.33,4.31,22.46,374.42,100* (43),5-4-1,163
C Green,KKR,15,490,288,13,49,16,65,170.14,22.15,37.69,4.43,22.57,359.14,98* (51),7-4-0,170
KL Rahul,SRH,12,482,292,10,46,18,88,165.07,29.2,48.2,4.56,30.14,351.52,103* (62),7-3-1,150
N Pooran,MI,14,474,286,9,40,21,86,165.73,31.78,52.67,4.69,30.07,348.87,88* (50),7-3-0,151
JC Buttler,LSG,15,465,317,12,48,14,99,146.69,26.42,38.75,5.11,31.23,329.1,83 (52),7-3-0,163
Naman Dhir,GT,13,457,275,10,45,12,60,166.18,27.5,45.7,4.82,21.82,339.87,69* (41),9-4-0,165
RG Sharma,KKR,15,452,263,12,41,20,73,171.86,21.92,37.67,4.31,27.76,338.08,103* (47),6-4-1,135
FH Allen,PBKS,14,450,265,13,54,14,99,169.81,20.38,34.62,3.9,37.36,331.0,113 (50),6-2-2,116
Tarang Gohel,DC,13,449,265,12,56,10,68,169.43,22.08,37.42,4.02,25.66,336.3,71 (46),7-4-0,139
Sameer Rizvi,LSG,14,447,215,6,39,23,29,207.91,35.83,74.5,3.47,13.49,372.94,94* (39),6-3-0,129
SA Yadav,DC,14,425,256,13,25,25,70,166.02,19.69,32.69,5.12,27.34,317.47,69* (38),6-5-0,142
BM Duckett,SRH,12,407,248,12,46,11,72,164.11,20.67,33.92,4.35,29.03,306.97,82 (43),7-4-0,124
WG Jacks,LSG,16,402,288,14,28,16,97,139.58,20.57,28.71,6.55,33.68,283.5,71* (31),6-3-0,155
J Fraser-McGurk,KKR,13,391,238,13,45,15,80,164.29,18.31,30.08,3.97,33.61,297.98,91 (45),6-2-0,102
V Kohli,RR,13,371,222,12,45,12,77,167.12,18.5,30.92,3.89,34.68,287.61,114* (65),5-2-1,97
Urvil Patel,MI,10,370,219,10,47,14,82,168.95,21.9,37.0,3.59,37.44,290.64,98 (48),6-2-0,80
SS Iyer,LSG,15,368,252,14,27,12,70,146.03,18.0,26.29,6.46,27.78,269.84,73 (45),6-1-0,151
N Sindhu,DC,14,365,210,11,27,16,47,173.81,19.09,33.18,4.88,22.38,290.52,61 (33),6-1-0,129
SP Narine,KKR,14,360,239,14,36,15,94,150.63,17.07,25.71,4.69,39.33,267.41,58 (26),6-2-0,98
Priyansh Arya,RCB,10,358,209,9,45,8,63,171.29,23.22,39.78,3.94,30.14,286.11,106* (52),5-2-1,98
Kartik Sharma,SRH,13,356,186,12,31,18,56,191.4,15.5,29.67,3.8,30.11,293.29,62 (29),3-1-0,87
MJ Owen,DC,14,343,211,14,33,12,70,162.56,15.07,24.5,4.69,33.18,265.32,79 (54),5-2-0,100
WL Madsen,MI,12,339,225,8,22,11,40,150.67,28.12,42.38,6.82,17.78,266.56,64* (36),6-2-0,155
R Parag,GT,12,331,200,9,19,19,56,165.5,22.22,36.78,5.26,28.0,266.32,81 (47),6-1-0,109
AM Rahane,MI,13,293,202,11,31,8,71,145.05,18.36,26.64,5.18,35.15,228.52,89* (48),2-1-0,98
P Simran Singh,SRH,12,289,177,12,31,10,59,163.28,14.75,24.08,4.32,33.33,237.84,57 (34),4-3-0,84
KA Pollard,CSK,11,282,162,9,18,17,40,174.07,18.0,31.33,4.63,24.69,246.02,44* (24),5-0-0,91
Aniket Verma,RR,10,264,146,10,17,16,37,180.82,14.6,26.4,4.42,25.34,238.07,69 (43),4-2-0,79
Sakibul Gani,RCB,12,264,147,8,20,15,46,179.59,18.38,33.0,4.2,31.29,236.62,39 (14),3-0-0,69
TP Ura,PBKS,10,264,161,10,18,13,41,163.98,16.1,26.4,5.19,25.47,227.39,62 (32),4-1-0,92
Atharva Taide,MI,6,261,154,6,19,14,44,169.48,25.67,43.5,4.67,28.57,233.39,91 (45),4-3-0,80
JM Sharma,RCB,15,260,161,13,23,9,43,161.49,12.38,20.0,5.03,26.71,221.1,61* (33),3-2-0,94
Shashank Singh,PBKS,13,240,176,8,23,6,55,136.36,22.0,30.0,6.07,31.25,197.42,59* (43),1-1-0,96
Ravi Singh,KKR,14,223,148,14,20,11,63,150.68,10.57,15.93,4.77,42.57,187.57,40 (22),3-0-0,57
S Dube,RR,11,212,144,11,21,6,41,147.22,13.09,19.27,5.33,28.47,186.7,48 (33),3-0-0,79
TH David,PBKS,10,208,126,7,19,9,36,165.08,18.0,29.71,4.5,28.57,198.76,45 (23),4-0-0,63
R Powell,LSG,8,197,143,8,15,9,52,137.76,17.88,24.62,5.96,36.36,171.14,43 (35),3-0-0,68
RA Jadeja,SRH,10,193,122,9,14,11,40,158.2,13.56,21.44,4.88,32.79,181.95,42 (29),1-0-0,58
Chirag Jani,CSK,11,182,104,9,12,12,29,175.0,11.56,20.22,4.33,27.88,188.1,73* (41),2-1-0,53
RD Gaikwad,GT,8,175,130,7,18,4,44,134.62,18.57,25.0,5.91,33.85,158.75,74* (44),2-1-0,68
VR Iyer,SRH,9,168,99,6,12,7,21,169.7,16.5,28.0,5.21,21.21,180.47,66 (34),2-2-0,61
YK Pathan,KKR,15,164,147,12,13,6,63,111.56,12.25,13.67,7.74,42.86,130.9,42 (38),1-0-0,65
GD Phillips,GT,7,160,79,4,7,12,19,202.53,19.75,40.0,4.16,24.05,196.48,55 (25),3-1-0,43
V Nigam,GT,8,160,95,3,10,12,31,168.42,31.67,53.33,4.32,32.63,180.54,46* (19),1-0-0,43
N Rana,PBKS,8,159,109,8,19,6,44,145.87,13.62,19.88,4.36,40.37,154.24,51 (22),2-1-0,42
HS Desai,CSK,6,153,102,6,9,6,33,150.0,17.0,25.5,6.8,32.35,153.19,54 (39),3-1-0,56
JG Bethell,RR,11,153,110,10,6,11,40,139.09,11.0,15.3,6.47,36.36,144.46,34 (23),1-0-0,54
T Stubbs,CSK,7,148,104,5,6,8,32,142.31,20.8,29.6,7.43,30.77,149.32,38 (27),3-0-0,61
Abishek Porel,RR,7,148,114,7,16,4,53,129.82,16.29,21.14,5.7,46.49,133.93,43 (31),3-0-0,47
RM Patidar,KKR,7,147,89,5,10,9,23,165.17,17.8,29.4,4.68,25.84,167.16,69* (35),2-1-0,48
KD Karthik,RR,7,141,86,7,11,9,34,163.95,12.29,20.14,4.3,39.53,153.78,42 (18),2-0-0,36
