bowler,bowling_team,num_innings,3+_wkts,balls,economy,5+_wkts
Arshdeep Singh,LSG,15,8,338,9.92,1
Noor Ahmad,MI,15,7,355,8.67,0
H Ssenyondo,LSG,7,4,168,7.36,0
B Kumar,KKR,14,4,317,9.12,1
Imran Tahir,CSK,6,3,136,8.6,0
JA Duffy,GT,9,3,200,9.42,0
MP Yadav,PBKS,13,3,248,8.93,1
AR Ramjani,PBKS,12,3,262,7.69,0
PWH de Silva,RCB,13,3,306,10.1,0
Pulkit Narang,RR,3,2,51,6.12,0
AK Markram,DC,5,2,114,8.63,0
GF Linde,GT,5,2,120,8.8,1
MA Starc,KKR,6,2,132,8.27,0
Harshit Rana,KKR,8,2,183,8.49,0
JM Coles,MI,9,2,192,8.16,0
NT Ellis,SRH,9,2,210,9.03,0
Karan Lal,RR,10,2,221,9.18,0
HJ Manenti,CSK,10,2,228,9.11,0
JR Hazlewood,RR,10,2,234,9.03,0
S Dube,RR,12,2,242,9.84,0
Shaheen Shah Afridi,MI,13,2,312,10.73,0
M Siddharth,CSK,2,1,36,8.0,0
Usman Khan (2),CSK,2,1,36,9.83,0
CH Gayle,CSK,3,1,42,9.29,0
Mohammad Ghazanfar,SRH,2,1,48,9.12,0
Ashwin Das,LSG,4,1,85,9.25,0
Tripuresh Singh,RCB,4,1,90,9.0,0
Ashutosh Sharma,RCB,5,1,92,9.46,0
R Ashwin,KKR,4,1,96,10.38,0
YS Chahal,RCB,5,1,102,10.65,0
T Natarajan,CSK,6,1,105,10.57,0
D Wiese,GT,5,1,108,9.5,0
R Shepherd,GT,5,1,114,10.95,0
Ravi Bishnoi,GT,5,1,119,9.73,0
Harsh Dubey,RCB,5,1,120,8.9,0
JJ Smit,PBKS,6,1,127,8.79,0
A Zampa,SRH,7,1,156,8.54,0
LS Livingstone,KKR,7,1,158,12.04,0
Shivam Shukla,MI,7,1,168,9.75,0
C Green,KKR,9,1,172,9.31,0
RR Patel,RCB,8,1,180,9.93,0
JJ Bumrah,DC,9,1,198,9.21,0
A Nagwaswalla,RR,9,1,204,9.15,0
Arshad Khan,DC,13,1,204,11.68,0
Shashank Singh,PBKS,14,1,210,8.77,0
CV Varun,PBKS,10,1,216,9.64,0
Ravi Teja,RCB,10,1,217,9.9,1
JC Archer,LSG,10,1,218,9.55,0
SP Narine,KKR,12,1,240,9.2,0
WG Jacks,LSG,15,1,288,9.31,0
V Nigam,GT,13,1,294,10.1,0
