bowler,bowling_team,num_innings,dots,balls,dot_%
Arshdeep Singh,LSG,16,131,362,36.19
Noor Ahmad,MI,16,130,379,34.3
B Kumar,KKR,14,117,317,36.91
Shaheen Shah Afridi,MI,14,104,336,30.95
WG Jacks,LSG,16,88,312,28.21
Shashank Singh,PBKS,14,87,210,41.43
PWH de Silva,RCB,13,87,306,28.43
AR Ramjani,PBKS,12,86,262,32.82
A Nagwaswalla,RR,9,85,204,41.67
JC Archer,LSG,10,85,218,38.99
MP Yadav,PBKS,13,84,248,33.87
HJ Manenti,CSK,10,80,228,35.09
YK Pathan,KKR,15,77,288,26.74
V Nigam,GT,13,77,294,26.19
JA Duffy,GT,9,74,200,37.0
H Ssenyondo,LSG,8,73,192,38.02
Harshit Rana,KKR,8,70,183,38.25
NT Ellis,SRH,9,70,210,33.33
Karan Lal,RR,10,68,221,30.77
MA Starc,KKR,6,66,132,50.0
R Sai Kishore,MI,12,66,282,23.4
S Dube,RR,12,65,242,26.86
Tanush Kotian,CSK,12,65,252,25.79
Shivam Shukla,MI,8,63,192,32.81
CV Varun,PBKS,10,62,216,28.7
Imran Tahir,CSK,6,59,136,43.38
JR Hazlewood,RR,10,59,234,25.21
JJ Bumrah,DC,9,58,198,29.29
Arshad Khan,DC,13,58,204,28.43
JG Bethell,RR,11,52,210,24.76
JM Coles,MI,10,52,216,24.07
TA Boult,MI,6,50,144,34.72
M Pathirana,RCB,8,50,174,28.74
S Lamichhane,DC,9,50,199,25.13
LI Meriwala,DC,8,48,174,27.59
GF Linde,GT,5,46,120,38.33
SP Narine,KKR,12,46,240,19.17
Ravi Teja,RCB,10,44,217,20.28
JJ Smit,PBKS,6,43,127,33.86
Tanay Thyagarajan,RCB,5,42,120,35.0
A Zampa,SRH,7,42,156,26.92
LS Livingstone,KKR,7,42,158,26.58
C Green,KKR,9,42,172,24.42
Chirag Jani,CSK,10,40,144,27.78
Akash Vasisht,SRH,8,40,162,24.69
Yudhvir Singh,RCB,7,39,126,30.95
BA Stokes,RR,5,38,108,35.19
Naveen-ul-Haq,SRH,5,38,120,31.67
RR Patel,RCB,8,38,180,21.11
DA Payne,PBKS,4,37,84,44.05
CV Milind,SRH,5,37,108,34.26
Tripuresh Singh,RCB,4,36,90,40.0
SL Malinga,PBKS,5,36,108,33.33
HH Pandya,MI,9,36,186,19.35
YS Chahal,RCB,5,35,102,34.31
Harsh Dubey,RCB,5,35,120,29.17
Sufiyan Muqeem,GT,3,33,72,45.83
R Ashwin,KKR,4,33,96,34.38
D Wiese,GT,5,33,108,30.56
KA Maharaj,SRH,6,33,121,27.27
DS Rathi,KKR,4,32,96,33.33
R Shepherd,GT,5,32,114,28.07
MJ Owen,DC,14,32,165,19.39
AK Markram,DC,5,31,114,27.19
