player,team,points
PWH de Silva,RCB,1582
Arshdeep Singh,LSG,1168
Abhishek Sharma,MI,1167
Noor Ahmad,MI,1118
CH Gayle,CSK,1028
C Green,KKR,972
WG Jacks,LSG,933
B Kumar,KKR,931
SP Narine,KKR,906
S Dube,RR,892
V Suryavanshi,PBKS,837
Shaheen Shah Afridi,MI,810
AR Ramjani,PBKS,784
MP Yadav,PBKS,783
Salil Arora,RCB,769
JP Inglis,GT,768
PD Salt,RCB,768
GJ Maxwell,DC,756
V Nigam,GT,753
Shubman Gill,LSG,744
SV Samson,GT,723
Karan Lal,RR,679
YBK Jaiswal,RR,666
Tilak Varma,CSK,664
HJ Manenti,CSK,648
Sameer Rizvi,LSG,640
YK Pathan,KKR,638
MJ Owen,DC,638
N Pooran,MI,634
KL Rahul,SRH,623
H Ssenyondo,LSG,618
Tanush Kotian,CSK,616
Naman Dhir,GT,599
NT Ellis,SRH,599
Tarang Gohel,DC,596
RG Sharma,KKR,591
Shashank Singh,PBKS,591
FH Allen,PBKS,589
JC Buttler,LSG,585
R Parag,GT,567
Urvil Patel,MI,561
Priyansh Arya,RCB,561
JG Bethell,RR,555
SA Yadav,DC,550
Arshad Khan,DC,532
BM Duckett,SRH,521
JA Duffy,GT,516
J Fraser-McGurk,KKR,515
LS Livingstone,KKR,515
JR Hazlewood,RR,510
Kartik Sharma,SRH,506
R Sai Kishore,MI,497
N Sindhu,DC,491
A Nagwaswalla,RR,489
JJ Smit,PBKS,482
V Kohli,RR,481
MA Starc,KKR,474
Imran Tahir,CSK,472
Atharva Taide,MI,467
Chirag Jani,CSK,462
JC Archer,LSG,458
Ravi Teja,RCB,455
KA Pollard,CSK,454
SS Iyer,LSG,452
CV Varun,PBKS,449
Shivam Shukla,MI,438
AK Markram,DC,437
JJ Bumrah,DC,435
WL Madsen,MI,426
GF Linde,GT,408
Sakibul Gani,RCB,396
JM Sharma,RCB,392
P Simran Singh,SRH,389
JM Coles,MI,382
A Zampa,SRH,370
VR Iyer,SRH,365
Aniket Verma,RR,364
AM Rahane,MI,363
Harshit Rana,KKR,356
TP Ura,PBKS,354
RA Jadeja,SRH,351
Utkarsh Singh,PBKS,347
Harsh Dubey,RCB,330
HH Pandya,MI,316
KA Maharaj,SRH,315
TA Boult,MI,294
Ravi Singh,KKR,286
Usman Khan (2),CSK,277
Ashutosh Sharma,RCB,274
Shahbaz Ahmed,LSG,270
RR Patel,RCB,267
TH David,PBKS,266
Tanay Thyagarajan,RCB,263
DW Lawrence,DC,263
T Natarajan,CSK,261
Ashwin Das,LSG,260
R Powell,LSG,249
Pulkit Narang,RR,247
Ravi Bishnoi,GT,245
R Shepherd,GT,244
M Pathirana,RCB,240
YS Chahal,RCB,239
PHKD Mendis,DC,238
Samant Jakhar,DC,237
Tripuresh Singh,RCB,230
Sufiyan Muqeem,GT,230
Nithish Kumar Reddy,SRH,220
GD Phillips,GT,217
Akash Vasisht,SRH,211
K Kartikeya,LSG,211
LI Meriwala,DC,209
S Lamichhane,DC,205
R Ashwin,KKR,204
HS Desai,CSK,201
RD Gaikwad,GT,198
N Rana,PBKS,194
