bowling_team,phase,wkts,eco,SR
CSK,Death,28,10.52,8.96
CSK,Middle,25,8.83,21.6
CSK,PP,17,10.57,21.18
DC,Death,19,10.68,14.11
DC,Middle,19,9.12,28.42
DC,PP,12,11.55,30.0
GT,Death,33,11.23,8.76
GT,Middle,20,9.96,27.0
GT,PP,12,10.52,30.0
KKR,Death,30,8.51,8.2
KKR,Middle,25,8.67,20.8
KKR,PP,22,9.78,16.36
LSG,Middle,28,9.21,19.29
LSG,PP,18,9.87,20.0
LSG,Death,30,10.69,8.7
MI,Death,22,10.72,13.64
MI,Middle,24,9.03,22.5
MI,PP,18,10.2,20.0
PBKS,Death,24,8.87,8.62
PBKS,Middle,39,9.09,13.36
PBKS,PP,12,9.12,30.0
RCB,Death,13,12.23,20.38
RCB,Middle,32,8.89,16.5
RCB,PP,16,10.35,22.5
RR,Death,27,10.18,10.11
RR,Middle,28,8.93,19.29
RR,PP,15,9.67,24.0
SRH,Middle,18,8.98,30.0
SRH,Death,28,11.44,10.36
SRH,PP,6,9.53,60.0
