team,matches_played,points,#Won,#Lost,NRR,Recent Form (Latest first)
MI,14,18,9,5,0.308,
RCB,14,18,9,5,0.2294,
KKR,14,16,7,5,0.1377,
LSG,14,16,8,6,-0.1462,
PBKS,14,15,7,6,-0.0799,
CSK,14,14,7,7,0.4194,
GT,14,12,6,8,-0.1312,
SRH,14,12,6,8,-0.6426,
DC,14,10,5,9,0.0057,
RR,14,9,4,9,-0.0322,
