Player,Team,TI,B.Impact,Bo.Impact
PWH de Silva,RCB,1322.6,692.77,629.84
Abhishek Sharma,MI,1099.69,1118.13,-18.46
C Green,KKR,946.45,642.47,303.98
CH Gayle,CSK,910.21,801.01,109.21
Noor Ahmad,MI,848.59,-3.17,851.75
V Suryavanshi,PBKS,786.69,732.73,53.97
AR Ramjani,PBKS,767.39,26.23,741.14
Arshdeep Singh,LSG,746.51,-2.81,749.32
WG Jacks,LSG,734.21,413.33,320.89
Salil Arora,RCB,707.76,707.76,0.0
S Dube,RR,704.3,230.53,473.77
SP Narine,KKR,694.89,395.81,299.1
B Kumar,KKR,693.87,13.97,679.91
GJ Maxwell,DC,686.24,659.1,27.16
YBK Jaiswal,RR,683.91,683.91,0.0
Shubman Gill,LSG,683.87,683.87,0.0
PD Salt,RCB,676.25,676.25,0.0
JP Inglis,GT,671.95,671.95,0.0
Sameer Rizvi,LSG,662.66,662.66,0.0
Tilak Varma,CSK,645.95,645.95,0.0
SV Samson,GT,631.88,631.88,0.0
V Nigam,GT,623.98,190.53,433.42
YK Pathan,KKR,619.91,141.11,478.8
RG Sharma,KKR,600.6800000000001,600.6800000000001,0.0
KL Rahul,SRH,600.03,600.03,0.0
MP Yadav,PBKS,564.73,-0.9799999999999999,565.72
FH Allen,PBKS,551.11,551.11,0.0
N Pooran,MI,546.39,546.39,0.0
Tanush Kotian,CSK,542.91,134.75,408.15
H Ssenyondo,LSG,541.66,-4.02,545.67
Tarang Gohel,DC,526.67,526.67,0.0
NT Ellis,SRH,516.7,-7.16,523.86
MJ Owen,DC,498.89,383.05,115.83
Shaheen Shah Afridi,MI,495.36,56.59,438.8
R Parag,GT,492.32,366.15,126.17
Naman Dhir,GT,484.26,496.86,-12.62
SA Yadav,DC,483.35,483.35,0.0
Priyansh Arya,RCB,483.12,483.12,0.0
Urvil Patel,MI,482.97,482.97,0.0
BM Duckett,SRH,481.58,481.58,0.0
JC Buttler,LSG,481.28,481.28,0.0
Karan Lal,RR,475.26,35.26,440.0
JG Bethell,RR,470.81,150.61,320.23
J Fraser-McGurk,KKR,464.08,464.08,0.0
Kartik Sharma,SRH,461.75,461.75,0.0
N Sindhu,DC,458.78,458.78,0.0
Arshad Khan,DC,450.24,163.61,286.6
HJ Manenti,CSK,438.99,1.88,437.11
KA Pollard,CSK,423.05,362.5,60.55
LS Livingstone,KKR,416.38,90.85,325.53
Chirag Jani,CSK,415.11,240.62,174.5
R Sai Kishore,MI,412.42,36.03,376.39
SS Iyer,LSG,409.91,409.91,0.0
V Kohli,RR,409.61,409.61,0.0
Ravi Teja,RCB,408.09,-2.91,410.99
JR Hazlewood,RR,398.37,-2.47,400.85
Atharva Taide,MI,387.41,387.41,0.0
JJ Smit,PBKS,367.27,87.27,280.02
WL Madsen,MI,351.78,351.78,0.0
Shashank Singh,PBKS,349.39,261.25,88.1
JJ Bumrah,DC,347.67,31.98,315.69
Aniket Verma,RR,346.06,346.06,0.0
TP Ura,PBKS,329.22,329.22,0.0
JA Duffy,GT,324.4,1.32,323.08
Sakibul Gani,RCB,321.59,325.1,-3.510000000000001
P Simran Singh,SRH,320.92,320.92,0.0
JM Sharma,RCB,318.31,318.31,0.0
JC Archer,LSG,317.48,2.7,314.78
Utkarsh Singh,PBKS,316.17,102.66,213.52
VR Iyer,SRH,305.13,186.68,118.45
RA Jadeja,SRH,304.0,227.14,76.85000000000001
Imran Tahir,CSK,303.16,-1.71,304.87
AK Markram,DC,300.53,73.65,226.88
CV Varun,PBKS,295.87,0.6200000000000001,295.26
A Zampa,SRH,280.11,-2.86,282.95
MA Starc,KKR,278.54,-3.27,281.81
Harsh Dubey,RCB,272.76,-3.23,275.99
A Nagwaswalla,RR,272.3,7.280000000000001,265.02
AM Rahane,MI,268.58,268.58,0.0
KA Maharaj,SRH,265.15,-2.93,268.08
HH Pandya,MI,264.59,175.48,89.11
Ravi Singh,KKR,256.31,256.31,0.0
JM Coles,MI,254.08,22.06,232.02
TH David,PBKS,246.9,246.9,0.0
Shivam Shukla,MI,233.4,0.0,233.4
GF Linde,GT,226.47,28.86,197.62
DW Lawrence,DC,222.17,82.77,139.39
GD Phillips,GT,217.58,237.42,-19.84
Shahbaz Ahmed,LSG,217.33,5.98,211.36
Samant Jakhar,DC,213.68,70.32,143.38
Usman Khan,CSK,211.93,97.68,114.25
Sufiyan Muqeem,GT,209.89,0.0,209.89
M Pathirana,RCB,196.3,9.51,186.8
Pulkit Narang,RR,193.89,-1.75,195.64
Swapnil Singh,CSK,190.88,-1.25,192.14
R Powell,LSG,189.34,220.87,-31.52
TA Boult,MI,188.74,-1.81,190.55
PHKD Mendis,DC,188.45,97.75999999999999,90.67999999999998
T Natarajan,CSK,187.98,-1.22,189.21
Ashwin Das,LSG,184.24,9.34,174.89
Harshit Rana,KKR,180.47,6.850000000000001,173.62
RM Patidar,KKR,179.6,179.6,0.0
Ashutosh Sharma,RCB,176.95,23.33,153.62
N Rana,PBKS,175.69,175.69,0.0
Nithish Kumar Reddy,SRH,175.61,129.68,45.94
Akash Vasisht,SRH,174.91,20.24,154.68
RR Patel,RCB,172.92,8.23,164.72
AS Roy,GT,172.74,13.6,159.15
Tanay Thyagarajan,RCB,171.63,1.44,170.19
KD Karthik,RR,169.7,169.7,0.0
LI Meriwala,DC,167.08,0.0,167.08
Ravi Bishnoi,GT,166.02,1.5,164.51
HS Desai,CSK,165.72,165.72,0.0
R Shepherd,GT,165.07,5.5,159.57
RD Gaikwad,GT,163.5,163.5,0.0
RD Rickelton,LSG,159.17,159.17,0.0
Mohit Redkar,CSK,152.28,-3.55,155.82
HV Patel,GT,151.2,-1.76,152.96
Tripuresh Singh,RCB,149.66,-1.96,151.62
AB de Villiers,RR,145.71,145.71,0.0
Abishek Porel,RR,145.43,145.43,0.0
T Stubbs,CSK,144.81,144.81,0.0
BJ McMullen,RR,144.7,113.78,30.93
Harsh Tyagi,SRH,144.23,-1.78,146.01
YS Chahal,RCB,141.83,-1.79,143.62
Mohammad Nabi,LSG,138.84,10.91,127.93
K Kartikeya,LSG,138.14,29.88,108.26
S Lamichhane,DC,136.01,22.38,113.63
MR Marsh,SRH,134.9,141.06,-6.15
MW Short,MI,131.4,104.43,26.97
AM Hardie,CSK,130.07,64.74000000000001,65.33
C Connolly,PBKS,125.91,64.48,61.43
V Puthur,DC,123.16,0.0,123.16
RR Rossouw,SRH,122.89,122.89,0.0
JN Loftie-Eaton,RR,121.14,28.53,92.61
Karan Shinde,RCB,120.76,120.76,0.0
KH Pandya,RR,120.5,24.5,96.0
Sanvir Singh,GT,116.36,24.03,92.33
Abdul Samad,LSG,113.91,62.88,51.03
Jay Gohil,LSG,112.24,112.24,0.0
D Wiese,GT,112.03,-2.51,114.54
Ankit Kumar,RR,107.62,107.62,0.0
Tushar Raheja,SRH,107.32,107.32,0.0
R Ashwin,KKR,105.6,13.49,92.11
Smaran Ravichandran,PBKS,105.51,105.51,0.0
DS Rathi,KKR,105.5,-2.37,107.87
SR Dickson,RCB,103.63,103.63,0.0
AD Russell,DC,99.9,94.64,5.260000000000001
BA Stokes,RR,96.81,68.0,28.83
Mohammed Shami,LSG,96.71,1.9,94.80999999999999
TB Robinson,RR,95.39,95.39,0.0
Rasikh Salam,MI,93.68,11.4,82.27
Kumar Kushagra,GT,88.27000000000001,88.27000000000001,0.0
H Klaasen,CSK,86.56,86.56,0.0
Naveen-ul-Haq,SRH,86.19999999999999,9.280000000000001,76.91
MP Stoinis,KKR,85.33,85.33,0.0
MS Dhoni,CSK,83.71,83.71,0.0
DS Airee,CSK,83.69,49.64,34.05
AA Kulkarni,GT,82.92999999999999,94.71,-11.77
AR Patel,CSK,81.7,-0.49,82.19
C Sakariya,SRH,80.72999999999999,-3.51,84.22999999999999
RK Singh,MI,79.24,79.24,0.0
SL Malinga,PBKS,77.86999999999999,-3.84,81.72
M Siddharth,CSK,77.39,0.0,77.39
Anmolpreet Singh,CSK,75.5,75.5,0.0
Yudhvir Singh,RCB,74.11,3.89,70.22
B Sai Sudharsan,PBKS,70.74,70.74,0.0
Cheepurapalli Stephen,CSK,69.3,-1.77,71.06
Ashwani Kumar,RR,66.34,13.31,53.03
SS Ghosh,MI,66.1,0.0,66.1
SH Johnson,GT,63.56,7.08,56.48
Suryansh Shedge,CSK,60.3,60.45999999999999,-0.16
VG Arora,KKR,60.11,-0.19,60.29
Ishan Kishan,MI,59.63,59.63,0.0
Avesh Khan,GT,59.33,3.9,55.43
Hassan Nawaz,RCB,59.00000000000001,65.1,-6.1
Mohammad Amir,LSG,56.14,0.0,56.14
Mohammad Ghazanfar,SRH,55.8,-1.77,57.57
TM Head,RR,55.46,61.8,-6.34
Shakib Al Hasan,PBKS,54.89,14.49,40.41
Jagjit Singh,SRH,53.8,22.38,31.43
A Kamboj,GT,52.05,0.0,52.05
DA Payne,PBKS,49.75,-5.25,54.98999999999999
Usman Khan (2),CSK,47.84,7.3,40.54
NA Rathva,RR,47.16,0.0,47.16
RE van der Merwe,GT,46.42,4.48,41.94
AGS Gous,KKR,41.61,41.61,0.0
R Sanjay Yadav,PBKS,39.93,8.47,31.46
D Padikkal,KKR,39.37,39.37,0.0
Sonu Yadav,PBKS,37.38,-1.5,38.87
EA Brookes,RCB,37.18,16.88,20.29
Prashant Veer,DC,31.56,4.32,27.24
Khrievitso Kense,RCB,30.72,-1.53,32.25
Naseem Shah,LSG,26.86,0.0,26.86
Yash Thakur,MI,26.21,0.0,26.21
Rishad Hossain,RR,26.05,0.0,26.05
Dhruv Jurel,KKR,25.79,25.79,0.0
