striker,batting_team,num_innings,strike_rate,runs,outs
HH Pandya,MI,11,219.35,136,6
Tanush Kotian,CSK,9,213.73,109,6
RK Singh,MI,4,210.0,63,2
Sameer Rizvi,LSG,14,207.91,447,6
Abhishek Sharma,MI,16,204.31,805,15
GD Phillips,GT,7,202.53,160,4
Karan Shinde,RCB,7,197.14,69,5
PWH de Silva,RCB,14,195.13,521,13
Kartik Sharma,SRH,13,191.4,356,12
Salil Arora,RCB,12,190.97,529,8
MR Marsh,SRH,2,188.06,126,1
JP Inglis,GT,14,187.79,569,11
AA Kulkarni,GT,2,187.18,73,2
Aniket Verma,RR,10,180.82,264,10
YBK Jaiswal,RR,13,180.43,498,9
Sakibul Gani,RCB,12,179.59,264,8
AD Russell,DC,5,179.07,77,3
GJ Maxwell,DC,14,176.85,527,12
MW Short,MI,3,175.51,86,3
PD Salt,RCB,15,175.23,566,15
Chirag Jani,CSK,11,175.0,182,9
KA Pollard,CSK,11,174.07,282,9
N Sindhu,DC,14,173.81,365,11
Shubman Gill,LSG,16,173.27,551,15
BA Stokes,RR,5,172.22,62,4
RG Sharma,KKR,15,171.86,452,12
RR Rossouw,SRH,5,171.64,115,5
Priyansh Arya,RCB,10,171.29,358,9
CH Gayle,CSK,14,170.26,647,11
C Green,KKR,15,170.14,490,13
AK Markram,DC,4,170.0,68,2
Jay Gohil,LSG,6,169.84,107,3
Nithish Kumar Reddy,SRH,8,169.84,107,5
FH Allen,PBKS,14,169.81,450,13
VR Iyer,SRH,9,169.7,168,6
Atharva Taide,MI,6,169.48,261,6
Tarang Gohel,DC,13,169.43,449,12
MS Dhoni,CSK,3,169.05,71,0
Urvil Patel,MI,10,168.95,370,10
V Nigam,GT,8,168.42,160,3
Tilak Varma,CSK,14,167.87,512,13
V Kohli,RR,13,167.12,371,12
Naman Dhir,GT,13,166.18,457,10
SA Yadav,DC,14,166.02,425,13
N Pooran,MI,14,165.73,474,9
R Parag,GT,12,165.5,331,9
RM Patidar,KKR,7,165.17,147,5
TH David,PBKS,10,165.08,208,7
KL Rahul,SRH,12,165.07,482,10
SV Samson,GT,14,164.97,551,14
J Fraser-McGurk,KKR,13,164.29,391,13
BM Duckett,SRH,12,164.11,407,12
TP Ura,PBKS,10,163.98,264,10
KD Karthik,RR,7,163.95,141,7
P Simran Singh,SRH,12,163.28,289,12
MJ Owen,DC,14,162.56,343,14
Suryansh Shedge,CSK,3,161.54,63,1
JM Sharma,RCB,15,161.49,260,13
PHKD Mendis,DC,8,161.02,95,6
Utkarsh Singh,PBKS,6,159.26,86,4
Usman Khan (2),CSK,2,158.82,81,2
V Suryavanshi,PBKS,14,158.66,614,13
RA Jadeja,SRH,10,158.2,193,9
Ishan Kishan,MI,3,155.0,62,1
Arshad Khan,DC,11,153.33,138,8
C Connolly,PBKS,3,151.28,59,3
Ravi Singh,KKR,14,150.68,223,14
WL Madsen,MI,12,150.67,339,8
SP Narine,KKR,14,150.63,360,14
HS Desai,CSK,6,150.0,153,6
SR Dickson,RCB,3,149.21,94,3
TB Robinson,RR,3,149.09,82,3
AB de Villiers,RR,5,148.89,134,3
S Dube,RR,11,147.22,212,11
JC Buttler,LSG,15,146.69,465,12
SS Iyer,LSG,15,146.03,368,14
N Rana,PBKS,8,145.87,159,8
AM Rahane,MI,13,145.05,293,11
DW Lawrence,DC,5,142.86,90,3
T Stubbs,CSK,7,142.31,148,5
LS Livingstone,KKR,7,141.94,88,2
WG Jacks,LSG,16,139.58,402,14
Abdul Samad,LSG,6,139.13,64,3
JG Bethell,RR,11,139.09,153,10
H Klaasen,CSK,3,139.06,89,3
Ankit Kumar,RR,7,138.75,111,7
Shaheen Shah Afridi,MI,5,138.1,58,3
R Powell,LSG,8,137.76,197,8
BJ McMullen,RR,7,137.5,110,6
RD Rickelton,LSG,5,136.63,138,5
Shashank Singh,PBKS,13,136.36,240,8
Smaran Ravichandran,PBKS,8,136.36,105,8
RD Gaikwad,GT,8,134.62,175,7
Tushar Raheja,SRH,4,134.12,114,4
Abishek Porel,RR,7,129.82,148,7
JJ Smit,PBKS,4,129.03,80,4
Kumar Kushagra,GT,7,128.77,94,6
MP Stoinis,KKR,3,128.12,82,3
Anmolpreet Singh,CSK,6,126.15,82,4
B Sai Sudharsan,PBKS,4,118.33,71,4
TM Head,RR,3,118.18,65,3
Hassan Nawaz,RCB,6,117.57,87,5
Samant Jakhar,DC,8,113.64,50,4
YK Pathan,KKR,15,111.56,164,12
AM Hardie,CSK,5,109.21,83,3
JM Coles,MI,10,86.57,58,9
