team,matches_played,points,#Won,#Lost,NRR,Recent Form (Latest first)
GT,18,23,11,6,0.1588,LWwww
PBKS,18,20,10,8,0.7424,wWWlw
DC,18,20,10,8,0.479,WllWw
RR,18,20,10,8,-0.2232,wWLww
RCB,18,19,9,8,-0.5784,LWwWL
MI,18,18,9,9,0.2756,wlWLL
SRH,18,18,9,9,0.2675,lWlwL
LSG,18,18,9,9,0.0655,LLLLl
CSK,18,14,7,11,-0.4369,llwLW
KKR,18,10,5,13,-0.7035,llLWw
