batter,team,score,rank
Naman Dhir,GT,26.7688,1
JM Sharma,RCB,23.9161,2
Abhishek Sharma,MI,23.1399,3
Sameer Rizvi,LSG,22.7748,4
PHKD Mendis,SRH,22.2605,5
Aniket Verma,RR,21.4123,6
GJ Maxwell,RR,21.3739,7
CH Gayle,CSK,20.5142,8
R Powell,KKR,19.457,9
YBK Jaiswal,RR,19.3866,10
JP Inglis,GT,18.8726,11
N Sindhu,DC,18.8278,12
Shashank Singh,PBKS,18.6644,13
N Pooran,MI,18.549,14
P Simran Singh,SRH,17.9145,15
SA Yadav,DC,17.0557,16
PD Salt,RCB,17.0501,17
Shubman Gill,LSG,16.55,18
Priyansh Arya,SRH,16.0958,19
KA Pollard,CSK,15.7766,20
MJ Owen,DC,15.5169,21
Abishek Porel,DC,15.5011,22
V Suryavanshi,PBKS,15.4428,23
Tilak Varma,CSK,15.3751,24
KL Rahul,SRH,15.3698,25
RD Gaikwad,GT,14.9572,26
Chirag Jani,PBKS,14.5698,27
S Dube,RR,14.4428,28
Arshad Khan,RR,14.3825,29
T Stubbs,CSK,14.0963,30
Smaran Ravichandran,PBKS,13.9331,31
C Green,KKR,13.8294,32
RR Rossouw,SRH,13.7633,33
N Rana,PBKS,13.7272,34
SV Samson,GT,13.6557,35
HC Brook,MI,13.4842,36
B Sai Sudharsan,CSK,13.4717,37
RG Sharma,KKR,13.4645,38
V Kohli,DC,13.4005,39
J Fraser-McGurk,KKR,13.3953,40
FH Allen,PBKS,13.2372,41
SS Iyer,LSG,13.2317,42
WG Jacks,LSG,12.9852,43
JC Buttler,LSG,12.915,44
BM Duckett,PBKS,12.8159,45
VR Iyer,SRH,12.4997,46
Tarang Gohel,DC,12.4457,47
TM Head,MI,12.1918,48
Rahul Singh,RCB,11.9528,49
RK Singh,MI,11.8762,50
WL Madsen,MI,11.7524,51
AB de Villiers,RR,11.6154,52
H Klaasen,CSK,11.3672,53
MP Stoinis,GT,11.2355,54
Ishaan Gadekar,RCB,10.8451,55
DP Conway,PBKS,10.4917,56
Anmolpreet Singh,CSK,10.3725,57
Ishan Kishan,MI,9.8067,58
Q de Kock,KKR,9.6734,59
Dhruv Jurel,RCB,9.5162,60
Jay Gohil,LSG,9.4868,61
SP Narine,KKR,9.4388,62
R Parag,GT,9.2882,63
AM Rahane,MI,9.2561,64
RD Rickelton,LSG,9.0903,65
GD Phillips,GT,8.9482,66
Nithish Kumar Reddy,SRH,8.8133,67
Bilal Zalmai,MI,8.7247,68
BJ McMullen,RR,8.6861,69
Atharva Taide,MI,8.6501,70
Sikandar Raza,MI,8.0585,71
PP Shaw,RCB,8.0148,72
MA Agarwal,RR,7.86,73
HH Pandya,MI,7.7047,74
Azmatullah Omarzai,SRH,7.6674,75
Urvil Patel,DC,7.5851,76
Ramandeep Singh,LSG,7.1001,77
N Wadhera,KKR,7.0679,78
BA Stokes,LSG,7.0677,79
AK Markram,DC,6.8272,80
KD Karthik,RCB,6.8094,81
MR Marsh,SRH,6.7119,82
AD Russell,DC,6.5564,83
RM Patidar,KKR,6.52,84
RA Jadeja,RCB,6.3837,85
Akash Vasisht,DC,6.1237,86
Abdul Samad,LSG,6.0221,87
AR Patel,CSK,5.4642,88
LS Livingstone,RCB,5.3969,89
Ashutosh Sharma,RCB,4.849,90
JG Bethell,SRH,4.2663,91
Washington Sundar,PBKS,4.2649,92
RA Tripathi,KKR,3.9911,93
RR Pant,GT,3.2964,94
MS Dhoni,KKR,3.258,95
D Padikkal,KKR,2.8457,96
PJ Cummins,RR,2.5321,97
KH Pandya,SRH,2.3651,98
Suryansh Shedge,CSK,1.7417,99
Rashid Khan,GT,1.1967,100
HV Patel,RR,1.1547,101
LG Pretorius,RR,0.5056,102
Harpreet Brar,PBKS,0.1597,103
