bowling_team,phase,wkts,eco,SR
CSK,Death,44,12.79,10.18
CSK,Middle,45,8.94,21.6
CSK,PP,21,9.85,30.86
DC,Death,42,12.09,12.81
DC,Middle,46,8.71,22.3
DC,PP,21,10.57,32.57
GT,Death,42,12.52,12.81
GT,Middle,34,9.88,30.18
GT,PP,21,9.65,32.57
KKR,Death,39,11.61,10.31
KKR,Middle,52,8.67,18.42
KKR,PP,24,9.43,27.0
LSG,Middle,43,8.79,22.28
LSG,PP,27,10.15,24.0
LSG,Death,45,11.28,10.56
MI,Death,31,12.59,15.52
MI,Middle,39,8.75,24.59
MI,PP,23,9.74,28.17
PBKS,Death,42,11.5,11.52
PBKS,Middle,40,8.48,24.62
PBKS,PP,35,8.46,19.54
RCB,Death,55,12.23,9.47
RCB,Middle,37,9.11,26.27
RCB,PP,27,9.16,24.0
RR,Death,61,12.14,8.41
RR,Middle,47,9.06,21.83
RR,PP,24,10.18,28.5
SRH,Middle,45,8.79,21.6
SRH,Death,47,10.55,10.91
SRH,PP,33,9.32,19.64
