player,team,points
Shashank Singh,PBKS,1537
GJ Maxwell,RR,1463
WG Jacks,LSG,1406
C Green,KKR,1252
SP Narine,KKR,1218
Naman Dhir,GT,1144
JP Inglis,GT,1083
RD Gaikwad,GT,1080
Karan Lal,RR,1052
JM Sharma,RCB,1030
PHKD Mendis,SRH,1006
CH Gayle,CSK,971
S Dube,RR,965
Abhishek Sharma,MI,964
P Simran Singh,SRH,959
N Sindhu,DC,947
SA Yadav,DC,907
Aniket Verma,RR,893
Shubman Gill,LSG,874
M Pathirana,RCB,870
V Suryavanshi,PBKS,870
MJ Owen,DC,857
SV Samson,GT,851
Smaran Ravichandran,PBKS,850
YS Chahal,RCB,847
Arshdeep Singh,LSG,841
KL Rahul,SRH,828
Avesh Khan,GT,800
Tanush Kotian,CSK,794
N Pooran,MI,790
B Sai Sudharsan,CSK,789
JJ Bumrah,MI,787
YBK Jaiswal,RR,783
Mohammad Nabi,LSG,778
PD Salt,RCB,764
Tilak Varma,CSK,758
Sameer Rizvi,LSG,729
MP Yadav,PBKS,701
Priyansh Arya,SRH,688
V Kohli,DC,674
BJ McMullen,RR,665
B Kumar,KKR,653
Naveen-ul-Haq,SRH,650
AB de Villiers,RR,649
SL Malinga,PBKS,638
Suryansh Shedge,CSK,638
Arshad Khan,RR,632
AK Markram,DC,620
R Parag,GT,617
Nithish Kumar Reddy,SRH,609
S Lamichhane,DC,599
RD Rickelton,LSG,586
T Stubbs,CSK,582
A Zampa,RR,579
FH Allen,PBKS,578
Ishan Kishan,MI,571
RM Patidar,KKR,568
RG Sharma,KKR,568
Ashwani Kumar,RR,563
MA Starc,KKR,562
LS Livingstone,RCB,552
AR Patel,CSK,537
Harsh Dubey,RR,525
Mohammad Ghazanfar,SRH,511
TM Head,MI,511
Noor Ahmad,GT,501
Chirag Jani,PBKS,501
RA Jadeja,RCB,496
Rahul Singh,RCB,493
Tarang Gohel,DC,492
R Shepherd,GT,491
HH Pandya,MI,483
N Rana,PBKS,482
T Natarajan,CSK,477
KA Maharaj,SRH,473
Akash Vasisht,DC,472
JC Buttler,LSG,471
Washington Sundar,PBKS,471
Khrievitso Kense,RCB,467
Shakib Al Hasan,PBKS,464
SS Iyer,LSG,461
Abishek Porel,DC,461
Kuldeep Yadav,SRH,459
JC Archer,LSG,455
TA Boult,MI,453
JJ Smit,PBKS,452
Dhruv Jurel,RCB,449
Bilal Zalmai,MI,441
NT Ellis,SRH,439
Fazalhaq Farooqi,CSK,438
Ravi Bishnoi,LSG,433
V Puthur,DC,419
VR Iyer,SRH,412
Yash Thakur,CSK,412
Abdul Samad,LSG,401
Suyash Sharma,KKR,399
AM Rahane,MI,394
DS Airee,RCB,394
Z Khan,KKR,390
AD Russell,DC,389
KA Pollard,CSK,388
R Sai Kishore,MI,382
N Wadhera,KKR,362
Rasikh Salam,GT,357
MR Marsh,SRH,350
CH Morris,DC,349
DS Rathi,KKR,348
H Klaasen,CSK,345
LI Meriwala,DC,337
D Wiese,GT,332
PJ Cummins,RR,325
Q de Kock,KKR,323
SZ Mulani,LSG,317
DAJ Bracewell,RCB,314
Ishaan Gadekar,RCB,313
CV Varun,PBKS,298
C Sakariya,SRH,296
Sikandar Raza,MI,291
Swapnil Singh,GT,286
Imran Tahir,CSK,280
RK Singh,MI,278
Shahbaz Ahmed,GT,274
GD Phillips,GT,268
M Siddharth,CSK,264
DJ Bravo,RCB,249
A Sheth,DC,249
Utkarsh Singh,PBKS,247
Mohammed Shami,GT,242
M Prasidh Krishna,DC,234
Baltej Singh,PBKS,224
JR Hazlewood,RR,220
R Tewatia,KKR,211
Rashid Khan,GT,206
Atharva Taide,MI,205
BM Duckett,PBKS,204
V Nigam,MI,201
MA Wood,PBKS,200
WL Madsen,MI,193
Mayank Dagar,RR,193
RA Bawa,SRH,193
Ramandeep Singh,LSG,192
Jagjit Singh,SRH,191
J Fraser-McGurk,KKR,191
Abid Mushtaq,DC,186
Urvil Patel,DC,184
Anmolpreet Singh,CSK,184
RR Rossouw,SRH,180
M Markande,SRH,169
PP Shaw,RCB,167
DP Conway,PBKS,153
HV Patel,RR,149
RA Tripathi,KKR,147
MA Agarwal,RR,146
HC Brook,MI,145
MW Short,DC,145
KH Pandya,SRH,143
