bowler,bowling_team,num_innings,dots,balls,dot_%
Shashank Singh,PBKS,20,155,387,40.05
Arshdeep Singh,LSG,18,127,419,30.31
Avesh Khan,GT,17,121,391,30.95
Ravi Bishnoi,LSG,12,103,288,35.76
TA Boult,MI,11,99,264,37.5
B Kumar,KKR,15,94,313,30.03
Khrievitso Kense,RCB,11,93,264,35.23
SP Narine,KKR,14,88,304,28.95
Tanush Kotian,CSK,16,85,348,24.43
JJ Bumrah,MI,13,82,311,26.37
Karan Lal,RR,14,80,324,24.69
T Natarajan,CSK,13,78,311,25.08
Shakib Al Hasan,PBKS,10,77,222,34.68
Naveen-ul-Haq,SRH,10,77,240,32.08
Arshad Khan,RR,17,76,288,26.39
C Green,KKR,15,76,318,23.9
MA Starc,KKR,9,73,199,36.68
R Shepherd,GT,11,73,263,27.76
YS Chahal,RCB,12,73,269,27.14
MP Yadav,PBKS,12,71,242,29.34
M Pathirana,RCB,11,71,258,27.52
Fazalhaq Farooqi,CSK,9,70,198,35.35
Yash Thakur,CSK,12,70,243,28.81
AR Patel,CSK,12,69,287,24.04
GJ Maxwell,RR,17,69,300,23.0
Mohammad Nabi,LSG,11,68,234,29.06
Suryansh Shedge,CSK,11,68,245,27.76
Suyash Sharma,KKR,9,66,210,31.43
HH Pandya,MI,12,66,252,26.19
WG Jacks,LSG,17,66,324,20.37
KA Maharaj,SRH,8,65,172,37.79
SL Malinga,PBKS,12,65,251,25.9
Noor Ahmad,GT,11,64,264,24.24
PHKD Mendis,SRH,14,63,231,27.27
V Puthur,DC,9,62,180,34.44
A Zampa,RR,11,62,246,25.2
Kuldeep Yadav,SRH,12,62,276,22.46
Washington Sundar,PBKS,13,61,234,26.07
Mohammad Ghazanfar,SRH,11,61,264,23.11
DS Rathi,KKR,10,59,216,27.31
AK Markram,DC,9,58,216,26.85
M Siddharth,CSK,9,58,216,26.85
PJ Cummins,RR,8,57,192,29.69
NT Ellis,SRH,8,56,182,30.77
LS Livingstone,RCB,11,56,186,30.11
CV Varun,PBKS,11,56,240,23.33
Z Khan,KKR,7,55,152,36.18
Harsh Dubey,RR,9,55,186,29.57
Rasikh Salam,GT,11,55,251,21.91
S Lamichhane,DC,10,54,210,25.71
D Wiese,GT,9,53,196,27.04
Abid Mushtaq,DC,6,51,144,35.42
Akash Vasisht,DC,9,51,204,25.0
CH Morris,DC,9,51,210,24.29
Rashid Khan,GT,9,51,216,23.61
Mohammed Shami,GT,7,50,168,29.76
R Sai Kishore,MI,8,50,192,26.04
M Prasidh Krishna,DC,10,50,234,21.37
JR Hazlewood,RR,5,49,120,40.83
JJ Smit,PBKS,8,47,174,27.01
A Sheth,DC,7,46,168,27.38
Bilal Zalmai,MI,9,46,215,21.4
HV Patel,RR,7,43,168,25.6
Ashwani Kumar,RR,10,43,228,18.86
JC Archer,LSG,6,42,138,30.43
SZ Mulani,LSG,10,41,186,22.04
Jagjit Singh,SRH,5,40,104,38.46
DS Airee,RCB,8,40,162,24.69
Baltej Singh,PBKS,5,39,96,40.62
LI Meriwala,DC,6,39,144,27.08
RA Jadeja,RCB,16,38,222,17.12
DAJ Bracewell,RCB,6,37,144,25.69
S Dube,RR,9,36,126,28.57
Imran Tahir,CSK,4,35,96,36.46
C Sakariya,SRH,6,35,144,24.31
Swapnil Singh,GT,6,34,144,23.61
Shahbaz Ahmed,GT,7,34,150,22.67
Yuvraj Singh,RCB,5,33,114,28.95
Yudhvir Singh,RCB,5,32,96,33.33
KR Sen,LSG,5,31,102,30.39
MJ Owen,DC,14,31,151,20.53
M Markande,SRH,4,30,90,33.33
Nithish Kumar Reddy,SRH,10,30,162,18.52
Abdul Samad,LSG,12,28,102,27.45
MA Wood,PBKS,6,28,126,22.22
Ashutosh Sharma,RCB,5,27,84,32.14
Sami Sohail,MI,5,26,117,22.22
SA Abbott,DC,5,26,120,21.67
Ashutosh Aman,RCB,3,25,72,34.72
Chirag Jani,PBKS,6,25,73,34.25
Abhishek Sharma,MI,6,24,90,26.67
Ramandeep Singh,LSG,6,24,102,23.53
Mayank Dagar,RR,5,24,107,22.43
Sikandar Raza,MI,7,24,132,18.18
Utkarsh Singh,PBKS,6,23,84,27.38
KH Pandya,SRH,4,23,90,25.56
R Tewatia,KKR,6,23,96,23.96
AD Russell,DC,10,22,117,18.8
Shivank Vashisth,RCB,3,21,66,31.82
SS Agarwal,DC,2,20,42,47.62
SS Ghosh,MI,3,20,56,35.71
DJ Bravo,RCB,5,20,114,17.54
Atharva Ankolekar,MI,3,19,69,27.54
GD Phillips,GT,6,19,84,22.62
D Potgieter,DC,3,18,72,25.0
Harshit Rana,KKR,2,17,42,40.48
RA Bawa,SRH,6,17,78,21.79
V Nigam,MI,6,17,90,18.89
MR Marsh,SRH,4,16,54,29.63
HR Shokeen,RR,4,16,72,22.22
KC Cariappa,MI,2,15,48,31.25
Akash Madhwal,CSK,2,14,40,35.0
R Parag,GT,8,14,78,17.95
Mukesh Kumar,MI,4,14,90,15.56
MJ Santner,KKR,3,13,50,26.0
Bal Krishna,PBKS,3,13,66,19.7
VG Arora,KKR,3,13,66,19.7
RS Hangargekar,MI,2,12,48,25.0
BA Stokes,LSG,2,11,42,26.19
PWH de Silva,PBKS,3,11,48,22.92
BJ McMullen,RR,6,10,60,16.67
V Kaverappa,LSG,1,9,24,37.5
T Stubbs,CSK,2,9,36,25.0
KK Ahmed,MI,2,9,48,18.75
Sandeep Sharma,RR,2,8,46,17.39
Azmatullah Omarzai,SRH,4,7,36,19.44
K Kartikeya,GT,1,6,18,33.33
Pankaj Jaswal,RCB,1,6,18,33.33
AJ Tye,LSG,1,6,24,25.0
TU Deshpande,DC,1,6,24,25.0
D Visser,RCB,3,6,36,16.67
Mohammed Siraj,LSG,2,6,48,12.5
Yuvraj Chaudhary,RCB,2,5,18,27.78
I Sharma,MI,1,5,24,20.83
Mustafizur Rahman,MI,1,5,24,20.83
MP Stoinis,GT,2,5,36,13.89
KA Pollard,CSK,1,4,24,16.67
AU Rashid,LSG,1,4,24,16.67
LA Dawson,GT,2,4,48,8.33
CH Gayle,CSK,1,3,12,25.0
AA Kulkarni,GT,1,3,12,25.0
Tilak Varma,CSK,1,3,12,25.0
Simarjeet Singh,KKR,1,3,24,12.5
DJ Hooda,LSG,1,2,6,33.33
Atharva Taide,MI,1,2,6,33.33
WL Madsen,MI,1,2,6,33.33
N Rana,PBKS,1,2,6,33.33
JG Bethell,SRH,1,2,10,20.0
MW Short,DC,2,2,12,16.67
RG Sharma,KKR,2,2,18,11.11
Harpreet Brar,PBKS,2,2,24,8.33
AM Rahane,MI,1,1,6,16.67
A Kamboj,GT,1,1,12,8.33
Jay Gohil,LSG,2,1,18,5.56
