match_id,innings,runs,balls,SR,final_score,total_balls,wkts,post_1st_strike_score,exit_pt_score,win,PP_perf,Middle_perf,Death_perf,batter,team
S04M007,2,47,30,156.67,187,120,5,2-0(0.1),87-1(9.5),1,28 off 19,19 off 11,,PD Salt,RCB
S04M011,2,65,30,216.67,181,118,7,2-0(0.2),84-1(8.4),1,52 off 22,13 off 8,,PD Salt,RCB
S04M017,1,16,7,228.57,209,120,5,6-0(1.0),24-1(2.3),1,16 off 7,,,PD Salt,RCB
S04M001,2,95,60,158.33,212,120,5,4-0(0.1),189-3(18.1),0,36 off 23,39 off 26,20 off 11,Ishan Kishan,MI
S04M013,2,29,21,138.1,153,109,10,0-0(0.1),65-1(6.0),0,29 off 21,,,Ishan Kishan,MI
S04M005,2,14,10,140.0,217,120,8,1-0(0.1),22-1(2.2),0,14 off 10,,,GJ Maxwell,RR
S04M010,1,1,2,50.0,216,120,3,1-0(0.1),9-1(1.1),1,1 off 2,,,GJ Maxwell,RR
S04M015,1,108,57,189.47,198,120,3,4-0(0.1),193-3(19.3),1,21 off 12,48 off 30,39 off 15,GJ Maxwell,RR
S04M004,1,90,53,169.81,186,120,5,6-1(1.3),177-3(17.4),0,26 off 18,41 off 25,23 off 10,RM Patidar,KKR
S04M009,1,21,12,175.0,188,120,7,74-1(8.4),103-3(12.3),0,,21 off 12,,RM Patidar,KKR
S04M013,1,8,10,80.0,169,120,5,68-1(9.2),95-2(12.3),1,,8 off 10,,RM Patidar,KKR
S04M003,1,37,30,123.33,158,120,7,44-2(6.2),120-5(15.3),1,,37 off 29,0 off 1,CH Gayle,CSK
S04M010,2,1,4,25.0,161,104,10,127-4(12.2),130-5(13.0),0,,1 off 4,,CH Gayle,CSK
S04M015,2,80,53,150.94,159,112,10,0-0(0.1),156-9(17.4),0,13 off 19,44 off 26,23 off 8,CH Gayle,CSK
S04M001,1,69,26,265.38,226,120,3,122-2(12.3),,1,,26 off 11,43 off 15,Naman Dhir,GT
S04M009,2,5,3,166.67,190,105,9,68-2(6.5),80-3(7.4),1,,5 off 3,,Naman Dhir,GT
S04M014,1,43,26,165.38,213,120,5,89-2(9.5),,1,,16 off 12,27 off 14,Naman Dhir,GT
S04M001,1,23,9,255.56,226,120,3,190-3(17.2),,1,,,23 off 9,R Parag,GT
S04M009,2,70,32,218.75,190,105,9,80-3(7.5),177-7(16.3),1,,45 off 25,25 off 7,R Parag,GT
S04M014,1,21,8,262.5,213,120,5,128-3(13.2),150-4(14.5),1,,21 off 8,,R Parag,GT
S04M003,2,16,9,177.78,106,93,10,1-0(0.1),71-2(6.3),0,16 off 8,0 off 1,,Priyansh Arya,SRH
S04M006,2,75,42,178.57,199,116,5,2-0(0.2),139-1(14.0),1,33 off 22,42 off 20,,Priyansh Arya,SRH
S04M011,1,22,15,146.67,178,120,7,0-0(0.1),31-1(3.0),0,22 off 15,,,Priyansh Arya,SRH
S04M016,1,0,1,0.0,152,120,9,1-1(0.3),1-1(0.3),0,0 off 1,,,Priyansh Arya,SRH
S04M005,1,7,8,87.5,225,120,8,136-2(12.4),171-4(16.0),1,,7 off 7,0 off 1,SS Iyer,LSG
S04M007,1,20,17,117.65,183,120,9,47-2(6.0),85-4(10.4),0,1 off 1,19 off 16,,SS Iyer,LSG
S04M016,2,82,52,157.69,157,116,6,14-2(1.2),142-6(17.5),1,23 off 17,36 off 24,23 off 11,SS Iyer,LSG
S04M004,2,14,19,73.68,191,108,5,38-1(3.0),74-2(7.4),1,8 off 13,6 off 6,,BM Duckett,PBKS
S04M008,2,55,41,134.15,204,117,4,37-1(2.5),155-3(15.4),1,14 off 7,40 off 32,1 off 2,BM Duckett,PBKS
S04M014,2,40,24,166.67,190,120,6,6-1(0.5),58-3(7.3),0,25 off 17,15 off 7,,BM Duckett,PBKS
S04M001,1,75,47,159.57,226,120,3,10-0(1.1),184-3(17.1),1,25 off 16,38 off 25,12 off 6,JP Inglis,GT
S04M009,2,31,16,193.75,190,105,9,2-0(0.3),67-2(6.4),1,27 off 14,4 off 2,,JP Inglis,GT
S04M014,1,0,2,0.0,213,120,5,14-0(1.5),14-1(2.0),1,0 off 2,,,JP Inglis,GT
S04M007,2,30,10,300.0,187,120,5,144-4(17.1),,1,,,30 off 10,Dhruv Jurel,RCB
S04M011,2,47,45,104.44,181,118,7,1-0(0.0),143-4(16.1),1,12 off 15,32 off 26,3 off 4,Dhruv Jurel,RCB
S04M017,1,25,15,166.67,209,120,5,115-4(11.5),180-5(17.1),1,,7 off 7,18 off 8,Dhruv Jurel,RCB
S04M005,1,30,11,272.73,225,120,8,184-5(16.4),221-8(19.1),1,,,30 off 11,Sameer Rizvi,LSG
S04M007,1,67,28,239.29,183,120,9,86-4(10.5),183-9(20.0),0,,16 off 11,51 off 17,Sameer Rizvi,LSG
S04M012,2,4,5,80.0,195,119,6,181-4(17.5),,1,,,4 off 5,Sameer Rizvi,LSG
S04M016,2,0,1,0.0,157,116,6,114-5(14.2),114-5(14.2),1,,0 off 1,,Sameer Rizvi,LSG
S04M007,2,57,44,129.55,187,120,5,1-0(0.1),115-3(13.4),1,18 off 17,39 off 27,,Rahul Singh,RCB
S04M017,1,38,18,211.11,209,120,5,28-1(2.4),66-2(6.3),1,32 off 16,6 off 2,,Rahul Singh,RCB
S04M006,2,67,47,142.55,199,116,5,1-0(0.1),147-2(15.1),1,23 off 14,44 off 32,0 off 1,P Simran Singh,SRH
S04M011,1,21,8,262.5,178,120,7,3-0(0.3),45-2(4.0),0,21 off 8,,,P Simran Singh,SRH
S04M016,1,4,5,80.0,152,120,9,0-0(0.1),21-2(2.0),0,4 off 5,,,P Simran Singh,SRH
S04M002,1,50,27,185.19,198,120,6,25-2(3.2),88-3(9.4),1,22 off 12,28 off 15,,SA Yadav,DC
S04M006,1,0,1,0.0,198,120,6,37-3(4.2),37-3(4.2),0,0 off 1,,,SA Yadav,DC
S04M012,1,39,31,125.81,189,120,7,42-1(4.0),139-5(15.1),0,3 off 4,36 off 26,0 off 1,SA Yadav,DC
S04M017,2,2,4,50.0,206,120,4,75-2(8.4),77-3(9.2),0,,2 off 4,,SA Yadav,DC
S04M002,1,12,7,171.43,198,120,6,8-0(1.4),23-1(3.0),1,12 off 7,,,N Sindhu,DC
S04M006,1,19,9,211.11,198,120,6,9-0(0.3),35-1(3.3),0,19 off 9,,,N Sindhu,DC
S04M012,1,19,11,172.73,189,120,7,14-0(0.5),55-2(5.4),0,19 off 11,,,N Sindhu,DC
S04M017,2,36,27,133.33,206,120,4,1-0(0.1),74-2(8.3),0,24 off 18,12 off 9,,N Sindhu,DC
S04M003,1,22,11,200.0,158,120,7,2-0(0.2),40-1(5.2),1,22 off 11,,,B Sai Sudharsan,CSK
S04M010,2,62,41,151.22,161,104,10,5-0(0.5),130-6(13.3),0,29 off 17,33 off 24,,B Sai Sudharsan,CSK
S04M015,2,2,3,66.67,159,112,10,23-1(4.3),25-2(4.5),0,2 off 3,,,B Sai Sudharsan,CSK
S04M003,2,21,14,150.0,106,93,10,50-1(4.5),77-3(7.5),0,10 off 7,11 off 7,,PHKD Mendis,SRH
S04M006,2,35,11,318.18,199,116,5,148-2(15.2),189-3(17.3),1,,,35 off 11,PHKD Mendis,SRH
S04M011,1,19,11,172.73,178,120,7,87-3(9.5),114-4(12.2),0,,19 off 11,,PHKD Mendis,SRH
S04M016,1,10,18,55.56,152,120,9,22-2(2.4),55-3(7.1),0,4 off 12,6 off 6,,PHKD Mendis,SRH
S04M004,1,3,6,50.0,186,120,5,177-4(18.0),183-5(19.2),0,,,3 off 6,SP Narine,KKR
S04M009,1,46,28,164.29,188,120,7,1-0(0.1),73-1(8.3),0,32 off 20,14 off 8,,SP Narine,KKR
S04M013,1,35,30,116.67,169,120,5,0-0(0.1),66-1(9.0),1,26 off 20,9 off 10,,SP Narine,KKR
S04M008,1,51,35,145.71,198,120,6,10-0(0.5),140-3(15.2),0,9 off 9,38 off 24,4 off 2,TM Head,MI
S04M013,2,30,19,157.89,153,109,10,85-3(8.2),136-7(15.2),0,,30 off 17,0 off 2,TM Head,MI
S04M004,1,25,16,156.25,186,120,5,121-2(13.4),,0,,7 off 5,18 off 11,N Wadhera,KKR
S04M009,1,37,24,154.17,188,120,7,75-2(9.0),173-5(17.5),0,,19 off 16,18 off 8,N Wadhera,KKR
S04M013,1,15,15,100.0,169,120,5,96-2(12.4),121-5(16.4),1,,8 off 8,7 off 7,N Wadhera,KKR
S04M005,2,30,15,200.0,217,120,8,2-0(0.2),75-2(7.0),0,27 off 12,3 off 3,,BJ McMullen,RR
S04M010,1,42,33,127.27,216,120,3,1-0(0.2),88-3(12.4),1,15 off 13,27 off 20,,BJ McMullen,RR
S04M001,2,6,2,300.0,212,120,5,195-3(18.2),195-4(18.3),0,,,6 off 2,N Pooran,MI
S04M008,1,46,31,148.39,198,120,6,75-2(8.3),194-6(19.5),0,,27 off 19,19 off 12,N Pooran,MI
S04M013,2,19,16,118.75,153,109,10,75-2(6.5),123-4(12.1),0,,19 off 16,,N Pooran,MI
S04M005,2,3,3,100.0,217,120,8,108-3(9.5),116-4(10.2),0,,3 off 3,,YBK Jaiswal,RR
S04M010,1,62,23,269.57,216,120,3,89-3(12.5),,1,,20 off 9,42 off 14,YBK Jaiswal,RR
S04M015,1,4,2,200.0,198,120,3,194-3(19.4),,1,,,4 off 2,YBK Jaiswal,RR
S04M004,2,0,1,0.0,191,108,5,185-4(17.3),185-4(17.3),1,,,0 off 1,N Rana,PBKS
S04M008,2,19,11,172.73,204,117,4,156-3(15.5),,1,,,19 off 11,N Rana,PBKS
S04M014,2,46,30,153.33,190,120,6,62-3(7.4),153-5(17.1),0,,22 off 20,24 off 10,N Rana,PBKS
S04M003,1,46,40,115.0,158,120,7,1-0(0.1),108-3(12.5),1,17 off 23,29 off 17,,SPD Smith,CSK
S04M010,2,18,13,138.46,161,104,10,0-0(0.1),41-1(4.3),0,18 off 13,,,SPD Smith,CSK
S04M001,1,5,5,100.0,226,120,3,103-1(10.5),118-2(12.2),1,,5 off 5,,SV Samson,GT
S04M009,2,30,17,176.47,190,105,9,22-1(3.2),95-4(9.2),1,13 off 9,17 off 8,,SV Samson,GT
S04M014,1,27,20,135.0,213,120,5,17-1(2.4),88-2(9.4),1,17 off 10,10 off 10,,SV Samson,GT
S04M002,1,15,15,100.0,198,120,6,32-2(3.5),92-4(10.4),1,3 off 5,12 off 10,,MW Short,DC
S04M006,1,35,24,145.83,198,120,6,36-1(3.4),115-4(12.1),0,2 off 4,33 off 20,,MW Short,DC
S04M012,1,12,12,100.0,189,120,7,55-2(5.5),91-3(10.0),0,0 off 2,12 off 10,,MW Short,DC
S04M003,2,11,9,122.22,106,93,10,71-2(6.4),100-6(10.5),0,,11 off 9,,VR Iyer,SRH
S04M006,2,5,4,125.0,199,116,5,190-3(17.4),,1,,,5 off 4,VR Iyer,SRH
S04M011,1,8,9,88.89,178,120,7,114-4(12.3),133-5(15.1),0,,8 off 8,0 off 1,VR Iyer,SRH
S04M016,1,28,23,121.74,152,120,9,56-3(7.2),121-6(15.4),0,,28 off 22,0 off 1,VR Iyer,SRH
S04M002,1,11,12,91.67,198,120,6,0-0(0.1),23-2(3.1),1,11 off 12,,,V Kohli,DC
S04M006,1,14,14,100.0,198,120,6,4-0(0.1),36-2(4.0),0,14 off 14,,,V Kohli,DC
S04M012,1,2,4,50.0,189,120,7,140-5(15.2),146-6(16.1),0,,,2 off 4,V Kohli,DC
S04M017,2,24,16,150.0,206,120,4,2-0(0.2),32-1(4.0),0,24 off 16,,,V Kohli,DC
