bowler,team,score,rank
A Zampa,RR,28.6631,1
JJ Bumrah,MI,28.3681,2
M Pathirana,RCB,28.3371,3
Karan Lal,RR,28.0455,4
Kuldeep Yadav,SRH,25.6302,5
Khrievitso Kense,RCB,24.7147,6
Fazalhaq Farooqi,CSK,22.752,7
JC Archer,LSG,22.5892,8
Mohammad Nabi,LSG,22.1204,9
YS Chahal,RCB,21.3937,10
B Kumar,KKR,20.7765,11
TA Boult,MI,20.3773,12
Washington Sundar,PBKS,20.2292,13
M Prasidh Krishna,DC,20.0368,14
M Siddharth,CSK,19.852,15
MP Yadav,PBKS,19.6876,16
Akash Vasisht,DC,19.6092,17
JR Hazlewood,RR,19.1959,18
Arshdeep Singh,LSG,18.9218,19
MA Starc,KKR,18.7954,20
AR Patel,CSK,18.6763,21
Shashank Singh,PBKS,18.4141,22
T Natarajan,CSK,18.3408,23
Ravi Bishnoi,LSG,18.3373,24
Suryansh Shedge,CSK,18.3311,25
DS Rathi,KKR,18.2794,26
Rashid Khan,GT,17.9188,27
A Sheth,DC,17.4575,28
SP Narine,KKR,17.2552,29
RS Hangargekar,MI,16.7415,30
Tanush Kotian,CSK,16.6443,31
LI Meriwala,DC,16.5677,32
C Sakariya,SRH,16.535,33
GJ Maxwell,RR,16.1902,34
Shakib Al Hasan,PBKS,16.1102,35
PJ Cummins,RR,16.0819,36
AK Markram,DC,15.479,37
Rasikh Salam,GT,15.4162,38
HH Pandya,MI,15.2226,39
R Sai Kishore,MI,14.8276,40
KH Pandya,SRH,14.4472,41
Z Khan,KKR,14.1931,42
WG Jacks,LSG,14.0105,43
Noor Ahmad,GT,13.5607,44
Naveen-ul-Haq,SRH,13.1159,45
LS Livingstone,RCB,12.9301,46
CV Varun,PBKS,12.9113,47
Mayank Dagar,RR,12.5605,48
M Markande,SRH,12.5002,49
KR Sen,LSG,12.455,50
Yudhvir Singh,RCB,12.4285,51
Avesh Khan,GT,12.3958,52
Harpreet Brar,PBKS,12.0415,53
Shahbaz Ahmed,GT,11.8036,54
Harshit Rana,KKR,11.7485,55
RA Jadeja,RCB,11.6871,56
PHKD Mendis,SRH,11.5657,57
BA Stokes,LSG,11.5212,58
C Green,KKR,11.4114,59
KA Maharaj,SRH,11.2928,60
Baltej Singh,PBKS,11.2737,61
Mohammed Shami,GT,11.2254,62
V Puthur,DC,11.0998,63
NT Ellis,SRH,10.9465,64
Mustafizur Rahman,MI,10.8953,65
Mohammad Ghazanfar,SRH,10.7924,66
PWH de Silva,PBKS,10.5991,67
Sandeep Sharma,RR,10.3766,68
HV Patel,RR,10.3533,69
K Kartikeya,GT,10.0979,70
SZ Mulani,LSG,9.7501,71
Yash Thakur,CSK,9.6885,72
TU Deshpande,DC,9.5774,73
Suyash Sharma,KKR,9.3826,74
R Shepherd,GT,9.3427,75
Jagjit Singh,SRH,9.1534,76
R Tewatia,KKR,9.0813,77
Swapnil Singh,GT,9.0498,78
Atharva Ankolekar,MI,8.7393,79
Sikandar Raza,MI,8.7307,80
Ashutosh Sharma,RCB,8.6714,81
Abdul Samad,LSG,8.2574,82
SS Ghosh,MI,8.0613,83
JJ Smit,PBKS,7.6432,84
D Wiese,GT,7.6365,85
DAJ Bracewell,RCB,7.5819,86
Mohammed Siraj,LSG,7.5382,87
Imran Tahir,CSK,7.2394,88
Ramandeep Singh,LSG,7.0988,89
Abhishek Sharma,MI,6.8133,90
BJ McMullen,RR,6.4867,91
Bilal Zalmai,MI,6.2879,92
HR Shokeen,RR,6.1648,93
SL Malinga,PBKS,6.1481,94
VG Arora,KKR,5.6764,95
CH Morris,DC,5.3389,96
KK Ahmed,MI,5.1371,97
DJ Bravo,RCB,4.8839,98
DS Airee,RCB,4.6279,99
Arshad Khan,RR,4.3753,100
MA Wood,PBKS,4.3151,101
MJ Santner,KKR,3.8344,102
Nithish Kumar Reddy,SRH,3.7199,103
N Rana,PBKS,3.6566,104
JD Unadkat,GT,3.3939,105
R Parag,GT,3.2417,106
SA Abbott,DC,2.7037,107
AJ Tye,LSG,2.5632,108
I Sharma,MI,1.6721,109
MJ Owen,DC,1.3985,110
A Kamboj,GT,1.2253,111
S Dube,RR,0.9372,112
Harsh Dubey,RR,0.7636,113
AD Russell,DC,0.3659,114
MR Marsh,SRH,0.31,115
Azmatullah Omarzai,SRH,-0.4058,116
Mukesh Kumar,MI,-0.4628,117
Yuvraj Singh,RCB,-0.8627,118
GD Phillips,GT,-1.1882,119
S Lamichhane,DC,-1.4468,120
V Nigam,MI,-2.0728,121
MP Stoinis,GT,-2.8148,122
JG Bethell,SRH,-3.5697,123
Sami Sohail,MI,-4.7701,124
Abid Mushtaq,DC,-4.7716,125
Ashwani Kumar,RR,-5.571,126
