player,team,points_bat,points_ball,total_points,num_POTM_awards
WG Jacks,LSG,309.3217373271889,252.2855207704014,561.6072580975904,4
Shashank Singh,PBKS,248.3102709359606,261.35230741821,509.6625783541706,2
GJ Maxwell,RR,322.2566137339056,159.9345960179389,482.1912097518444,1
C Green,KKR,206.5390875912409,240.1428302212835,446.6819178125244,2
MJ Owen,DC,284.8389388753056,155.2102643935995,440.0492032689052,2
PHKD Mendis,SRH,264.7963678756477,173.7520400801603,438.548407955808,3
Abhishek Sharma,MI,325.7917401812689,87.17497019143605,412.9667103727049,0
Naman Dhir,GT,371.6046823266219,0.0,371.6046823266219,0
N Sindhu,DC,366.794135501355,0.0,366.794135501355,1
JP Inglis,GT,357.6560305676855,0.0,357.6560305676855,0
Nithish Kumar Reddy,SRH,212.209220338983,136.7057917716205,348.9150121106035,1
CH Gayle,CSK,341.0292707581228,0.0,341.0292707581228,2
RD Gaikwad,GT,338.9877237851663,0.0,338.9877237851663,2
M Pathirana,RCB,0.0,337.4871091721598,337.4871091721598,2
Mohammad Nabi,LSG,81.25130769230769,253.033061747193,334.2843694395007,1
JM Sharma,RCB,332.4616121372032,0.0,332.4616121372032,1
Shubman Gill,LSG,330.9928831168831,0.0,330.9928831168831,1
BJ McMullen,RR,249.5583553299492,80.12801429783109,329.6863696277803,1
AK Markram,DC,117.9331111111111,211.2524992955556,329.1856104066667,2
V Suryavanshi,PBKS,320.9949190371992,0.0,320.9949190371992,1
Arshad Khan,RR,144.0309019607843,166.1320537137633,310.1629556745476,0
SV Samson,GT,308.2074229249012,0.0,308.2074229249012,1
Naveen-ul-Haq,SRH,0.0,305.7382614379085,305.7382614379085,0
PD Salt,RCB,302.1139223300971,0.0,302.1139223300971,1
P Simran Singh,SRH,301.5779751552795,0.0,301.5779751552795,1
AD Russell,DC,163.0267619047619,136.9993978494624,300.0261597542243,0
Aniket Verma,RR,298.4096463104326,0.0,298.4096463104326,1
R Parag,GT,252.1379438202247,44.61726163391934,296.7552054541441,0
N Pooran,MI,294.744,0.0,294.744,0
RD Rickelton,LSG,291.8508947368421,0.0,291.8508947368421,0
B Sai Sudharsan,CSK,290.5882294455067,0.0,290.5882294455067,2
KL Rahul,SRH,288.0854133611691,0.0,288.0854133611691,0
Washington Sundar,PBKS,120.9834782608696,163.867618087281,284.8510963481506,0
SP Narine,KKR,172.3195216400911,110.9313333333333,283.2508549734245,1
SA Yadav,DC,280.2962709359606,0.0,280.2962709359606,0
RG Sharma,KKR,265.9840598802395,0.0,265.9840598802395,1
S Lamichhane,DC,0.0,263.0655852616354,263.0655852616354,0
Abishek Porel,DC,260.9519016393443,0.0,260.9519016393443,0
MA Starc,KKR,64.0554076738609,195.3376185025411,259.393026176402,0
YBK Jaiswal,RR,259.1305454545454,0.0,259.1305454545454,0
Tanush Kotian,CSK,0.0,257.2784193363324,257.2784193363324,1
Smaran Ravichandran,PBKS,256.686652173913,0.0,256.686652173913,0
RA Jadeja,RCB,146.5846666666667,108.1812175536881,254.7658842203548,0
Sameer Rizvi,LSG,250.7235135135135,0.0,250.7235135135135,1
V Kohli,DC,247.4732307692308,0.0,247.4732307692308,2
Avesh Khan,GT,0.0,247.2600299104638,247.2600299104638,0
Utkarsh Singh,PBKS,103.9,134.1481481481482,238.0481481481482,0
T Stubbs,CSK,234.8050305676856,0.0,234.8050305676856,0
Arshdeep Singh,LSG,0.0,234.7298287332313,234.7298287332313,1
AB de Villiers,RR,233.0262158590309,0.0,233.0262158590309,1
CH Morris,DC,132.7232946859903,98.71139269922305,231.4346873852134,0
Suryansh Shedge,CSK,19.00242857142858,208.8195500773934,227.821978648822,1
Bilal Zalmai,MI,129.927,96.07493507440151,226.0019350744015,0
Abdul Samad,LSG,65.29581818181819,160.0377142857143,225.3335324675325,0
Noor Ahmad,GT,0.0,225.004870781044,225.004870781044,0
Tilak Varma,CSK,224.4117619047619,0.0,224.4117619047619,0
Shakib Al Hasan,PBKS,70.2792824010914,151.0796795208188,221.3589619219102,0
AR Patel,CSK,92.42034215167548,128.0805986394558,220.5009407911313,0
Priyansh Arya,SRH,213.507012987013,0.0,213.507012987013,0
Yash Thakur,CSK,40.65240096038415,172.6086892239776,213.2610901843617,0
Harsh Dubey,RR,0.0,212.9629376137682,212.9629376137682,0
TM Head,MI,212.9206137339056,0.0,212.9206137339056,1
Ashwani Kumar,RR,0.0,212.7205695080965,212.7205695080965,0
HH Pandya,MI,99.33975675675676,112.6073718129588,211.9471285697155,0
KA Pollard,CSK,210.37164495114,0.0,210.37164495114,0
LS Livingstone,RCB,109.8796666666667,100.3710699956895,210.2507366623562,0
Akash Vasisht,DC,112.9353441108545,94.41716134004261,207.3525054508971,0
YS Chahal,RCB,0.0,205.8641507548604,205.8641507548604,1
H Klaasen,CSK,205.7533846153846,0.0,205.7533846153846,0
Fazalhaq Farooqi,CSK,0.0,205.0203412322275,205.0203412322275,1
Karan Lal,RR,0.0,203.042,203.042,1
RM Patidar,KKR,200.4316802973977,0.0,200.4316802973977,0
Mohammad Ghazanfar,SRH,0.0,197.0000253748558,197.0000253748558,1
AM Rahane,MI,196.1846442166911,0.0,196.1846442166911,1
B Kumar,KKR,0.0,195.0153429951691,195.0153429951691,0
Ishan Kishan,MI,192.9159878296146,0.0,192.9159878296146,1
C Sakariya,SRH,0.0,192.0137876007463,192.0137876007463,0
VR Iyer,SRH,190.1276666666667,0.0,190.1276666666667,1
DS Airee,RCB,51.44627105517909,138.1386965855707,189.5849676407498,0
SL Malinga,PBKS,0.0,187.4071603105419,187.4071603105419,0
T Natarajan,CSK,0.0,184.0834209154146,184.0834209154146,0
