Player,Team,TI,B.Impact,Bo.Impact
GJ Maxwell,RR,1250.88,982.3000000000001,268.59
WG Jacks,LSG,1143.92,652.21,491.63
C Green,KKR,1070.01,547.84,522.1800000000001
Shashank Singh,PBKS,1059.66,539.0600000000001,520.62
SP Narine,KKR,1051.49,575.84,475.66
Naman Dhir,GT,1048.16,1053.54,-5.38
JP Inglis,GT,970.3399999999999,970.3399999999999,0.0
CH Gayle,CSK,964.63,914.4399999999999,50.18
JM Sharma,RCB,964.13,964.13,0.0
RD Gaikwad,GT,926.41,926.41,0.0
PHKD Mendis,SRH,901.27,455.27,446.03
N Sindhu,DC,868.7,868.7,0.0
Karan Lal,RR,867.53,28.37,839.14
P Simran Singh,SRH,860.38,860.38,0.0
Abhishek Sharma,MI,857.69,779.99,77.7
SA Yadav,DC,812.54,812.54,0.0
V Suryavanshi,PBKS,812.3100000000001,812.3100000000001,0.0
B Sai Sudharsan,CSK,790.62,790.62,0.0
KL Rahul,SRH,747.09,747.09,0.0
Sameer Rizvi,LSG,745.23,745.23,0.0
Aniket Verma,RR,744.8299999999999,744.8299999999999,0.0
Shubman Gill,LSG,737.91,737.91,0.0
Tilak Varma,CSK,733.66,737.96,-4.3
SV Samson,GT,714.79,714.79,0.0
N Pooran,MI,713.77,713.77,0.0
Smaran Ravichandran,PBKS,712.38,712.38,0.0
YBK Jaiswal,RR,704.76,704.76,0.0
PD Salt,RCB,685.42,685.42,0.0
Tanush Kotian,CSK,685.15,95.07,590.04
S Dube,RR,681.48,544.08,137.39
Mohammad Nabi,LSG,680.16,74.72,605.4300000000001
MJ Owen,DC,659.5699999999999,475.11,184.44
M Pathirana,RCB,641.25,5.76,635.49
YS Chahal,RCB,624.82,6.48,618.34
Avesh Khan,GT,612.95,15.3,597.65
V Kohli,DC,608.63,608.63,0.0
Priyansh Arya,SRH,589.11,589.11,0.0
RG Sharma,KKR,585.37,595.56,-10.19
JJ Bumrah,MI,560.59,-3.58,564.17
FH Allen,PBKS,547.63,547.63,0.0
R Shepherd,GT,546.4,60.91,485.49
MP Yadav,PBKS,545.59,-1.09,546.68
BJ McMullen,RR,533.64,502.98,30.65
AB de Villiers,RR,519.88,519.88,0.0
RD Rickelton,LSG,518.52,518.52,0.0
RM Patidar,KKR,514.35,514.35,0.0
R Parag,GT,514.1,527.25,-13.16
