striker,batting_team,num_innings,strike_rate,runs,outs
DAJ Bracewell,RCB,3,263.16,50,2
TA Boult,MI,5,247.62,52,1
D Wiese,GT,7,219.51,90,3
KA Pollard,CSK,12,203.23,252,6
RR Rossouw,SRH,6,203.17,128,3
YBK Jaiswal,RR,18,198.94,565,12
N Sindhu,DC,19,196.54,682,14
JM Sharma,RCB,18,196.5,729,10
Abhishek Sharma,MI,13,194.86,606,13
Akash Vasisht,DC,8,189.36,89,4
Gaurav Puri,CSK,4,189.29,53,4
R Parag,GT,20,188.05,425,14
Shashank Singh,PBKS,18,187.44,418,9
Sameer Rizvi,LSG,16,186.36,533,9
SA Yadav,DC,19,185.71,663,17
RR Pant,GT,4,185.29,63,2
Arshad Khan,RR,11,185.19,150,4
RG Sharma,KKR,17,184.42,426,12
RK Singh,MI,10,184.07,208,5
MA Agarwal,RR,7,182.26,113,6
N Pooran,MI,18,179.94,592,16
R Powell,KKR,3,179.41,61,3
PHKD Mendis,SRH,16,178.46,348,9
Aniket Verma,RR,18,178.22,622,14
Naman Dhir,GT,20,178.05,860,15
RD Gaikwad,GT,20,177.51,797,17
Bilal Zalmai,MI,7,177.32,172,4
Priyansh Arya,SRH,17,176.29,513,17
GD Phillips,GT,12,176.15,192,7
Chirag Jani,PBKS,7,175.61,216,6
Tanush Kotian,CSK,10,175.0,63,8
RD Rickelton,LSG,17,174.81,451,16
Anmolpreet Singh,CSK,7,174.32,129,4
AB de Villiers,RR,17,173.53,472,13
MJ Owen,DC,17,173.31,409,13
GJ Maxwell,RR,20,173.15,819,18
Tarang Gohel,DC,8,173.08,360,8
V Nigam,MI,3,172.41,50,2
FH Allen,PBKS,16,172.31,448,14
JP Inglis,GT,19,171.94,815,17
J Fraser-McGurk,KKR,6,170.89,135,6
MR Marsh,SRH,4,170.48,179,3
AD Russell,DC,9,168.97,147,7
T Stubbs,CSK,15,168.78,400,8
JC Buttler,LSG,16,168.42,352,15
C Green,KKR,18,165.89,428,14
CH Morris,DC,6,165.22,114,4
V Suryavanshi,PBKS,19,164.48,653,19
PD Salt,RCB,18,164.47,574,18
P Simran Singh,SRH,16,164.3,741,15
Nithish Kumar Reddy,SRH,14,164.29,299,10
N Rana,PBKS,14,163.64,306,11
WG Jacks,LSG,16,162.75,581,15
Smaran Ravichandran,PBKS,19,162.14,621,17
Rahul Singh,RCB,12,162.13,381,11
H Klaasen,CSK,9,161.59,265,7
RA Jadeja,RCB,15,161.54,210,7
V Kohli,DC,19,161.4,531,17
S Dube,RR,17,160.78,492,13
SV Samson,GT,19,160.29,654,18
Abishek Porel,DC,12,160.27,351,9
BJ McMullen,RR,15,159.44,456,15
Tilak Varma,CSK,18,158.7,584,17
HH Pandya,MI,13,158.62,138,8
KL Rahul,SRH,18,158.25,633,16
CH Gayle,CSK,18,156.79,704,18
Atharva Taide,MI,4,156.57,155,3
Shubman Gill,LSG,18,155.91,686,17
Urvil Patel,DC,6,155.56,140,4
B Sai Sudharsan,CSK,18,155.09,625,18
HC Brook,MI,3,154.93,110,2
SS Iyer,LSG,16,154.59,354,15
AK Markram,DC,8,154.22,128,7
Ishaan Gadekar,RCB,7,153.12,245,7
Ishan Kishan,MI,14,153.1,444,14
Dhruv Jurel,RCB,14,151.98,345,11
AR Patel,CSK,9,150.75,101,7
Ramandeep Singh,LSG,4,150.0,51,2
WL Madsen,MI,7,147.52,149,5
TM Head,MI,11,147.27,405,11
VR Iyer,SRH,14,143.75,322,7
RM Patidar,KKR,18,142.73,471,16
BM Duckett,PBKS,7,141.88,166,7
JL Smith,KKR,4,141.27,89,4
DP Conway,PBKS,7,141.11,127,6
Washington Sundar,PBKS,9,140.0,119,7
SP Narine,KKR,16,139.4,513,16
AM Rahane,MI,17,138.53,320,15
D Padikkal,KKR,4,138.3,65,3
DS Airee,RCB,6,136.51,86,6
HS Desai,PBKS,3,134.92,85,3
RA Tripathi,KKR,9,130.61,128,7
LS Livingstone,RCB,11,130.19,138,9
N Wadhera,KKR,13,129.78,292,11
Abdul Samad,LSG,12,127.5,153,9
JM Vince,RCB,3,125.93,68,3
Utkarsh Singh,PBKS,5,124.24,82,4
Mohammad Nabi,LSG,9,124.14,72,6
MW Short,DC,4,123.08,80,4
Q de Kock,KKR,10,122.77,275,10
Yuvraj Chaudhary,RCB,4,122.64,65,4
PP Shaw,RCB,8,119.7,158,8
Shakib Al Hasan,PBKS,5,113.64,50,2
MA Starc,KKR,6,110.0,55,5
SPD Smith,CSK,4,107.46,72,4
