match_id,innings,runs,balls,wkts,Eco,final_score,total_balls,wkts_lost,win,PP_perf,Middle_perf,Death_perf,bowler,team
S04M004,1,31,24,0,7.75,186,120,5,1,,0-31(24),,CV Varun,PBKS
S04M005,2,23,18,0,7.67,217,120,8,1,0-23(18),,,KR Sen,LSG
S04M007,2,28,18,0,9.33,187,120,5,0,0-28(18),,,KR Sen,LSG
S04M001,1,35,24,0,8.75,226,120,3,0,,0-35(24),,Bilal Zalmai,MI
S04M001,2,33,18,0,11.0,212,120,5,1,0-22(12),0-11(6),,GD Phillips,GT
S04M009,1,22,18,0,7.33,188,120,7,1,0-7(6),0-15(12),,GD Phillips,GT
S04M006,2,38,24,0,9.5,199,116,5,0,,0-38(24),,M Prasidh Krishna,DC
S04M001,2,38,24,0,9.5,212,120,5,1,0-23(12),0-15(12),,Mohammed Shami,GT
S04M002,1,39,24,0,9.75,198,120,6,0,0-12(12),0-10(6),0-17(6),Ashutosh Aman,RCB
S04M005,1,39,24,0,9.75,225,120,8,0,,0-17(12),0-22(12),GJ Maxwell,RR
S04M008,2,41,24,0,10.25,204,117,4,0,0-33(18),0-8(6),,TA Boult,MI
S04M007,2,42,24,0,10.5,187,120,5,0,,0-42(24),,Mohammed Siraj,LSG
S04M008,2,47,24,0,11.75,204,117,4,0,0-34(12),0-13(12),,KK Ahmed,MI
S04M008,1,51,24,0,12.75,198,120,6,1,,0-32(18),0-19(6),MA Wood,PBKS
