match_id,innings,runs,balls,wkts,Eco,win,PP_perf,Middle_perf,Death_perf,bowler,team,team_total
S02M007,1,6,6,1,6.0,0,,,1-6(6),AK Markram,SRH,3-198 (120)
S02M018,1,10,6,1,10.0,1,,,1-10(6),AK Markram,SRH,10-149 (112)
S02M022,2,11,6,0,11.0,1,,0-11(6),,AK Markram,SRH,9-167 (120)
S02M026,2,28,24,4,7.0,1,,4-20(18),0-8(6),AK Markram,SRH,10-134 (107)
S02M030,2,38,24,2,9.5,1,1-28(12),1-10(12),,AK Markram,SRH,10-198 (117)
S02M034,1,31,24,0,7.75,0,0-7(6),0-24(18),,AK Markram,SRH,2-189 (120)
S02M038,2,25,18,2,8.33,1,1-17(6),,1-8(12),AK Markram,SRH,10-166 (119)
S02M045,1,38,18,2,12.67,0,0-18(6),,2-20(12),AK Markram,SRH,6-209 (120)
S02M051,2,41,24,3,10.25,1,1-23(12),,2-18(12),AK Markram,SRH,10-174 (116)
S02M057,1,46,24,3,11.5,1,1-5(6),1-34(12),1-7(6),AK Markram,SRH,6-205 (120)
S02M068,1,31,12,0,15.5,0,,,0-31(12),AK Markram,SRH,2-217 (120)
S02M071,2,18,12,1,9.0,1,,1-18(12),,AK Markram,SRH,10-181 (113)
S02M074,1,33,18,1,11.0,0,,,1-33(18),AK Markram,SRH,3-208 (120)
S02M004,1,25,18,2,8.33,0,0-9(6),,2-16(12),B Kumar,KKR,6-188 (120)
S02M010,1,30,24,2,7.5,1,0-15(6),,2-15(18),B Kumar,KKR,9-160 (120)
S02M014,1,39,24,3,9.75,1,1-14(12),,2-25(12),B Kumar,KKR,10-161 (115)
S02M019,2,44,18,1,14.67,0,1-22(12),,0-22(6),B Kumar,KKR,2-200 (105)
S02M025,2,28,13,0,12.92,0,0-7(6),,0-21(7),B Kumar,KKR,4-182 (103)
S02M030,1,32,24,1,8.0,0,1-20(12),0-12(12),,B Kumar,KKR,3-218 (120)
S02M035,1,41,24,3,10.25,1,,3-41(24),,B Kumar,KKR,10-151 (117)
S02M040,1,38,24,0,9.5,0,0-13(6),0-25(18),,B Kumar,KKR,3-203 (120)
S02M046,1,51,24,0,12.75,0,,0-51(24),,B Kumar,KKR,4-216 (120)
S02M050,2,45,24,2,11.25,0,,2-45(24),,B Kumar,KKR,8-177 (119)
S02M055,1,44,24,0,11.0,1,0-7(6),,0-37(18),B Kumar,KKR,4-188 (120)
S02M060,2,56,24,2,14.0,0,,2-33(18),0-23(6),B Kumar,KKR,6-199 (113)
S02M064,1,35,24,2,8.75,0,,2-35(24),,B Kumar,KKR,3-209 (120)
S02M070,2,29,24,2,7.25,1,0-14(12),,2-15(12),B Kumar,KKR,6-177 (120)
S02M006,2,29,24,4,7.25,0,0-12(12),,4-17(12),MP Yadav,CSK,5-196 (115)
S02M012,1,30,24,2,7.5,1,1-18(12),,1-12(12),MP Yadav,CSK,6-168 (120)
S02M016,2,33,24,1,8.25,1,0-17(6),0-7(6),1-9(12),MP Yadav,CSK,9-163 (120)
S02M027,2,26,24,2,6.5,1,1-6(12),0-16(6),1-4(6),MP Yadav,CSK,5-198 (120)
S02M032,2,36,24,1,9.0,0,1-22(12),,0-14(12),MP Yadav,CSK,3-186 (117)
S02M036,2,37,24,4,9.25,1,1-9(6),,3-28(18),MP Yadav,CSK,6-181 (120)
S02M040,2,33,24,2,8.25,1,1-9(12),0-1(0),1-23(12),MP Yadav,CSK,5-188 (120)
