bowling_team,phase,wkts,eco,SR
CSK,Death,31,9.51,11.81
CSK,Middle,23,8.69,32.87
CSK,PP,17,9.43,29.65
DC,Death,35,10.99,13.2
DC,Middle,25,9.1,34.56
DC,PP,18,9.69,32.0
GT,Death,30,10.09,11.6
GT,Middle,37,8.87,20.43
GT,PP,20,9.81,25.2
KKR,Death,25,11.05,14.88
KKR,Middle,32,8.87,23.62
KKR,PP,21,9.62,24.0
LSG,Middle,29,8.87,26.07
LSG,PP,22,9.38,22.91
LSG,Death,37,9.8,10.11
MI,Death,22,11.25,18.18
MI,Middle,24,8.73,32.96
MI,PP,18,9.13,30.0
PBKS,Death,27,9.53,13.33
PBKS,Middle,29,8.32,26.07
PBKS,PP,20,9.13,25.2
RCB,Death,24,9.78,15.75
RCB,Middle,32,8.98,23.62
RCB,PP,13,9.5,38.77
RR,Death,37,10.69,12.35
RR,Middle,38,9.08,24.16
RR,PP,13,9.64,47.08
SRH,Middle,40,9.14,21.6
SRH,Death,42,9.58,10.55
SRH,PP,21,9.51,27.43
