batter,team,score,rank
BM Duckett,SRH,25.8283,1
Naman Dhir,GT,24.0815,2
Abhishek Sharma,MI,23.4423,3
N Pooran,MI,23.2737,4
GJ Maxwell,RR,21.3947,5
KL Rahul,SRH,21.3758,6
SS Iyer,LSG,20.4904,7
Smaran Ravichandran,PBKS,20.1773,8
YBK Jaiswal,RR,20.0362,9
Abishek Porel,DC,19.6502,10
PD Salt,RCB,19.4745,11
RD Gaikwad,RCB,19.3505,12
Shashank Singh,PBKS,18.9395,13
R Powell,KKR,18.8298,14
RR Rossouw,MI,18.4802,15
N Sindhu,DC,18.1271,16
SA Yadav,DC,18.0044,17
AM Rahane,KKR,17.9727,18
S Dube,RR,17.9518,19
Shubman Gill,LSG,17.5618,20
V Kohli,DC,17.4777,21
Tilak Varma,CSK,17.2182,22
N Rana,KKR,17.1821,23
TM Head,CSK,15.7887,24
SV Samson,GT,15.7868,25
Jay Gohil,MI,15.5265,26
J Fraser-McGurk,RCB,15.2818,27
JC Buttler,KKR,15.2401,28
DP Conway,GT,15.058,29
JP Inglis,GT,14.8824,30
P Simran Singh,SRH,14.2918,31
T Stubbs,CSK,14.2901,32
VR Iyer,SRH,14.0835,33
Priyansh Arya,SRH,13.4224,34
Q de Kock,PBKS,13.2668,35
PP Shaw,MI,13.2386,36
MK Lomror,SRH,12.7377,37
MP Stoinis,PBKS,12.4704,38
RD Rickelton,RR,12.295,39
SP Narine,LSG,11.8883,40
RK Singh,RCB,11.862,41
Azmatullah Omarzai,RR,11.7292,42
H Klaasen,PBKS,11.3076,43
C Green,RCB,11.1235,44
AD Russell,DC,10.8279,45
Ishan Kishan,KKR,10.3071,46
AK Markram,SRH,10.2733,47
WG Jacks,LSG,10.0629,48
Ramandeep Singh,LSG,10.0415,49
KA Pollard,CSK,10.0127,50
JM Sharma,RCB,9.9927,51
Abdul Samad,LSG,9.6805,52
Nithish Kumar Reddy,GT,9.5225,53
B Sai Sudharsan,RCB,9.5162,54
RG Sharma,PBKS,9.5108,55
DJ Hooda,GT,9.4369,56
DA Miller,RR,8.9749,57
LS Livingstone,SRH,8.8877,58
Urvil Patel,DC,8.5672,59
RM Patidar,RR,8.3181,60
Dhruv Jurel,LSG,8.276,61
Sameer Rizvi,LSG,8.1887,62
Sikandar Raza,DC,7.7298,63
F du Plessis,CSK,7.5121,64
KH Pandya,SRH,7.4622,65
RA Tripathi,PBKS,6.4074,66
FH Allen,MI,6.3662,67
BA Stokes,LSG,6.2569,68
HH Pandya,MI,6.0005,69
Bhanu Pania,MI,5.0277,70
AR Patel,CSK,4.8823,71
PJ Cummins,PBKS,4.5483,72
Washington Sundar,PBKS,4.4673,73
Harpreet Brar,RCB,3.6631,74
JG Bethell,SRH,3.2686,75
N Wadhera,RR,2.9931,76
MS Dhoni,CSK,2.9915,77
HV Patel,PBKS,2.8098,78
MK Pandey,KKR,2.6548,79
R Parag,GT,2.6491,80
RR Pant,RR,2.1646,81
Rashid Khan,GT,1.8913,82
DA Warner,DC,1.5518,83
R Ashwin,KKR,0.5952,84
SO Hetmyer,RCB,0.3348,85
Shahbaz Ahmed,LSG,0.0796,86
SM Curran,KKR,-1.7904,87
