match_id,innings,runs,balls,SR,final_score,total_balls,wkts,exit_pt_score,win,PP_perf,Middle_perf,Death_perf,batter,team
S02M005,1,16,8,200.0,188,120,3,,1,,,16 off 8,GJ Maxwell,RR
S02M010,1,18,12,150.0,160,120,9,64-4(8.1),0,13 off 6,5 off 6,,GJ Maxwell,RR
S02M015,2,20,11,181.82,114,71,2,,1,,20 off 11,,GJ Maxwell,RR
S02M020,2,34,19,178.95,178,115,8,156-4(16.1),1,,32 off 16,2 off 3,GJ Maxwell,RR
S02M025,2,83,45,184.44,182,103,4,,1,41 off 17,27 off 22,15 off 6,GJ Maxwell,RR
S02M031,2,87,44,197.73,223,117,3,,1,27 off 14,31 off 18,29 off 12,GJ Maxwell,RR
S02M036,2,1,2,50.0,181,120,6,8-1(0.4),0,1 off 2,,,GJ Maxwell,RR
S02M041,2,35,30,116.67,151,120,8,115-4(13.1),0,17 off 10,18 off 20,,GJ Maxwell,RR
S02M045,1,82,40,205.0,209,120,6,138-4(13.1),1,48 off 23,34 off 17,,GJ Maxwell,RR
S02M049,1,41,21,195.24,169,120,8,73-2(7.3),0,38 off 17,3 off 4,,GJ Maxwell,RR
S02M054,2,130,64,203.12,229,109,3,,1,40 off 23,55 off 30,35 off 11,GJ Maxwell,RR
S02M059,2,55,28,196.43,191,120,9,77-1(7.1),0,53 off 25,2 off 3,,GJ Maxwell,RR
S02M062,1,13,7,185.71,203,120,4,13-1(1.1),1,13 off 7,,,GJ Maxwell,RR
S02M065,2,19,11,172.73,196,120,5,37-1(3.1),0,19 off 11,,,GJ Maxwell,RR
S02M072,2,75,41,182.93,203,113,3,162-3(15.3),1,48 off 20,23 off 19,4 off 2,GJ Maxwell,RR
S02M073,2,39,21,185.71,205,120,3,87-1(7.4),1,34 off 18,5 off 3,,GJ Maxwell,RR
S02M074,1,23,14,164.29,208,120,3,38-1(4.1),1,23 off 14,,,GJ Maxwell,RR
S02M003,1,46,20,230.0,188,120,4,,0,,6 off 6,40 off 14,N Pooran,MI
S02M008,1,35,22,159.09,196,120,5,177-4(17.2),1,,33 off 20,2 off 2,N Pooran,MI
S02M015,1,41,27,151.85,110,94,10,90-4(9.4),0,17 off 14,24 off 13,,N Pooran,MI
S02M019,2,89,44,202.27,200,105,2,,1,3 off 6,48 off 28,38 off 10,N Pooran,MI
S02M023,2,68,40,170.0,196,119,4,,1,,40 off 25,28 off 15,N Pooran,MI
S02M029,2,13,7,185.71,192,120,6,75-3(8.5),1,,13 off 7,,N Pooran,MI
S02M034,1,92,60,153.33,189,120,2,,1,17 off 13,51 off 31,24 off 16,N Pooran,MI
S02M039,2,64,47,136.17,181,120,6,172-5(19.0),0,10 off 10,30 off 23,24 off 14,N Pooran,MI
S02M047,2,55,34,161.76,180,120,8,134-4(13.1),0,9 off 9,46 off 25,,N Pooran,MI
S02M053,1,12,7,171.43,165,120,6,84-3(8.4),0,,12 off 7,,N Pooran,MI
S02M058,1,30,19,157.89,208,120,4,177-3(16.5),1,,14 off 12,16 off 7,N Pooran,MI
S02M062,2,74,42,176.19,202,120,5,148-3(15.4),0,26 off 10,42 off 30,6 off 2,N Pooran,MI
S02M067,2,57,39,146.15,194,118,5,,1,,36 off 26,21 off 13,N Pooran,MI
S02M072,1,48,26,184.62,201,114,10,168-4(14.5),0,,48 off 26,,N Pooran,MI
S02M002,1,36,18,200.0,222,120,4,,1,,3 off 4,33 off 14,KL Rahul,SRH
S02M007,2,78,40,195.0,178,120,6,130-2(12.1),0,38 off 17,40 off 23,,KL Rahul,SRH
S02M012,1,51,37,137.84,168,120,6,115-3(13.5),0,11 off 11,40 off 26,,KL Rahul,SRH
S02M018,2,0,2,0.0,150,101,6,0-1(0.2),1,0 off 2,,,KL Rahul,SRH
S02M022,1,27,14,192.86,174,120,1,,1,,,27 off 14,KL Rahul,SRH
S02M026,1,62,49,126.53,188,120,3,,1,8 off 9,38 off 28,16 off 12,KL Rahul,SRH
S02M030,1,19,12,158.33,218,120,3,79-2(6.2),1,19 off 11,0 off 1,,KL Rahul,SRH
S02M034,2,69,42,164.29,175,120,5,,0,19 off 9,33 off 23,17 off 10,KL Rahul,SRH
S02M038,1,52,36,144.44,167,120,2,,1,,29 off 23,23 off 13,KL Rahul,SRH
S02M045,2,27,20,135.0,204,120,7,177-5(17.2),0,,10 off 12,17 off 8,KL Rahul,SRH
S02M051,1,47,23,204.35,185,120,7,,1,,32 off 15,15 off 8,KL Rahul,SRH
S02M057,2,69,48,143.75,206,114,3,,1,30 off 14,30 off 27,9 off 7,KL Rahul,SRH
S02M065,1,6,6,100.0,204,120,2,,1,,,6 off 6,KL Rahul,SRH
S02M071,1,76,50,152.0,185,120,4,183-3(19.4),1,6 off 7,44 off 28,26 off 15,KL Rahul,SRH
S02M074,2,48,21,228.57,203,120,4,,0,,9 off 3,39 off 18,KL Rahul,SRH
S02M002,1,80,43,186.05,222,120,4,175-3(15.5),1,20 off 13,59 off 28,1 off 2,BM Duckett,SRH
S02M022,1,82,52,157.69,174,120,1,,1,29 off 17,35 off 24,18 off 11,BM Duckett,SRH
S02M026,1,28,15,186.67,188,120,3,41-1(3.3),1,28 off 15,,,BM Duckett,SRH
S02M030,1,110,55,200.0,218,120,3,208-3(19.1),1,49 off 18,32 off 21,29 off 16,BM Duckett,SRH
S02M034,2,19,8,237.5,175,120,5,22-2(2.3),0,19 off 8,,,BM Duckett,SRH
S02M038,1,30,24,125.0,167,120,2,70-1(8.2),1,23 off 17,7 off 7,,BM Duckett,SRH
S02M051,1,26,21,123.81,185,120,7,84-3(9.5),1,15 off 10,11 off 11,,BM Duckett,SRH
S02M057,2,80,40,200.0,206,114,3,145-3(13.5),1,43 off 16,37 off 24,,BM Duckett,SRH
S02M065,1,90,52,173.08,204,120,2,192-2(18.2),1,21 off 12,44 off 28,25 off 12,BM Duckett,SRH
S02M071,1,75,51,147.06,185,120,4,,1,16 off 12,39 off 26,20 off 13,BM Duckett,SRH
S02M074,2,32,28,114.29,203,120,4,138-3(14.2),0,2 off 2,30 off 26,,BM Duckett,SRH
S02M005,1,92,64,143.75,188,120,3,167-2(17.4),1,19 off 20,57 off 36,16 off 8,RD Rickelton,RR
S02M010,1,18,10,180.0,160,120,9,30-2(3.0),0,18 off 10,,,RD Rickelton,RR
S02M015,2,45,26,173.08,114,71,2,75-2(8.2),1,39 off 18,6 off 8,,RD Rickelton,RR
S02M020,2,44,39,112.82,178,115,8,115-3(13.0),1,22 off 14,22 off 25,,RD Rickelton,RR
S02M025,2,34,22,154.55,182,103,4,77-1(6.5),1,33 off 19,1 off 3,,RD Rickelton,RR
S02M031,2,55,31,177.42,223,117,3,89-1(8.1),1,45 off 22,10 off 9,,RD Rickelton,RR
S02M036,2,17,5,340.0,181,120,6,20-2(1.4),0,17 off 5,,,RD Rickelton,RR
S02M041,2,0,3,0.0,151,120,8,1-1(0.4),0,0 off 3,,,RD Rickelton,RR
S02M045,1,43,23,186.96,209,120,6,101-1(8.1),1,28 off 13,15 off 10,,RD Rickelton,RR
S02M049,1,8,5,160.0,169,120,8,16-1(1.4),0,8 off 5,,,RD Rickelton,RR
S02M054,2,64,27,237.04,229,109,3,137-1(11.1),1,39 off 13,25 off 14,,RD Rickelton,RR
S02M059,2,42,28,150.0,191,120,9,110-3(11.3),0,16 off 11,26 off 17,,RD Rickelton,RR
S02M062,1,4,5,80.0,203,120,4,29-2(3.1),1,4 off 5,,,RD Rickelton,RR
S02M065,2,43,28,153.57,196,120,5,86-2(9.1),0,29 off 18,14 off 10,,RD Rickelton,RR
S02M072,2,44,32,137.5,203,113,3,108-1(10.1),1,29 off 16,15 off 16,,RD Rickelton,RR
S02M073,2,67,40,167.5,205,120,3,112-2(11.3),1,20 off 18,47 off 22,,RD Rickelton,RR
S02M074,1,26,17,152.94,208,120,3,65-2(5.5),1,26 off 17,,,RD Rickelton,RR
S02M002,2,40,22,181.82,198,120,3,65-1(6.1),0,40 off 21,0 off 1,,V Kohli,DC
S02M006,2,103,58,177.59,196,115,5,,1,31 off 20,40 off 25,32 off 13,V Kohli,DC
S02M011,1,81,44,184.09,196,120,5,,1,20 off 11,40 off 20,21 off 13,V Kohli,DC
S02M017,1,8,7,114.29,177,120,7,18-2(2.4),0,8 off 7,,,V Kohli,DC
S02M024,1,39,24,162.5,179,120,4,59-1(6.3),0,38 off 22,1 off 2,,V Kohli,DC
S02M028,1,18,11,163.64,234,120,6,23-1(2.4),1,18 off 11,,,V Kohli,DC
S02M033,2,8,5,160.0,183,117,5,39-2(3.0),1,8 off 5,,,V Kohli,DC
S02M039,1,2,4,50.0,189,120,5,20-2(2.3),1,2 off 4,,,V Kohli,DC
S02M043,2,52,36,144.44,196,116,7,139-4(13.5),1,22 off 15,30 off 21,,V Kohli,DC
S02M050,2,19,6,316.67,177,119,8,20-1(1.1),1,19 off 6,,,V Kohli,DC
S02M054,1,82,50,164.0,228,120,4,156-4(15.5),0,29 off 18,52 off 30,1 off 2,V Kohli,DC
S02M058,2,40,31,129.03,207,120,4,101-2(10.1),0,28 off 19,12 off 12,,V Kohli,DC
S02M064,1,84,43,195.35,209,120,3,,1,,42 off 23,42 off 20,V Kohli,DC
S02M071,2,17,13,130.77,181,113,10,43-2(5.4),0,17 off 13,,,V Kohli,DC
S02M073,1,47,30,156.67,204,120,4,165-4(17.1),0,,26 off 20,21 off 10,V Kohli,DC
S02M002,2,50,24,208.33,198,120,3,130-2(12.3),0,,50 off 24,,SA Yadav,DC
S02M006,2,42,28,150.0,196,115,5,188-2(18.1),1,,32 off 20,10 off 8,SA Yadav,DC
S02M011,1,5,5,100.0,196,120,5,76-2(8.2),1,,5 off 5,,SA Yadav,DC
S02M017,1,5,8,62.5,177,120,7,19-3(3.0),0,5 off 8,,,SA Yadav,DC
S02M024,1,61,32,190.62,179,120,4,160-3(17.3),0,,48 off 26,13 off 6,SA Yadav,DC
S02M028,1,36,19,189.47,234,120,6,99-2(8.3),1,32 off 14,4 off 5,,SA Yadav,DC
S02M033,2,74,47,157.45,183,117,5,,1,18 off 9,30 off 21,26 off 17,SA Yadav,DC
S02M039,1,78,42,185.71,189,120,5,,1,16 off 10,45 off 22,17 off 10,SA Yadav,DC
