batting_team,phase,outs,avg,SR
CSK,Death,27,26.52,176.79
CSK,Middle,26,41.04,141.14
CSK,PP,24,29.04,138.29
DC,Death,24,35.25,183.91
DC,Middle,38,37.16,163.43
DC,PP,20,45.65,158.51
GT,Death,36,16.03,159.39
GT,Middle,16,75.31,159.39
GT,PP,20,38.9,154.37
KKR,Death,40,14.78,160.6
KKR,Middle,39,28.26,145.77
KKR,PP,13,58.62,151.19
LSG,Middle,33,34.18,149.21
LSG,PP,19,41.37,155.95
LSG,Death,29,20.38,166.01
MI,Death,25,27.0,182.43
MI,Middle,36,33.5,148.89
MI,PP,17,51.82,163.15
PBKS,Death,35,16.23,151.87
PBKS,Middle,32,34.5,146.03
PBKS,PP,23,33.26,151.79
RCB,Death,33,19.24,170.24
RCB,Middle,24,48.0,152.38
RCB,PP,18,44.17,157.74
RR,Death,35,23.29,186.5
RR,Middle,37,35.22,144.94
RR,PP,15,71.47,175.16
SRH,Middle,28,44.21,143.29
SRH,Death,26,30.19,172.53
SRH,PP,14,72.71,176.74
