bowler,team,score,rank
A Zampa,SRH,22.5168,1
M Pathirana,RCB,21.3665,2
JC Archer,LSG,20.0512,3
Mohammad Nabi,GT,19.6768,4
Mayank Dagar,RR,19.1894,5
Kuldeep Yadav,SRH,19.1877,6
Ravi Bishnoi,PBKS,17.4052,7
Fazalhaq Farooqi,CSK,17.2391,8
Rashid Khan,GT,17.2225,9
Washington Sundar,PBKS,16.9261,10
AR Patel,CSK,16.271,11
JJ Bumrah,MI,16.0528,12
Yash Thakur,PBKS,16.0191,13
RA Jadeja,DC,15.9924,14
M Prasidh Krishna,DC,15.9507,15
A Nortje,RCB,15.195,16
M Siddharth,CSK,15.191,17
MP Yadav,CSK,15.1793,18
JR Hazlewood,RR,14.3145,19
MA Starc,KKR,14.1116,20
DS Rathi,KKR,13.9896,21
R Sai Kishore,GT,13.6805,22
HH Pandya,MI,13.3227,23
Mustafizur Rahman,DC,13.0406,24
C Sakariya,SRH,12.4818,25
I Sharma,GT,12.2259,26
Arshdeep Singh,LSG,11.174,27
TA Boult,MI,11.1696,28
Suryansh Shedge,CSK,11.0814,29
Sandeep Sharma,RR,11.0645,30
WG Jacks,LSG,10.9949,31
PWH de Silva,DC,10.7248,32
Sikandar Raza,DC,10.715,33
Rasikh Salam,GT,10.6689,34
Noor Ahmad,KKR,10.3938,35
M Markande,PBKS,10.3489,36
Akash Deep,SRH,10.3375,37
B Kumar,KKR,10.3129,38
R Ashwin,KKR,10.2741,39
Jagjit Singh,CSK,10.1923,40
Shakib Al Hasan,PBKS,10.1476,41
Mohsin Khan,RCB,10.0658,42
HV Patel,PBKS,10.0634,43
KH Pandya,SRH,9.9959,44
GJ Maxwell,RR,9.7188,45
Harpreet Brar,RCB,9.6683,46
GF Linde,RR,9.5943,47
M Theekshana,MI,9.5519,48
AK Markram,SRH,9.4981,49
T Natarajan,CSK,9.1408,50
SH Johnson,SRH,8.9815,51
CV Varun,PBKS,8.371,52
Mohammed Shami,PBKS,8.3418,53
Swapnil Singh,RR,8.2891,54
Shahbaz Ahmed,LSG,8.2581,55
TU Deshpande,RR,8.0792,56
PJ Cummins,PBKS,7.7634,57
Mujeeb Ur Rahman,RCB,7.7029,58
SP Narine,LSG,7.0455,59
BA Stokes,LSG,6.9275,60
SM Curran,KKR,6.7859,61
Abhishek Sharma,MI,6.3605,62
AS Roy,LSG,6.3191,63
Suyash Sharma,MI,5.789,64
KK Ahmed,GT,5.3597,65
YS Chahal,RCB,5.0446,66
Harshit Rana,SRH,4.9655,67
Avesh Khan,PBKS,4.7902,68
LS Livingstone,SRH,4.7497,69
VG Arora,KKR,4.5313,70
Mohammed Siraj,RCB,4.4434,71
MG Bracewell,DC,3.5372,72
R Parag,GT,3.2368,73
Cheepurapalli Stephen,DC,2.8939,74
K Rabada,MI,2.6619,75
M Jansen,GT,2.1817,76
V Puthur,LSG,2.1076,77
A Kamboj,RR,2.1025,78
PP Chawla,RR,1.953,79
Mukesh Kumar,GT,1.8081,80
Azmatullah Omarzai,RR,1.7942,81
MJ Santner,PBKS,1.5757,82
Tanush Kotian,SRH,1.5648,83
Ravi Teja,LSG,1.3817,84
NT Ellis,LSG,-0.7856,85
AD Russell,DC,-1.2129,86
Mohammad Ghazanfar,CSK,-1.4421,87
MP Stoinis,PBKS,-2.6622,88
GD Phillips,RR,-3.9714,89
DL Chahar,DC,-4.746,90
C Green,RCB,-4.9286,91
RD Chahar,RCB,-5.4923,92
Yash Dayal,LSG,-7.4444,93
MR Marsh,DC,-10.1348,94
LH Ferguson,GT,-11.3897,95
