team,matches_played,points,#Won,#Lost,NRR,Recent Form (Latest first)
SRH,14,18,9,5,0.4305,LWlWW
DC,14,18,9,5,0.237,llWwL
RR,14,16,8,6,0.265,wWWlw
MI,14,16,8,6,-0.0481,lwLwl
CSK,14,16,8,6,-0.2254,LwWWl
GT,14,12,6,8,0.0477,LwwWl
LSG,14,12,6,8,0.0271,wwWlL
RCB,14,12,6,8,-0.0008,LWLlw
PBKS,14,10,5,9,-0.0328,lllLw
KKR,14,10,5,9,-0.6856,WLLwl
