team,matches_played,points,#Won,#Lost,NRR
CSK,14,20,10,4,0.876845003
PBKS,14,18,9,5,0.917578395
SRH,14,16,8,6,0.311832684
LSG,14,16,8,6,-0.006627461
KKR,14,16,8,6,-0.009708857
DC,14,14,7,7,0.504688481
GT,14,14,7,7,-0.455486897
RR,14,10,5,9,-0.271263097
MI,14,10,5,9,-0.661899896
RCB,14,6,3,11,-1.186226009
