striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,ones,twos,threes,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,30+_scores,50+_scores,100+_scores,points,high_score
RK Singh,MI,10,250,195,6,21,10,78,79,9,3,128.21,32.5,41.67,6.29,40,3,1,0,143.55,74* (61)
Sikandar Raza,DC,10,228,165,6,15,13,56,76,4,2,138.18,27.5,38,5.89,33.94,4,2,0,147.7,56* (40)
HH Pandya,MI,11,221,160,6,18,8,51,74,9,3,138.12,26.67,36.83,6.15,31.88,3,0,0,145.77,37* (22)
AR Patel,CSK,11,204,163,8,18,7,68,61,7,5,125.15,20.38,25.5,6.52,41.72,3,0,0,106.99,41 (37)
SO Hetmyer,RCB,12,204,170,11,11,10,61,81,8,1,120,15.45,18.55,8.1,35.88,3,0,0,111.89,44 (24)
AK Markram,SRH,8,198,139,6,14,11,52,54,8,2,142.45,23.17,33,5.56,37.41,4,1,0,124.98,50 (32)
RA Tripathi,RR,9,194,144,8,23,5,59,51,9,1,134.72,18,24.25,5.14,40.97,3,1,0,109.4,56* (33)
MK Lomror,SRH,8,185,109,6,17,8,31,42,9,3,169.72,18.17,30.83,4.36,28.44,3,0,0,149.28,42* (27)
Harpreet Brar,RCB,11,182,141,8,18,8,65,50,6,0,129.08,17.62,22.75,5.42,46.1,1,0,0,89.88,47* (28)
Ramandeep Singh,RCB,14,176,134,12,9,7,49,51,10,9,131.34,11.17,14.67,8.38,36.57,2,0,0,97.83,44 (28)
A Badoni,RCB,13,157,149,12,11,7,81,48,7,3,105.37,12.42,13.08,8.28,54.36,1,0,0,40.96,49 (39)
Azmatullah Omarzai,RR,6,148,89,4,7,8,26,39,6,7,166.29,22.25,37,5.93,29.21,3,0,0,124.03,43* (23)
JG Bethell,SRH,8,148,117,6,11,7,50,39,7,3,126.5,19.5,24.67,6.5,42.74,2,0,0,75.46,49 (44)
Atharva Taide,RR,5,145,95,5,13,8,38,31,7,0,152.63,19,29,4.52,40,2,1,0,96.63,69 (34)
N Sindhu,DC,3,144,65,3,14,7,21,11,10,5,221.54,21.67,48,3.1,32.31,2,2,0,152.11,64 (25)
R Parag,MI,9,144,125,7,16,4,60,43,5,1,115.2,17.86,20.57,6.25,48,2,1,0,56.53,69* (52)
Rashid Khan,GT,9,142,109,6,10,6,46,40,7,4,130.28,18.17,23.67,6.81,42.2,2,0,0,73.67,38* (20)
Abdul Samad,LSG,8,128,70,4,14,6,23,19,7,1,182.86,17.5,32,3.5,32.86,2,0,0,119.25,38* (14)
Bhanu Pania,MI,4,124,98,3,6,6,43,34,6,6,126.53,32.67,41.33,8.17,43.88,2,0,0,64.46,49 (36)
D Padikkal,KKR,2,119,83,2,9,7,32,34,2,1,143.37,41.5,59.5,5.19,38.55,2,2,0,90.22,64 (40)
N Wadhera,LSG,6,117,87,3,9,5,32,35,8,0,134.48,29,39,6.21,36.78,2,0,0,79.48,39 (23)
Washington Sundar,PBKS,9,113,93,8,8,4,38,35,8,2,121.51,11.62,14.12,7.75,40.86,0,0,0,51.8,29 (15)
R Ashwin,KKR,9,110,97,7,2,7,45,39,6,3,113.4,13.86,15.71,10.78,46.39,1,0,0,34.49,32* (19)
KK Nair,RR,5,107,80,4,9,5,40,18,7,3,133.75,20,26.75,5.71,50,1,0,0,43.88,43 (22)
DA Warner,DC,7,106,78,6,10,3,27,32,5,2,135.9,13,17.67,6,34.62,1,1,0,70.54,55 (40)
JM Sharma,RR,11,104,78,8,11,5,36,26,2,0,133.33,9.75,13,4.88,46.15,0,0,0,46.74,28 (17)
HV Patel,PBKS,9,98,82,8,5,6,38,26,5,2,119.51,10.25,12.25,7.45,46.34,1,0,0,32.16,33 (29)
GD Phillips,GT,4,93,50,3,10,5,23,8,3,3,186,16.67,31,3.33,46,1,0,0,75.85,45* (19)
Shahbaz Ahmed,LSG,6,92,63,4,2,7,22,25,7,1,146.03,15.75,23,7,34.92,1,0,0,68.19,43 (24)
SM Curran,KKR,7,92,75,6,14,0,34,25,1,3,122.67,12.5,15.33,5.36,45.33,2,0,0,35.75,39 (36)
KH Pandya,SRH,8,89,65,5,10,3,29,19,6,0,136.92,13,17.8,5,44.62,1,0,0,44.22,34 (23)
MS Dhoni,CSK,10,87,70,5,7,2,23,37,2,2,124.29,14,17.4,7.78,32.86,0,0,0,56.1,22* (15)
J Fraser-McGurk,PBKS,3,77,50,3,6,5,19,18,1,1,154,16.67,25.67,4.55,38,1,0,0,62.82,39 (26)
PJ Cummins,MI,5,73,57,3,7,1,17,26,5,1,128.07,19,24.33,7.12,29.82,1,0,0,59.67,37* (21)
JR Hazlewood,RR,7,71,54,5,3,4,26,12,7,3,131.48,10.8,14.2,7.71,48.15,0,0,0,19.58,29 (21)
R Tewatia,GT,8,64,48,8,11,0,19,16,2,0,133.33,6,8,4.36,39.58,0,0,0,36.72,23 (10)
M Shahrukh Khan,MI,5,64,57,5,4,2,24,26,5,0,112.28,11.4,12.8,9.5,42.11,0,0,0,16.88,24 (22)
PWH de Silva,DC,4,63,44,3,4,3,16,18,4,1,143.18,14.67,21,6.29,36.36,1,0,0,48.15,43* (31)
MA Starc,KKR,5,61,35,4,6,2,13,10,3,3,174.29,8.75,15.25,4.38,37.14,1,0,0,61.66,32 (13)
TA Boult,PBKS,6,57,46,2,5,0,13,23,4,2,123.91,23,28.5,9.2,28.26,0,0,0,52.12,21* (19)
B Kumar,KKR,5,54,41,2,3,3,14,18,3,0,131.71,20.5,27,6.83,34.15,0,0,0,44.38,22 (13)
G Coetzee,KKR,4,52,42,1,3,1,13,25,3,1,123.81,42,52,10.5,30.95,0,0,0,53.02,21 (16)
RA Jadeja,DC,5,52,44,2,5,1,16,22,2,0,118.18,22,26,7.33,36.36,0,0,0,31.94,21 (17)
RD Chahar,RCB,4,48,40,2,4,0,12,17,6,1,120,20,24,10,30,0,0,0,40,24* (13)
HS Desai,DC,3,43,21,3,3,3,6,7,3,0,204.76,7,14.33,3.5,28.57,1,0,0,86.78,40 (16)
J Suchith,RCB,3,42,39,3,1,2,14,19,2,1,107.69,13,14,13,35.9,1,0,0,14.64,30 (27)
M Jansen,GT,2,40,32,2,3,0,8,17,4,1,125,16,20,10.67,25,1,0,0,45.94,30 (22)
SP Narine,RR,4,40,42,3,4,1,20,16,1,0,95.24,14,13.33,8.4,47.62,0,0,0,-13.17,16 (18)
DL Chahar,KKR,2,39,29,1,7,0,12,9,1,0,134.48,29,39,4.14,41.38,0,0,0,32.31,29 (18)
AD Russell,DC,5,38,44,3,4,0,23,15,2,1,86.36,14.67,12.67,11,52.27,0,0,0,-29.48,11* (14)
JC Archer,GT,6,37,39,6,2,2,23,10,2,1,94.87,6.5,6.17,9.75,58.97,0,0,0,-42.13,17 (9)
Jagjit Singh,CSK,3,35,21,0,3,2,9,4,2,1,166.67,inf,inf,4.2,42.86,0,0,0,39.27,18* (6)
MJ Santner,KKR,4,34,36,3,1,1,14,19,1,1,94.44,12,11.33,18,38.89,0,0,0,-4.03,20* (24)
M Theekshana,MI,5,33,27,1,3,2,14,7,1,0,122.22,27,33,5.4,51.85,0,0,0,-1.58,24* (11)
PN Mankad,RCB,2,33,31,2,2,1,12,13,3,0,106.45,15.5,16.5,10.33,38.71,0,0,0,5.9,26 (22)
R Sai Kishore,RR,2,32,19,2,2,2,6,6,3,0,168.42,9.5,16,4.75,31.58,0,0,0,53.83,26 (17)
SH Johnson,SRH,3,32,17,3,1,3,7,3,2,1,188.24,5.67,10.67,4.25,41.18,0,0,0,44.11,19 (11)
Avesh Khan,RCB,6,32,28,5,2,0,12,11,2,3,114.29,5.6,6.4,14,42.86,0,0,0,-5.7,12 (7)
M Markande,LSG,2,32,38,0,2,1,22,10,1,2,84.21,inf,inf,12.67,57.89,0,0,0,-33.73,28* (36)
M Prasidh Krishna,DC,2,30,20,1,1,1,5,8,3,2,150,20,30,10,25,0,0,0,55.75,19 (15)
MM Ali,RR,2,29,12,1,2,2,1,5,2,0,241.67,12,29,3,8.33,0,0,0,142.84,28 (11)
JJ Bumrah,RCB,6,29,18,4,4,0,6,4,3,1,161.11,4.5,7.25,4.5,33.33,0,0,0,42.76,15 (8)
RD Rickelton,KKR,3,29,20,3,2,1,8,7,1,2,145,6.67,9.67,6.67,40,0,0,0,18.83,12 (7)
VG Arora,KKR,3,29,24,2,2,0,11,7,1,4,120.83,12,14.5,12,45.83,0,0,0,-6.08,14* (7)
Ravi Bishnoi,PBKS,4,29,31,2,3,1,18,9,1,0,93.55,15.5,14.5,7.75,58.06,0,0,0,-39.39,18* (15)
Mohammed Shami,GT,5,28,25,4,1,0,10,7,4,3,112,6.25,7,25,40,0,0,0,-4.62,14 (14)
A Manohar,LSG,2,27,21,2,2,1,10,7,0,2,128.57,10.5,13.5,7,47.62,0,0,0,-4.06,27 (20)
MADI Hemantha,CSK,2,26,12,1,1,2,6,1,0,3,216.67,12,26,4,50,0,0,0,41.08,20 (11)
KK Ahmed,GT,5,26,18,1,3,1,9,3,1,1,144.44,18,26,4.5,50,0,0,0,6.58,13* (7)
Mohammed Siraj,MI,2,24,11,2,3,1,4,1,1,1,218.18,5.5,12,2.75,36.36,0,0,0,70.55,23 (9)
JM Bairstow,DC,2,24,27,2,3,0,14,8,2,0,88.89,13.5,12,9,51.85,0,0,0,-34.2,24 (26)
Mustafizur Rahman,DC,2,24,32,2,0,0,15,13,4,1,75,16,12,inf,46.88,0,0,0,-36.26,21 (26)
AJ Hosein,SRH,2,23,21,2,1,1,9,9,2,0,109.52,10.5,11.5,10.5,42.86,0,0,0,-8.7,18 (14)
A Zampa,LSG,3,21,13,2,1,2,7,2,0,1,161.54,6.5,10.5,4.33,53.85,0,0,0,-0.38,17* (8)
TH David,LSG,2,21,17,2,1,1,6,8,0,1,123.53,8.5,10.5,8.5,35.29,0,0,0,12.57,16 (14)
T Natarajan,CSK,3,20,12,3,2,0,4,2,2,2,166.67,4,6.67,6,33.33,0,0,0,37.51,13 (8)
C Sakariya,SRH,4,20,16,2,2,1,7,6,0,0,125,8,10,5.33,43.75,0,0,0,-0.62,10 (7)
Harshit Rana,PBKS,2,20,17,2,0,2,8,6,1,0,117.65,8.5,10,8.5,47.06,0,0,0,-14.16,20 (16)
HR Shokeen,RCB,2,20,17,1,2,0,6,7,1,1,117.65,17,20,8.5,35.29,0,0,0,13.13,16 (10)
Sandeep Sharma,RR,5,20,17,2,2,0,7,5,2,1,117.65,8.5,10,8.5,41.18,0,0,0,-2.9,11 (9)
M Pathirana,RCB,7,20,19,5,1,1,8,8,1,0,105.26,3.8,4,9.5,42.11,0,0,0,-13.68,9 (7)
Mohammad Ghazanfar,GT,3,18,15,1,0,1,9,1,4,1,120,15,18,15,60,0,0,0,-39.67,15 (11)
MR Marsh,DC,1,18,17,1,3,0,8,6,0,0,105.88,17,18,5.67,47.06,0,0,0,-14.11,18 (17)
Ashutosh Sharma,SRH,2,17,16,2,2,0,8,5,2,0,106.25,8,8.5,8,50,0,0,0,-27.62,14 (13)
NT Ellis,LSG,2,17,18,2,0,1,10,5,0,2,94.44,9,8.5,18,55.56,0,0,0,-47.62,10 (10)
Tanush Kotian,SRH,2,16,13,0,1,0,1,10,1,0,123.08,inf,inf,13,7.69,0,0,0,64.76,12* (9)
Sameer Rizvi,SRH,2,15,14,1,2,0,6,5,1,0,107.14,14,15,7,42.86,0,0,0,-10.01,13* (11)
SB Dubey,KKR,2,15,18,2,0,0,4,13,1,0,83.33,9,7.5,inf,22.22,0,0,0,9.23,9 (10)
YS Chahal,CSK,2,14,10,1,1,1,4,4,0,0,140,10,14,5,40,0,0,0,12.75,9* (4)
Gurjapneet Singh,RCB,1,13,6,0,1,1,3,0,0,1,216.67,inf,inf,3,50,0,0,0,35.25,13* (6)
Mukesh Kumar,SRH,2,13,8,2,1,1,5,0,0,1,162.5,4,6.5,4,62.5,0,0,0,-22,13 (4)
Suryansh Shedge,CSK,3,13,13,3,1,0,6,4,1,1,100,4.33,4.33,13,46.15,0,0,0,-29.54,13 (11)
M Siddharth,CSK,2,12,8,1,0,1,4,3,0,1,150,8,12,8,50,0,0,0,-8.25,11* (5)
SZ Mulani,MI,1,12,10,1,0,1,3,6,0,0,120,10,12,10,30,0,0,0,16.5,12 (10)
Priyansh Arya,SRH,1,12,12,1,0,0,3,6,3,0,100,12,12,inf,25,0,0,0,12,12 (12)
Kuldeep Yadav,SRH,5,11,19,3,1,0,12,7,0,0,57.89,6.33,3.67,19,63.16,0,0,0,-85.83,10 (11)
V Shankar,DC,2,11,15,2,1,0,7,7,0,0,73.33,7.5,5.5,15,46.67,0,0,0,-43.84,11 (12)
TU Deshpande,RR,3,10,8,3,0,1,4,2,1,0,125,2.67,3.33,8,50,0,0,0,-24.42,9 (4)
Rasikh Salam,LSG,1,10,11,1,1,0,5,4,1,0,90.91,11,10,11,45.45,0,0,0,-30.15,10 (11)
LUVNITH SISODIA,RR,1,10,11,1,0,0,3,6,2,0,90.91,11,10,inf,27.27,0,0,0,1.41,10 (11)
Swapnil Singh,RR,2,9,7,0,1,0,1,5,0,0,128.57,inf,inf,7,14.29,0,0,0,51.1,7* (5)
MP Yadav,RR,3,9,10,3,1,0,7,0,1,1,90,3.33,3,10,70,0,0,0,-83.58,6 (5)
Arshdeep Singh,LSG,1,8,3,0,0,1,0,2,0,0,266.67,inf,inf,3,0,0,0,0,156,8* (3)
MM Sharma,DC,1,8,3,0,0,1,1,0,1,0,266.67,inf,inf,3,33.33,0,0,0,89.34,8* (3)
R Ravindra,GT,1,7,7,1,1,0,6,0,0,1,100,7,7,7,85.71,0,0,0,-107.03,7 (7)
Yash Thakur,PBKS,3,7,15,1,0,0,8,7,0,0,46.67,15,7,inf,53.33,0,0,0,-72.32,3 (6)
J Anderson,MI,1,6,4,1,1,0,2,0,1,0,150,4,6,4,50,0,0,0,-7.25,6 (4)
PP Chawla,RR,1,6,7,1,1,0,4,2,0,0,85.71,7,6,7,57.14,0,0,0,-57.53,6 (7)
CV Varun,PBKS,3,6,13,1,0,0,7,6,0,0,46.15,13,6,inf,53.85,0,0,0,-75.12,4* (8)
BM Duckett,SRH,1,5,4,1,1,0,3,1,0,0,125,4,5,4,75,0,0,0,-70.25,5 (4)
SN Thakur,DC,2,4,5,1,0,0,4,1,0,1,80,5,4,inf,80,0,0,0,-115.5,3 (4)
AS Roy,GT,1,4,7,1,0,0,3,4,0,0,57.14,7,4,inf,42.86,0,0,0,-51.65,4 (7)
Fazalhaq Farooqi,CSK,2,4,7,2,0,0,3,4,0,0,57.14,3.5,2,inf,42.86,0,0,0,-53.4,4 (6)
R Powell,RR,1,4,9,1,0,0,5,4,0,0,44.44,9,4,inf,55.56,0,0,0,-82.4,4 (9)
A Raghuvanshi,MI,1,3,3,1,0,0,2,0,0,1,100,3,3,inf,66.67,0,0,0,-80.34,3 (3)
KV Sharma,RCB,1,2,5,1,0,0,3,2,0,0,40,5,2,inf,60,0,0,0,-96.5,2 (5)
LH Ferguson,SRH,1,2,6,0,0,0,5,2,0,0,33.33,inf,inf,inf,83.33,0,0,0,-146,2* (6)
D Ferreira,RCB,1,1,3,1,0,0,2,1,0,0,33.33,3,1,inf,66.67,0,0,0,-114.68,1 (3)
JP Inglis,CSK,1,0,1,1,0,0,1,0,0,0,0,1,0,inf,100,0,0,0,-199.5,0 (1)
MA Agarwal,PBKS,1,0,1,1,0,0,1,0,0,0,0,1,0,inf,100,0,0,0,-199.5,0 (1)
MJ Suthar,MI,1,0,1,0,0,0,1,0,0,0,0,inf,,inf,100,0,0,0,-199.5,0* (1)
Noor Ahmad,KKR,1,0,1,1,0,0,1,0,0,0,0,1,0,inf,100,0,0,0,-199.5,0 (1)
Robin Minz,GT,1,0,1,1,0,0,1,0,0,0,0,1,0,inf,100,0,0,0,-199.5,0 (1)
Shrijith Krishnan,GT,1,0,1,1,0,0,1,0,0,0,0,1,0,inf,100,0,0,0,-199.5,0 (1)
