team,highest_batting_total,best_bowling_performance
CSK,186-7 (120) vs PBKS in M053,119-10 (96) vs MI in M007
DC,205-6 (120) vs LSG in M056,117-10 (95) vs RCB in M067
GT,202-5 (120) vs SRH in M016,158-10 (115) vs DC in M019
KKR,213-2 (120) vs RCB in M014,146-10 (101) vs RCB in M043
LSG,212-3 (120) vs MI in M049,153-9 (120) vs KKR in M020
MI,210-3 (120) vs LSG in M049,147-10 (109) vs RCB in M037
PBKS,220-4 (120) vs MI in M017,83-10 (59) vs GT in M066
RCB,193-4 (120) vs DC in M009,160-10 (106) vs KKR in M043
RR,203-7 (120) vs GT in M062,175-9 (119) vs RCB in M018
SRH,198-2 (120) vs DC in M036,186-10 (120) vs CSK in M012
