bowler,bowling_team,num_innings,wkts,balls,strike_rate,wkt_contribution_%
MA Starc,KKR,14,23,300,13.04,27.71
M Pathirana,RCB,13,20,306,15.3,26.67
HH Pandya,MI,14,23,286,12.43,25.0
B Kumar,KKR,14,20,314,15.7,24.1
Mustafizur Rahman,DC,13,13,276,21.23,23.64
AR Patel,CSK,17,33,348,10.55,23.08
T Natarajan,CSK,17,32,333,10.41,22.38
JJ Bumrah,RCB,14,16,316,19.75,21.33
Sandeep Sharma,RR,14,15,328,21.87,21.13
Kuldeep Yadav,SRH,16,19,360,18.95,20.88
Washington Sundar,PBKS,13,23,264,11.48,20.35
JR Hazlewood,RR,12,14,276,19.71,19.72
Rashid Khan,GT,14,13,295,22.69,18.57
RA Jadeja,DC,14,10,317,31.7,18.18
Sikandar Raza,DC,11,10,239,23.9,18.18
PJ Cummins,MI,14,16,300,18.75,17.39
GJ Maxwell,RR,12,12,264,22.0,16.9
HV Patel,PBKS,16,19,304,16.0,16.81
CV Varun,PBKS,13,19,266,14.0,16.81
BA Stokes,LSG,11,14,204,14.57,16.67
M Prasidh Krishna,DC,13,9,311,34.56,16.36
J Anderson,MI,9,15,192,12.8,16.3
Suryansh Shedge,CSK,11,23,246,10.7,16.08
Shahbaz Ahmed,LSG,11,13,246,18.92,15.48
C Sakariya,SRH,13,14,278,19.86,15.38
LS Livingstone,SRH,15,14,282,20.14,15.38
Harpreet Brar,RCB,14,11,271,24.64,14.67
JC Archer,GT,12,10,264,26.4,14.29
KK Ahmed,GT,9,10,216,21.6,14.29
A Zampa,LSG,15,12,340,28.33,14.29
Arshdeep Singh,LSG,15,12,354,29.5,14.29
KH Pandya,SRH,16,13,348,26.77,14.29
Mohammed Shami,GT,11,9,252,28.0,12.86
Avesh Khan,RCB,10,9,234,26.0,12.0
Fazalhaq Farooqi,CSK,12,17,279,16.41,11.89
Jagjit Singh,CSK,12,17,267,15.71,11.89
Mohammad Ghazanfar,GT,8,8,172,21.5,11.43
PWH de Silva,DC,11,6,258,43.0,10.91
Mohammed Siraj,MI,12,10,273,27.3,10.87
TA Boult,PBKS,16,12,365,30.42,10.62
Ravi Bishnoi,PBKS,9,12,179,14.92,10.62
SH Johnson,SRH,7,9,164,18.22,9.89
TU Deshpande,RR,6,7,126,18.0,9.86
M Theekshana,MI,11,9,235,26.11,9.78
Noor Ahmad,KKR,3,8,72,9.0,9.64
Tanush Kotian,SRH,5,8,114,14.25,8.79
Abhishek Sharma,MI,6,8,88,11.0,8.7
Swapnil Singh,RR,3,6,72,12.0,8.45
Rasikh Salam,LSG,4,7,96,13.71,8.33
NT Ellis,LSG,6,6,138,23.0,7.14
Azmatullah Omarzai,RR,7,5,127,25.4,7.04
M Siddharth,CSK,8,10,178,17.8,6.99
Harshit Rana,PBKS,7,7,162,23.14,6.19
MJ Santner,KKR,9,5,192,38.4,6.02
VG Arora,KKR,6,5,114,22.8,6.02
M Markande,LSG,7,5,150,30.0,5.95
Nithish Kumar Reddy,GT,6,4,66,16.5,5.71
AS Roy,GT,7,4,156,39.0,5.71
PP Chawla,RR,6,4,131,32.75,5.63
Yash Thakur,PBKS,4,6,78,13.0,5.31
SM Curran,KKR,7,4,102,25.5,4.82
G Coetzee,KKR,4,4,78,19.5,4.82
R Ashwin,KKR,13,4,258,64.5,4.82
WG Jacks,LSG,10,4,120,30.0,4.76
A Nortje,LSG,6,4,138,34.5,4.76
JG Bethell,SRH,4,4,30,7.5,4.4
JA Richardson,MI,2,4,48,12.0,4.35
GD Phillips,GT,5,3,72,24.0,4.29
KV Sharma,RCB,1,3,24,8.0,4.0
K Kartikeya,GT,1,2,24,12.0,2.86
MP Yadav,RR,3,2,66,33.0,2.82
YS Chahal,CSK,6,4,113,28.25,2.8
C Green,RCB,3,2,54,27.0,2.67
HR Shokeen,RCB,2,2,25,12.5,2.67
J Suchith,RCB,4,2,90,45.0,2.67
RD Chahar,RCB,9,2,174,87.0,2.67
Ramandeep Singh,RCB,4,2,30,15.0,2.67
DL Chahar,KKR,5,2,114,57.0,2.41
AK Markram,SRH,4,2,36,18.0,2.2
Mukesh Kumar,SRH,2,2,48,24.0,2.2
MJ Suthar,MI,1,2,24,12.0,2.17
R Parag,MI,2,2,48,24.0,2.17
K Rabada,DC,4,1,90,90.0,1.82
MM Sharma,DC,4,1,48,48.0,1.82
SN Thakur,DC,1,1,24,24.0,1.82
MP Stoinis,PBKS,8,2,91,45.5,1.77
R Sai Kishore,RR,3,1,55,55.0,1.41
A Badoni,RCB,4,1,19,19.0,1.33
Gurjapneet Singh,RCB,1,1,24,24.0,1.33
AJ Hosein,SRH,5,1,120,120.0,1.1
Mohsin Khan,SRH,1,1,24,24.0,1.1
MADI Hemantha,CSK,2,1,48,48.0,0.7
