bowler,bowling_team,num_innings,dots,balls,dot_%
MA Starc,KKR,14,131,300,43.67
AR Patel,CSK,17,130,348,37.36
M Pathirana,RCB,13,123,306,40.2
TA Boult,PBKS,16,121,365,33.15
Kuldeep Yadav,SRH,16,119,360,33.06
PJ Cummins,MI,14,118,300,39.33
Arshdeep Singh,LSG,15,117,354,33.05
HH Pandya,MI,14,116,286,40.56
T Natarajan,CSK,17,113,333,33.93
Fazalhaq Farooqi,CSK,12,110,279,39.43
B Kumar,KKR,14,110,314,35.03
Sandeep Sharma,RR,14,108,328,32.93
Jagjit Singh,CSK,12,107,267,40.07
JJ Bumrah,RCB,14,107,316,33.86
M Prasidh Krishna,DC,13,106,311,34.08
HV Patel,PBKS,16,105,304,34.54
JC Archer,GT,12,102,264,38.64
KH Pandya,SRH,16,97,348,27.87
A Zampa,LSG,15,95,340,27.94
JR Hazlewood,RR,12,94,276,34.06
RA Jadeja,DC,14,93,317,29.34
Rashid Khan,GT,14,92,295,31.19
Avesh Khan,RCB,10,91,234,38.89
Washington Sundar,PBKS,13,91,264,34.47
KK Ahmed,GT,9,90,216,41.67
R Ashwin,KKR,13,90,258,34.88
Suryansh Shedge,CSK,11,88,246,35.77
Mohammed Siraj,MI,12,88,273,32.23
CV Varun,PBKS,13,86,266,32.33
Harpreet Brar,RCB,14,86,271,31.73
Mustafizur Rahman,DC,13,85,276,30.8
PWH de Silva,DC,11,82,258,31.78
Mohammed Shami,GT,11,81,252,32.14
C Sakariya,SRH,13,80,278,28.78
Shahbaz Ahmed,LSG,11,79,246,32.11
M Theekshana,MI,11,75,235,31.91
LS Livingstone,SRH,15,74,282,26.24
Ravi Bishnoi,PBKS,9,70,179,39.11
GJ Maxwell,RR,12,69,264,26.14
M Siddharth,CSK,8,65,178,36.52
Sikandar Raza,DC,11,65,239,27.2
Harshit Rana,PBKS,7,59,162,36.42
BA Stokes,LSG,11,58,204,28.43
J Anderson,MI,9,56,192,29.17
MJ Santner,KKR,9,56,192,29.17
SH Johnson,SRH,7,49,164,29.88
RD Chahar,RCB,9,48,174,27.59
Mohammad Ghazanfar,GT,8,47,172,27.33
AS Roy,GT,7,46,156,29.49
Azmatullah Omarzai,RR,7,45,127,35.43
A Nortje,LSG,6,45,138,32.61
TU Deshpande,RR,6,44,126,34.92
DL Chahar,KKR,5,42,114,36.84
AJ Hosein,SRH,5,42,120,35
M Markande,LSG,7,41,150,27.33
YS Chahal,CSK,6,38,113,33.63
WG Jacks,LSG,10,38,120,31.67
PP Chawla,RR,6,38,131,29.01
Rasikh Salam,LSG,4,36,96,37.5
SM Curran,KKR,7,36,102,35.29
G Coetzee,KKR,4,35,78,44.87
VG Arora,KKR,6,35,114,30.7
Noor Ahmad,KKR,3,34,72,47.22
NT Ellis,LSG,6,34,138,24.64
Tanush Kotian,SRH,5,31,114,27.19
Yash Thakur,PBKS,4,30,78,38.46
SP Narine,RR,4,30,96,31.25
Abhishek Sharma,MI,6,28,88,31.82
K Rabada,DC,4,28,90,31.11
MP Yadav,RR,3,26,66,39.39
Swapnil Singh,RR,3,26,72,36.11
J Suchith,RCB,4,26,90,28.89
M Jansen,GT,3,21,57,36.84
MP Stoinis,PBKS,8,21,91,23.08
GD Phillips,GT,5,20,72,27.78
AK Markram,SRH,4,19,36,52.78
JA Richardson,MI,2,19,48,39.58
MM Ali,RR,2,18,48,37.5
R Sai Kishore,RR,3,16,55,29.09
Mukesh Kumar,SRH,2,15,48,31.25
VR Iyer,SRH,3,15,60,25
C Green,RCB,3,14,54,25.93
K Kartikeya,GT,1,11,24,45.83
JG Bethell,SRH,4,11,30,36.67
SZ Mulani,MI,1,10,24,41.67
LH Ferguson,SRH,2,10,36,27.78
R Parag,MI,2,10,48,20.83
Nithish Kumar Reddy,GT,6,10,66,15.15
Mohsin Khan,SRH,1,9,24,37.5
MADI Hemantha,CSK,2,9,48,18.75
MM Sharma,DC,4,9,48,18.75
Ramandeep Singh,RCB,4,8,30,26.67
DJ Hooda,GT,5,8,30,26.67
AD Russell,DC,3,8,54,14.81
SN Thakur,DC,1,7,24,29.17
Gurjapneet Singh,RCB,1,7,24,29.17
OEG Baartman,MI,2,7,39,17.95
MJ Suthar,MI,1,6,24,25
Mujeeb Ur Rahman,RCB,1,6,24,25
S Dube,RR,1,6,24,25
KV Sharma,RCB,1,5,24,20.83
Shashank Singh,PBKS,1,4,24,16.67
HR Shokeen,RCB,2,4,25,16
N Rana,KKR,1,3,6,50
S Gopal,DC,2,3,12,25
A Badoni,RCB,4,3,19,15.79
PN Mankad,RCB,1,2,6,33.33
R Ravindra,GT,1,2,18,11.11
D Ferreira,RCB,1,1,6,16.67
R Tewatia,GT,1,1,6,16.67
Abdul Samad,LSG,1,1,6,16.67
TH David,LSG,1,1,6,16.67
N Sindhu,DC,1,1,12,8.33
