bowler,bowling_team,num_innings,3+_wkts,balls,economy,5+_wkts
T Natarajan,CSK,17,7,333,8.23,0
AR Patel,CSK,17,6,348,7.9,2
Suryansh Shedge,CSK,11,4,246,9.56,0
Washington Sundar,PBKS,13,4,264,8.64,2
BA Stokes,LSG,11,3,204,9.41,0
HH Pandya,MI,14,3,286,8.22,1
MA Starc,KKR,14,3,300,8.88,1
M Pathirana,RCB,13,3,306,7.53,0
Noor Ahmad,KKR,3,2,72,7.83,0
Swapnil Singh,RR,3,2,72,9.08,0
Abhishek Sharma,MI,6,2,88,9.07,0
M Siddharth,CSK,8,2,178,8.09,0
J Anderson,MI,9,2,192,11.78,0
Shahbaz Ahmed,LSG,11,2,246,8.83,0
CV Varun,PBKS,13,2,266,8.95,0
Jagjit Singh,CSK,12,2,267,8.36,0
JR Hazlewood,RR,12,2,276,8.98,0
PJ Cummins,MI,14,2,300,8.42,0
B Kumar,KKR,14,2,314,9.97,1
JJ Bumrah,RCB,14,2,316,8.24,0
Kuldeep Yadav,SRH,16,2,360,8.48,0
KV Sharma,RCB,1,1,24,10.25,0
JA Richardson,MI,2,1,48,9.5,0
Yash Thakur,PBKS,4,1,78,6.85,0
Rasikh Salam,LSG,4,1,96,9.62,0
YS Chahal,CSK,6,1,113,8.39,0
Tanush Kotian,SRH,5,1,114,9.47,0
VG Arora,KKR,6,1,114,9.63,0
TU Deshpande,RR,6,1,126,8.38,0
Mohammad Ghazanfar,GT,8,1,172,9.56,0
Ravi Bishnoi,PBKS,9,1,179,7.11,0
KK Ahmed,GT,9,1,216,8.28,0
M Theekshana,MI,11,1,235,8.63,0
Mohammed Shami,GT,11,1,252,8.86,0
GJ Maxwell,RR,12,1,264,9.02,0
Harpreet Brar,RCB,14,1,271,8.5,0
Mohammed Siraj,MI,12,1,273,9.32,0
Fazalhaq Farooqi,CSK,12,1,279,8.41,0
LS Livingstone,SRH,15,1,282,9.32,0
Rashid Khan,GT,14,1,295,8.2,0
HV Patel,PBKS,16,1,304,9.04,0
Sandeep Sharma,RR,14,1,328,8.84,0
KH Pandya,SRH,16,1,348,7.97,0
TA Boult,PBKS,16,1,365,8.91,0
