striker,batting_team,num_innings,strike_rate,runs,outs
N Sindhu,DC,3,221.54,144,3
N Rana,KKR,11,194.81,300,8
Abishek Porel,DC,10,192.31,250,6
GD Phillips,GT,4,186.0,93,3
Abdul Samad,LSG,8,182.86,128,4
Shashank Singh,PBKS,14,179.55,395,7
Naman Dhir,GT,12,178.92,297,8
MA Starc,KKR,5,174.29,61,4
P Simran Singh,SRH,16,171.96,509,15
YBK Jaiswal,RR,14,171.94,337,13
MK Lomror,SRH,8,169.72,185,6
Q de Kock,PBKS,14,169.71,353,14
Azmatullah Omarzai,RR,6,166.29,148,4
Urvil Patel,DC,13,164.25,363,10
Abhishek Sharma,MI,14,162.94,554,12
Nithish Kumar Reddy,GT,13,158.82,297,11
JC Buttler,KKR,14,158.64,303,11
WG Jacks,LSG,13,157.14,407,12
S Dube,RR,12,156.92,306,9
VR Iyer,SRH,16,156.82,414,10
BA Stokes,LSG,12,156.71,257,12
DA Miller,RR,13,155.91,290,9
TM Head,CSK,17,155.89,569,14
AM Rahane,KKR,14,154.8,500,12
J Fraser-McGurk,PBKS,3,154.0,77,3
RD Gaikwad,RCB,14,152.78,385,12
Atharva Taide,RR,5,152.63,145,5
LS Livingstone,SRH,16,151.41,589,13
RG Sharma,PBKS,16,151.35,392,13
SA Yadav,DC,14,150.43,525,11
GJ Maxwell,RR,14,150.29,511,14
PD Salt,RCB,14,149.85,499,11
SS Iyer,LSG,15,149.12,422,10
RM Patidar,CSK,16,148.84,256,14
DP Conway,GT,13,148.58,367,11
C Green,RCB,14,147.43,258,14
Shahbaz Ahmed,LSG,6,146.03,92,4
MP Stoinis,PBKS,13,144.44,286,13
D Padikkal,KKR,2,143.37,119,2
PWH de Silva,DC,4,143.18,63,3
V Kohli,DC,14,143.07,485,12
Shubman Gill,LSG,15,142.86,660,11
AK Markram,SRH,8,142.45,198,6
Tilak Varma,CSK,17,142.13,560,13
DJ Hooda,GT,14,141.43,396,12
RR Pant,PBKS,16,140.64,353,14
KL Rahul,SRH,15,139.88,456,13
Ishan Kishan,KKR,13,139.83,330,13
Dhruv Jurel,LSG,14,139.68,352,9
Sikandar Raza,DC,10,138.18,228,6
HH Pandya,MI,11,138.12,221,6
KH Pandya,SRH,8,136.92,89,5
DA Warner,DC,7,135.9,106,6
RA Tripathi,RR,9,134.72,194,8
N Wadhera,LSG,6,134.48,117,3
B Sai Sudharsan,MI,14,133.94,371,14
N Pooran,MI,13,133.8,380,8
KK Nair,RR,5,133.75,107,4
JM Sharma,RR,11,133.33,104,8
R Tewatia,GT,8,133.33,64,8
SV Samson,GT,14,133.23,417,12
H Klaasen,PBKS,15,132.87,477,11
T Stubbs,CSK,15,131.88,302,8
B Kumar,KKR,5,131.71,54,2
MK Pandey,KKR,14,131.63,283,11
JR Hazlewood,RR,7,131.48,71,5
Ramandeep Singh,RCB,14,131.34,176,12
Rashid Khan,GT,9,130.28,142,6
Harpreet Brar,RCB,11,129.08,182,8
F du Plessis,CSK,17,128.49,442,16
RK Singh,MI,10,128.21,250,6
PJ Cummins,MI,5,128.07,73,3
Bhanu Pania,MI,4,126.53,124,3
JG Bethell,SRH,8,126.5,148,6
AR Patel,CSK,11,125.15,204,8
MS Dhoni,CSK,10,124.29,87,5
TA Boult,PBKS,6,123.91,57,2
G Coetzee,KKR,4,123.81,52,1
SM Curran,KKR,7,122.67,92,6
Washington Sundar,PBKS,9,121.51,113,8
SO Hetmyer,RCB,12,120.0,204,11
HV Patel,PBKS,9,119.51,98,8
RA Jadeja,DC,5,118.18,52,2
R Parag,MI,9,115.2,144,7
R Ashwin,KKR,9,113.4,110,7
M Shahrukh Khan,MI,5,112.28,64,5
A Badoni,RCB,13,105.37,157,12
