bowler,bowling_team,num_innings,economy,balls,wkts
N Rana,KKR,1,3.0,6,0
PN Mankad,RCB,1,4.0,6,0
JG Bethell,SRH,4,5.8,30,4
SZ Mulani,MI,1,6.0,24,0
K Kartikeya,GT,1,6.25,24,2
AK Markram,SRH,4,6.67,36,2
Yash Thakur,PBKS,4,6.85,78,6
Ravi Bishnoi,PBKS,9,7.11,179,12
M Pathirana,RCB,13,7.53,306,20
Harshit Rana,PBKS,7,7.59,162,7
DJ Hooda,GT,5,7.8,30,0
Noor Ahmad,KKR,3,7.83,72,8
AR Patel,CSK,17,7.9,348,33
KH Pandya,SRH,16,7.97,348,13
PWH de Silva,DC,11,8.05,258,6
M Siddharth,CSK,8,8.09,178,10
RA Jadeja,DC,14,8.12,317,10
Rashid Khan,GT,14,8.2,295,13
HH Pandya,MI,14,8.22,286,23
T Natarajan,CSK,17,8.23,333,32
JJ Bumrah,RCB,14,8.24,316,16
KK Ahmed,GT,9,8.28,216,10
A Zampa,LSG,15,8.31,340,12
Jagjit Singh,CSK,12,8.36,267,17
JC Archer,GT,12,8.36,264,10
MP Yadav,RR,3,8.36,66,2
TU Deshpande,RR,6,8.38,126,7
R Parag,MI,2,8.38,48,2
A Nortje,LSG,6,8.39,138,4
YS Chahal,CSK,6,8.39,113,4
M Markande,LSG,7,8.4,150,5
Fazalhaq Farooqi,CSK,12,8.41,279,17
PJ Cummins,MI,14,8.42,300,16
G Coetzee,KKR,4,8.46,78,4
M Prasidh Krishna,DC,13,8.47,311,9
K Rabada,DC,4,8.47,90,1
Kuldeep Yadav,SRH,16,8.48,360,19
C Sakariya,SRH,13,8.48,278,14
Harpreet Brar,RCB,14,8.5,271,11
Azmatullah Omarzai,RR,7,8.5,127,5
WG Jacks,LSG,10,8.5,120,4
R Ashwin,KKR,13,8.56,258,4
Sikandar Raza,DC,11,8.61,239,10
M Theekshana,MI,11,8.63,235,9
Washington Sundar,PBKS,13,8.64,264,23
AS Roy,GT,7,8.65,156,4
SM Curran,KKR,7,8.65,102,4
DL Chahar,KKR,5,8.74,114,2
Shahbaz Ahmed,LSG,11,8.83,246,13
Sandeep Sharma,RR,14,8.84,328,15
Mohammed Shami,GT,11,8.86,252,9
MA Starc,KKR,14,8.88,300,23
TA Boult,PBKS,16,8.91,365,12
MJ Santner,KKR,9,8.91,192,5
PP Chawla,RR,6,8.93,131,4
CV Varun,PBKS,13,8.95,266,19
AJ Hosein,SRH,5,8.95,120,1
Mustafizur Rahman,DC,13,8.96,276,13
JR Hazlewood,RR,12,8.98,276,14
Mujeeb Ur Rahman,RCB,1,9.0,24,0
Shashank Singh,PBKS,1,9.0,24,0
D Ferreira,RCB,1,9.0,6,0
GJ Maxwell,RR,12,9.02,264,12
Avesh Khan,RCB,10,9.03,234,9
HV Patel,PBKS,16,9.04,304,19
M Jansen,GT,3,9.05,57,0
Abhishek Sharma,MI,6,9.07,88,8
Swapnil Singh,RR,3,9.08,72,6
Mukesh Kumar,SRH,2,9.12,48,2
J Suchith,RCB,4,9.27,90,2
Arshdeep Singh,LSG,15,9.29,354,12
LS Livingstone,SRH,15,9.32,282,14
Mohammed Siraj,MI,12,9.32,273,10
AD Russell,DC,3,9.33,54,0
BA Stokes,LSG,11,9.41,204,14
Tanush Kotian,SRH,5,9.47,114,8
JA Richardson,MI,2,9.5,48,4
SH Johnson,SRH,7,9.51,164,9
Suryansh Shedge,CSK,11,9.56,246,23
Mohammad Ghazanfar,GT,8,9.56,172,8
SP Narine,RR,4,9.56,96,0
Rasikh Salam,LSG,4,9.62,96,7
VG Arora,KKR,6,9.63,114,5
NT Ellis,LSG,6,9.78,138,6
MP Stoinis,PBKS,8,9.89,91,2
B Kumar,KKR,14,9.97,314,20
MADI Hemantha,CSK,2,10.0,48,1
R Tewatia,GT,1,10.0,6,0
MM Ali,RR,2,10.12,48,0
RD Chahar,RCB,9,10.17,174,2
LH Ferguson,SRH,2,10.17,36,0
GD Phillips,GT,5,10.25,72,3
KV Sharma,RCB,1,10.25,24,3
Mohsin Khan,SRH,1,10.25,24,1
Ramandeep Singh,RCB,4,10.4,30,2
A Badoni,RCB,4,10.42,19,1
Nithish Kumar Reddy,GT,6,10.45,66,4
R Sai Kishore,RR,3,10.58,55,1
VR Iyer,SRH,3,10.7,60,0
MM Sharma,DC,4,11.12,48,1
SN Thakur,DC,1,11.25,24,1
C Green,RCB,3,11.44,54,2
MJ Suthar,MI,1,11.75,24,2
J Anderson,MI,9,11.78,192,15
OEG Baartman,MI,2,11.85,39,0
Gurjapneet Singh,RCB,1,12.0,24,1
S Dube,RR,1,12.0,24,0
N Sindhu,DC,1,12.5,12,0
R Ravindra,GT,1,13.33,18,0
HR Shokeen,RCB,2,13.68,25,2
Abdul Samad,LSG,1,14.0,6,0
S Gopal,DC,2,16.5,12,0
TH David,LSG,1,23.0,6,0
